時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.12 0
0.150683 0
0.1638919 0
0.1875836 0
0.2004303 0
0.213026 0
0.2343092 0
0.2467002 0
0.2581947 0
0.2705962 0
0.2823859 0
0.2955298 0
0.3070838 0
0.3189107 0
0.3308891 0
0.3425694 0
0.3544205 0
0.3672184 0
0.3885171 0
0.4005857 0
0.4135271 0
0.425352 0
0.4382252 0
0.4511734 0
0.4639622 0
0.4759431 0
0.4892588 0
0.5012283 0
0.5142599 0
0.536779 0
0.5639852 0
0.5760111 0
0.588003 0
0.6002783 0
0.612553 0
0.624852 0
0.6368515 0
0.6497388 0
0.6716759 0
0.6840745 0
0.6969921 0
0.7188287 0
0.7312934 0
0.7436944 0
0.7555574 0
0.7676627 0
0.7800477 0
0.7921633 0
0.8043022 0
0.8161871 0
0.8286176 0
0.8406443 0
0.8531971 0
0.876147 0
0.8881375 0
0.9004023 0
0.913094 0
0.9255759 0
0.9376639 0
0.9499477 0
0.9723002 0
0.9942023 0
1.006348 0
1.033167 0
1.044733 0
1.056853 0
1.068932 0
1.080909 0
1.092482 0
1.104119 0
1.116413 0
1.128074 0
1.139847 0
1.151983 0
1.164743 0
1.18723 0
1.199707 0
1.212121 0
1.223629 0
1.235642 0
1.247675 0
1.260204 0
1.272138 0
1.284679 0
1.297376 0
1.309434 0
1.321525 0
1.342865 0
1.354558 0
1.366645 0
1.379437 0
1.391498 0
1.403677 0
1.41548 0
1.427064 0
1.439429 0
1.45098 0
1.463192 0
1.475155 0
1.496755 0
1.508555 0
1.520586 0
1.533055 0
1.546116 0
1.558799 0
1.571984 0
1.594736 0
1.6074 0
1.630387 0
1.657493 0
1.669726 0
1.682179 0
1.693657 0
1.7062 0
1.718748 0
1.731065 0
1.74267 0
1.754644 0
1.766522 0
1.778017 0
1.790664 0
1.81293 0
1.82472 0
1.837138 0
1.849294 0
1.860788 0
1.872867 0
1.885172 0
1.897131 0
1.909202 0
1.921225 0
1.933571 0
1.945978 0
1.968303 0
1.980487 0
1.992513 0
2.014163 0
2.036381 0
2.048765 0
2.060794 0
2.074071 0
2.0967 0
2.122719 0
2.134601 0
2.146766 0
2.158585 0
2.171126 0
2.183231 0
2.195816 0
2.217919 0
2.230371 0
2.252845 0
2.274781 0
2.287097 0
2.300844 0
2.313444 0
2.325787 0
2.337768 0
2.350333 0
2.362622 0
2.375205 0
2.387612 0
2.400469 0
2.413519 0
2.436215 0
2.451703 0
2.47381 0
2.487191 0
2.499575 0
2.512918 0
2.52543 0
2.537486 0
2.550206 0
2.562628 0
2.582798 0
2.611792 0
2.625006 0
2.640241 0
2.652531 0
2.665407 0
2.677878 0
2.690896 0
2.702878 0
2.715888 0
2.727527 0
2.74083 0
2.763293 0
2.775795 0
2.787747 0
2.800768 0
2.812737 0
2.824591 0
2.837035 0
2.849415 0
2.8611 0
2.873088 0
2.885233 0
2.897755 0
2.920144 0
2.933415 0
2.946368 0
2.958276 0
2.970851 0
2.983398 0
2.995575 0
3.008229 0
3.020983 0
3.03342 0
3.047274 0
3.059781 0
3.083521 0
3.095971 0
3.107652 0
3.119516 0
3.133003 0
3.144995 0
3.157461 0
3.170171 0
3.182076 0
3.193402 0
3.205026 0
3.217652 0
3.243989 0
3.25634 0
3.268522 0
3.280504 0
3.292252 0
3.303927 0
3.317138 0
3.328963 0
3.340895 0
3.353632 0
3.366743 0
3.378678 0
3.400195 0
3.412041 0
3.424121 0
3.435668 0
3.448398 0
3.460005 0
3.471538 0
3.483506 0
3.495453 0
3.507236 0
3.519374 0
3.531602 0
3.553775 0
3.566243 0
3.577875 0
3.589551 0
3.601307 0
3.613137 0
3.626288 0
3.639999 0
3.652144 0
3.664014 0
3.675957 0
3.687881 0
3.70984 0
3.726697 0
3.740651 0
3.752716 0
3.764518 0
3.776172 0
3.787782 0
3.799637 0
3.811547 0
3.823227 0
3.83488 0
3.847096 0
3.869033 0
3.889464 0
