時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.1138023 0
0.1413109 0
0.1540245 0
0.167331 0
0.1832618 0
0.1962283 0
0.2087812 0
0.2205457 0
0.2327921 0
0.2451285 0
0.2566408 0
0.268486 0
0.2837933 0
0.2972133 0
0.3096948 0
0.3213453 0
0.3331056 0
0.3457324 0
0.3572311 0
0.3693047 0
0.3817591 0
0.3946957 0
0.4062162 0
0.4181165 0
0.4300166 0
0.4418997 0
0.4543975 0
0.4674855 0
0.479207 0
0.4937756 0
0.5065851 0
0.5183203 0
0.5311193 0
0.5434175 0
0.555629 0
0.5687396 0
0.5808278 0
0.593548 0
0.6054685 0
0.6184943 0
0.6304804 0
0.6433786 0
0.6556547 0
0.6681412 0
0.6808958 0
0.6953157 0
0.7074302 0
0.7197199 0
0.7323418 0
0.7448618 0
0.7564346 0
0.768263 0
0.7803997 0
0.7927596 0
0.8044552 0
0.8162422 0
0.8286144 0
0.8411473 0
0.8531261 0
0.8647456 0
0.8769029 0
0.8890813 0
0.903932 0
0.9161427 0
0.9288468 0
0.9407661 0
0.9534163 0
0.9657689 0
0.9783934 0
0.9903049 0
1.002635 0
1.015071 0
1.026996 0
1.038564 0
1.050508 0
1.067203 0
1.078975 0
1.090548 0
1.10417 0
1.116516 0
1.12902 0
1.14104 0
1.153154 0
1.166568 0
1.179234 0
1.191481 0
1.204061 0
1.216442 0
1.229414 0
1.241241 0
1.253096 0
1.26486 0
1.277104 0
1.289917 0
1.303287 0
1.317337 0
1.329744 0
1.342587 0
1.354661 0
1.366937 0
1.37871 0
1.391245 0
1.403255 0
1.414796 0
1.426601 0
1.43817 0
1.450067 0
1.461952 0
1.473685 0
1.485733 0
1.49745 0
1.510001 0
1.524737 0
1.538185 0
1.550927 0
1.564291 0
1.5766 0
1.588409 0
1.600943 0
1.614899 0
1.627598 0
1.639194 0
1.650653 0
1.662485 0
1.674477 0
1.686163 0
1.69782 0
1.710406 0
1.724302 0
1.737124 0
1.749258 0
1.76144 0
1.772778 0
1.785024 0
1.796772 0
1.808361 0
1.819962 0
1.83188 0
1.844078 0
1.856211 0
1.868259 0
1.88044 0
1.893727 0
1.905611 0
1.917539 0
1.931123 0
1.943824 0
1.95619 0
1.968101 0
1.979933 0
1.992356 0
2.005071 0
2.017108 0
2.029463 0
2.041485 0
2.053399 0
2.066235 0
2.078234 0
2.09034 0
2.102107 0
2.114332 0
2.126232 0
2.139796 0
2.151679 0
2.164065 0
2.177792 0
2.189518 0
2.201642 0
2.213239 0
2.225669 0
2.237467 0
2.249472 0
2.261895 0
2.274071 0
2.286577 0
2.298532 0
2.310474 0
2.322537 0
2.335267 0
2.353128 0
2.365521 0
2.377841 0
2.389703 0
2.401853 0
2.413795 0
2.426053 0
2.437787 0
2.45025 0
2.462373 0
2.473865 0
2.485302 0
2.49732 0
2.509965 0
2.521434 0
2.533558 0
2.549175 0
2.56322 0
2.575206 0
2.586909 0
2.598682 0
2.611669 0
2.624428 0
2.636602 0
2.648313 0
2.660236 0
2.672607 0
2.684834 0
2.69721 0
2.708841 0
2.721359 0
2.73379 0
2.746046 0
2.758539 0
2.77359 0
2.786581 0
2.79885 0
2.811799 0
2.825177 0
2.837812 0
2.849679 0
2.862122 0
2.874491 0
2.886374 0
2.898676 0
2.91099 0
2.922636 0
2.934779 0
2.94771 0
2.960391 0
2.974395 0
2.986367 0
2.999276 0
3.012967 0
3.024909 0
3.036983 0
3.049087 0
3.061228 0
3.07275 0
3.084756 0
3.096538 0
3.108372 0
3.120874 0
3.132571 0
3.145066 0
3.157008 0
3.169784 0
3.185766 0
3.199559 0
3.211389 0
3.22428 0
3.236665 0
3.249036 0
3.261152 0
3.273079 0
3.285132 0
3.296894 0
3.30827 0
3.319991 0
3.33191 0
3.34462 0
3.360442 0
3.373403 0
3.387837 0
3.401381 0
3.413828 0
3.426262 0
3.438508 0
3.451242 0
3.465654 0
3.477347 0
3.488883 0
3.501168 0
3.513746 0
3.525536 0
3.537857 0
3.550696 0
3.563114 0
3.574722 0
3.588264 0
