時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.12 0
0.1524485 0
0.1775198 0
0.193 0
0.2063995 0
0.219519 0
0.2346767 0
0.248803 0
0.2638897 0
0.2790346 0
0.2973142 0
0.3110641 0
0.3234069 0
0.3356598 0
0.3483309 0
0.3614078 0
0.3737348 0
0.3856556 0
0.3976319 0
0.4110115 0
0.422886 0
0.4348132 0
0.4467963 0
0.4600915 0
0.471657 0
0.4838526 0
0.4979908 0
0.5108161 0
0.5238996 0
0.535977 0
0.5483595 0
0.5614099 0
0.5740902 0
0.5876943 0
0.6000398 0
0.6122536 0
0.6258355 0
0.6377075 0
0.6495632 0
0.6618317 0
0.6740189 0
0.6877418 0
0.700957 0
0.7134431 0
0.7266048 0
0.7387696 0
0.7505808 0
0.7630658 0
0.775822 0
0.7879013 0
0.8007763 0
0.8143927 0
0.8334168 0
0.8480253 0
0.8633537 0
0.8756757 0
0.8871134 0
0.898802 0
0.9128867 0
0.9262333 0
0.9419447 0
0.9574133 0
0.971105 0
0.9866946 0
1.005021 0
1.025399 0
1.042826 0
1.058491 0
1.072223 0
1.084717 0
1.097795 0
1.111162 0
1.12577 0
1.138421 0
1.150344 0
1.163424 0
1.175957 0
1.18938 0
1.201491 0
1.21391 0
1.226627 0
1.239583 0
1.25172 0
1.26368 0
1.276698 0
1.288522 0
1.301042 0
1.313497 0
1.327962 0
1.340343 0
1.35282 0
1.364943 0
1.37864 0
1.390492 0
1.402938 0
1.415345 0
1.428075 0
1.440272 0
1.451997 0
1.464674 0
1.477817 0
1.490185 0
1.501869 0
1.515143 0
1.52934 0
1.541939 0
1.554439 0
1.567545 0
1.581248 0
1.594083 0
1.60563 0
1.617784 0
1.630227 0
1.643024 0
1.65456 0
1.666264 0
1.678715 0
1.691701 0
1.708349 0
1.720347 0
1.734198 0
1.748115 0
1.76046 0
1.772369 0
1.785265 0
1.79879 0
1.811866 0
1.823668 0
1.836051 0
1.849111 0
1.861511 0
1.873258 0
1.885795 0
1.897548 0
1.910437 0
1.922932 0
1.936601 0
1.948977 0
1.96326 0
1.97559 0
1.987475 0
1.999501 0
2.013037 0
2.026522 0
2.038274 0
2.050212 0
2.065312 0
2.079409 0
2.09805 0
2.118118 0
2.133512 0
2.148016 0
2.161634 0
2.173677 0
2.186159 0
2.198378 0
2.21026 0
2.222934 0
2.235985 0
2.252289 0
2.265435 0
2.278555 0
2.293911 0
2.306635 0
2.319278 0
2.331336 0
2.343548 0
2.357943 0
2.369948 0
2.382608 0
2.39538 0
2.408107 0
2.420088 0
2.432359 0
2.44441 0
2.457087 0
2.469908 0
2.483109 0
2.496663 0
2.508901 0
2.52182 0
2.536798 0
2.552203 0
2.56979 0
2.583164 0
2.597228 0
2.612329 0
2.627925 0
2.640951 0
2.658917 0
2.672691 0
2.686579 0
2.699989 0
2.714467 0
2.729441 0
2.743119 0
2.755742 0
2.770588 0
2.78374 0
2.798671 0
2.812817 0
2.827233 0
2.841589 0
2.854572 0
2.866991 0
2.878953 0
2.893656 0
2.90699 0
2.919529 0
2.933356 0
2.947361 0
2.963008 0
2.978709 0
2.992567 0
3.007628 0
3.021988 0
3.034667 0
3.04757 0
3.060412 0
3.075639 0
3.088655 0
3.101692 0
3.113939 0
3.127646 0
3.139981 0
3.153173 0
3.166988 0
3.182709 0
3.196146 0
3.208735 0
3.221879 0
3.234515 0
3.24804 0
3.261882 0
3.275396 0
3.28882 0
3.307058 0
3.319303 0
3.331439 0
3.343947 0
3.357811 0
3.370215 0
3.38408 0
3.396938 0
3.409878 0
3.421906 0
3.434339 0
3.446312 0
3.458762 0
3.470451 0
3.482296 0
3.493886 0
3.505408 0
3.517716 0
3.530271 0
3.542497 0
3.55443 0
3.565996 0
3.578236 0
3.591852 0
3.603629 0
3.616117 0
3.628701 0
3.640781 0
3.652645 0
3.66504 0
3.677536 0
3.690126 0
3.701974 0
3.714115 0
3.725813 0
3.738076 0
3.749691 0
3.761564 0
3.773161 0
3.785071 0
3.798793 0
3.810722 0
3.822253 0
3.834525 0
