時間[s] 推定速度[km/h] 実速度[km/h]
0 0 0
0.02 0 0
0.05333333 0 0
0.08666666 0 0
0.1082004 0 0
0.1216223 0 0
0.1346405 0 0
0.1473827 0 0
0.15995 0 0
0.1725525 0 0
0.1844274 0 0
0.196693 0 0
0.2080933 0 0
0.2205212 0 0
0.2321154 0 0
0.244044 0 0
0.2556856 0 0
0.2678005 0 0
0.2795907 0 0
0.2908297 0 0
0.3023291 0 0
0.3151078 0 0
0.3268974 0 0
0.3386572 0 0
0.3505059 0 0
0.3630756 0 0
0.3750423 0 0
0.3864027 0 0
0.3981999 0 0
0.4101483 0 0
0.4217755 0 0
0.4334154 0 0
0.4457401 0 0
0.4576598 0 0
0.4767703 0 0
0.4886648 0 0
0.500811 0 0
0.5129153 0 0
0.5250382 0 0
0.5367787 0 0
0.5491267 0 0
0.5609252 0 0
0.5723588 0 0
0.5844036 0 0
0.5963759 0 0
0.6081625 0 0
0.6196427 0 0
0.6311229 0 0
0.6429449 0 0
0.6549352 0 0
0.6664808 0 0
0.6779315 0 0
0.6896709 0 0
0.7055266 0 0
0.7170669 0 0
0.7288076 0 0
0.7402067 0 0
0.751807 0 0
0.7634268 0 0
0.7747924 0 0
0.7865918 0 0
0.7983534 0 0
0.8103529 0 0
0.8218657 0 0
0.8349631 0 0
0.8468553 0 0
0.8581378 0 0
0.8699396 0 0
0.8817393 0 0
0.8933306 0 0
0.9047434 0 0
0.9165239 0 0
0.9280404 0 0
0.9395519 0 0
0.9508471 0 0
0.9632121 0 0
0.9832306 0 0
0.9950092 0 0
1.006703 0 0
1.022519 0 0
1.03414 0 0
1.045879 0 0
1.057512 0 0
1.070727 0 0
1.082251 0 0
1.094366 0 0
1.106262 0 0
1.118097 0 0
1.129958 0 0
1.141593 0 0
1.153529 0 0
1.165298 0 0
1.176833 0 0
1.188533 0 0
1.200914 0 0
1.212907 0 0
1.224838 0 0
1.237139 0 0
1.249297 0 0
1.260811 0 0
1.272912 0 0
