時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.07 350.7127 331.0107 352.4041
0.1076634 350.6982 331.0119 352.3911
0.1216465 350.7029 331.0062 352.3939
0.133631 350.7203 330.9921 352.3941
0.1453683 350.7184 330.9903 352.3991
0.1571385 350.7141 331.0032 352.4027
0.1681866 350.7083 330.9975 352.3949
0.1796566 350.7073 330.9977 352.4008
0.1921187 350.6991 331.0093 352.3989
0.202759 350.71 330.9947 352.399
0.2135821 350.7144 330.9962 352.4026
0.2249283 350.7057 330.996 352.3955
0.2361681 350.7128 330.9994 352.3935
0.2471607 350.7037 331.0022 352.3969
0.2580498 350.7134 330.9974 352.4094
0.2688662 350.7125 330.9932 352.3984
0.2795671 350.7161 331.0013 352.3987
0.2904583 350.7201 330.9983 352.397
0.3011835 350.715 330.9993 352.398
0.3118296 350.7239 330.9915 352.3989
0.3228481 350.7164 331 352.3983
0.3337439 350.7149 331.0033 352.4019
0.3448389 350.7128 330.9947 352.3908
0.3569084 350.7223 330.9907 352.4023
0.3676167 350.7184 330.9963 352.398
0.3788122 350.7169 330.9972 352.3958
0.3895756 350.7162 331.0108 352.4017
0.4005556 350.7291 331.0027 352.3957
0.4151697 350.724 330.9987 352.3863
0.4258978 350.7286 331.0016 352.3966
0.4363567 350.7174 331.0034 352.4008
0.4470863 350.724 331.0059 352.394
0.4579468 350.7136 330.9972 352.3942
0.4684411 350.7141 331.0005 352.3988
0.4790924 350.7317 330.9968 352.3908
0.489737 350.7299 330.9919 352.4019
0.5004631 350.7197 330.9942 352.3992
0.5123197 350.7238 330.9982 352.4048
0.5234155 350.7217 331.0082 352.3908
0.5344882 350.7224 330.9986 352.4027
0.5452359 350.7261 331.0049 352.4026
0.5574014 350.7241 331.0074 352.4074
0.5691461 350.709 330.9937 352.4104
0.5811549 350.7075 330.9865 352.4176
0.5930906 350.7211 330.9886 352.4122
0.6056756 350.7255 330.9887 352.4121
0.617421 350.7234 331.0055 352.4109
0.6293832 350.7145 330.9803 352.416
0.6414443 350.7294 330.9895 352.4124
0.653384 350.7067 331.0015 352.3982
0.6654325 350.7173 330.9942 352.4139
0.6770513 350.7204 330.9809 352.4152
0.6882617 350.7125 330.9993 352.4069
0.6993038 350.7195 330.9993 352.4167
0.7102872 350.7292 330.9857 352.3976
0.7215648 350.7123 330.9925 352.4037
0.7327298 350.7307 331.0013 352.3953
0.7437979 350.7176 330.998 352.4126
0.7548243 350.732 331.0035 352.4145
0.7652709 350.7109 331.0044 352.4052
0.7760155 350.7234 330.9893 352.4078
0.7882896 350.7155 331.0006 352.4021
0.7991703 350.7272 330.9912 352.4215
0.8104313 350.7212 330.9913 352.4211
0.8224876 350.7196 330.989 352.4151
0.8336445 350.7236 330.989 352.4137
0.8444869 350.7208 331.0049 352.399
0.8560929 350.7214 330.9946 352.3999
0.8672132 350.7159 330.9833 352.4059
0.8784266 350.7159 330.9893 352.4042
0.8901971 350.7145 330.9932 352.4128
0.9009042 350.7223 330.9846 352.4219
0.9119014 350.7345 330.9796 352.4091
0.9243074 350.7231 330.9854 352.408
0.9348092 350.7336 330.9729 352.3959
0.9452494 350.7231 330.9819 352.4102
0.9560018 350.7194 330.9854 352.4093
0.9665069 350.7292 330.9901 352.4098
0.9770611 350.7309 330.9706 352.4169
0.9879129 350.7063 330.985 352.4127
0.9987947 350.7115 330.9835 352.4002
1.009613 350.7239 330.9951 352.4017
1.020754 350.7209 330.9795 352.4008
1.031758 350.709 330.9907 352.4125
1.043493 350.7184 330.9827 352.412
1.054933 350.7089 330.9822 352.4164
1.065421 350.7182 330.987 352.4124
1.076472 350.7221 330.9832 352.4099
1.087592 350.7091 330.9819 352.42
1.098466 350.7141 330.982 352.4048
1.109604 350.7144 330.9943 352.4077
1.121514 350.7195 330.9877 352.4138
1.132819 350.718 330.992 352.4124
1.143571 350.7106 330.9823 352.4037
1.154616 350.7162 330.9795 352.4117
1.165146 350.7123 330.973 352.4077
