時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.07 8.744802 351.4115 353.8993
0.1141574 5.43081 355.359 354.8626
0.1342606 5.367402 355.8637 354.6287
0.1473627 5.124108 356.5556 354.0611
0.15989 4.926494 356.862 353.9365
0.1730707 4.803338 357.1825 353.8019
0.1854095 4.682765 357.2262 353.8361
0.1978041 4.624485 357.2624 353.887
0.209634 4.909378 356.6067 353.406
0.2227098 4.833229 356.7064 353.1343
0.2353667 4.759383 356.9327 352.8117
0.2478622 3.975072 357.2261 352.7912
0.2594762 3.329135 357.3939 352.63
0.2714809 2.85749 357.5203 352.6077
0.2869212 2.469345 357.6263 352.5016
0.3000486 2.23179 357.6235 352.5795
0.3126907 1.949314 357.6443 352.8357
0.3244388 1.71732 357.6282 353.0679
0.3367997 1.610712 357.558 353.3502
0.3494135 1.461829 357.4337 353.6748
0.3617672 1.194275 357.2959 354.1094
0.3752031 1.08584 357.1759 354.2875
0.3881282 0.9648169 357.0419 354.4549
0.3998785 0.8810143 356.881 354.6688
0.4121874 0.9307386 356.751 354.8935
0.4242062 1.014399 356.6086 355.0764
0.4358334 1.087634 356.4155 355.3116
0.4482498 1.128949 356.1519 355.5679
0.4616567 1.240002 355.9457 355.7847
0.4734484 1.200016 355.4407 355.994
0.486905 1.179914 355.4751 355.8438
0.4989105 1.045154 355.147 355.8585
0.5106015 0.9548567 355.0512 355.976
0.5229276 0.9035658 354.7346 356.0716
0.535804 0.9704935 354.4769 356.1544
0.5480261 1.091438 354.0818 356.3974
0.5606912 1.30097 353.7549 356.5789
0.5732548 1.863677 353.1893 357.1155
0.5851674 1.606569 353.2567 357.3882
0.5971135 1.574461 353.3727 357.7606
0.6085721 1.690758 353.8146 358.0549
0.6201806 1.627268 354.2887 358.3898
0.6329636 1.787415 354.8853 358.4597
0.6447339 1.863405 355.186 358.2747
0.6566224 1.796609 355.2204 358.0771
0.6683316 1.928077 355.2 357.8548
0.6807016 2.247568 355.2595 357.3819
0.6946591 2.561384 355.3466 357.2885
0.7064433 2.590267 355.2937 357.3775
0.7185766 2.644928 355.0989 357.4779
0.7321844 2.763263 354.9281 357.533
0.7453337 2.900385 354.6614 357.5139
0.7574845 2.980518 354.3383 357.4389
0.7698946 3.032096 353.9872 357.3768
0.7819034 3.100812 353.563 357.312
0.7950774 3.227651 352.756 357.1996
0.8074982 3.321378 352.3208 357.1212
0.8191026 3.396202 351.847 357.0498
0.831594 3.4575 351.3624 356.8894
0.8434592 3.561861 350.879 356.7354
0.8561227 3.691815 350.3931 356.5513
0.868013 3.845564 349.9387 356.3213
0.8797391 4.0758 349.528 356.0197
0.8915529 4.264177 349.1471 355.6743
0.9064574 4.40063 348.7622 355.3144
0.9183809 4.629448 348.2623 354.6734
0.932005 4.728441 348.0266 354.418
0.9436042 4.836326 347.8692 354.2326
0.9557194 4.940304 347.7762 354.0284
0.9680093 5.033654 347.6789 353.8199
0.9797107 5.11932 347.6716 353.6102
0.991455 5.18703 347.6695 353.3744
1.003379 5.28824 347.7825 353.1851
1.017573 5.457754 347.9697 352.9209
1.030649 5.857279 348.3008 352.5806
1.042514 5.828248 349.3843 352.694
1.054785 6.032011 349.5543 352.3791
1.067272 6.215767 350.2344 352.4727
1.080249 6.414499 350.4747 352.5788
1.091768 6.500348 350.7536 352.5045
1.104903 6.197076 350.7196 352.4825
1.117038 6.116551 350.7279 352.3612
1.130261 6.088585 350.6425 352.2368
1.142421 6.043095 350.5783 352.0744
1.154015 5.993646 350.3894 352.0348
1.165847 5.956658 350.3516 352.1369
1.177913 6.024167 350.2391 352.2805
1.189969 6.037849 350.1232 352.2622
1.202073 6.180513 350.0896 352.1549
1.214476 6.269789 350.1749 352.1532
1.226109 6.313035 350.3747 352.1166
1.238475 6.290278 350.5843 352.1367
1.250681 6.09458 350.7203 352.0767
1.262937 5.928037 350.8397 352.0908
1.274525 5.697673 350.8499 352.1524
1.286076 5.562336 350.9225 352.2594
