時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.07 354.1054 2.413602 0.1161697
0.12 353.5499 2.229048 0.09608564
0.1524485 353.542 2.298715 0.1269474
0.1775198 353.6402 2.355087 0.2132901
0.193 353.7207 2.366977 0.3914084
0.2063995 353.6759 2.343771 0.4021758
0.219519 353.6346 2.359439 0.3411377
0.2346767 353.6255 2.349636 0.2680667
0.248803 353.6277 2.350941 0.2135526
0.2638897 353.6313 2.357239 0.2060426
0.2790346 353.6282 2.389035 0.1923764
0.2973142 353.6138 2.413535 0.2005856
0.3110641 353.5956 2.433449 0.2009937
0.3234069 353.5426 2.474173 0.2246649
0.3356598 353.5084 2.485029 0.2397799
0.3483309 353.4738 2.490345 0.2616804
0.3614078 353.4634 2.497023 0.2586166
0.3737348 353.4344 2.523427 0.2281688
0.3856556 353.4108 2.565323 0.171692
0.3976319 353.4069 2.609997 0.09670622
0.4110115 353.4197 2.659336 0.07875876
0.422886 353.4402 2.681114 0.07330952
0.4348132 353.4627 2.680943 0.09279212
0.4467963 353.4799 2.692582 0.09780249
0.4600915 353.494 2.686739 0.1108126
0.471657 353.5264 2.680004 0.1205001
0.4838526 353.5527 2.671141 0.1273066
0.4979908 353.5977 2.660035 0.102619
0.5108161 353.6369 2.658973 0.08012863
0.5238996 353.6768 2.641987 0.07163206
0.535977 353.7062 2.625493 0.08995261
0.5483595 353.7223 2.602974 0.1048168
0.5614099 353.7301 2.570747 0.1269376
0.5740902 353.6917 2.52999 0.1189837
0.5876943 353.6725 2.526805 0.07675543
0.6000398 353.6544 2.519753 0.0571238
0.6122536 353.6342 2.506515 0.01399178
0.6258355 353.6295 2.50089 -0.005154027
0.6377075 353.6134 2.500664 359.9805
0.6495632 353.5526 2.515365 359.9536
0.6618317 353.5228 2.525568 359.9401
0.6740189 353.5089 2.534696 359.9246
0.6877418 353.5053 2.54595 359.9064
0.700957 353.5139 2.569896 359.9009
0.7134431 353.5154 2.581302 359.8997
0.7266048 353.5144 2.582182 359.8938
0.7387696 353.5152 2.593422 359.8787
0.7505808 353.5051 2.588516 359.867
0.7630658 353.516 2.589582 359.8329
0.775822 353.5175 2.599544 359.8268
0.7879013 353.519 2.594189 359.8163
0.8007763 353.5295 2.580531 359.8318
0.8143927 353.5189 2.581915 359.8289
0.8334168 353.4925 2.58903 359.8186
0.8480253 353.4663 2.580933 359.8217
0.8633537 353.4664 2.586714 359.8195
0.8756757 353.4373 2.633319 359.8247
0.8871134 353.42 2.647014 359.8081
0.898802 353.4036 2.686457 359.7887
0.9128867 353.3613 2.727303 359.8119
0.9262333 353.3343 2.744034 359.8133
0.9419447 353.3033 2.791259 359.8401
0.9574133 353.2253 2.821759 359.8596
0.971105 353.2002 2.856422 359.863
0.9866946 353.1358 2.931618 359.8517
1.005021 353.1004 2.963254 359.8303
1.025399 352.9942 3.057811 359.7996
1.042826 352.908 3.092145 359.7764
1.058491 352.7088 3.163615 359.7409
1.072223 352.5782 3.238469 359.7144
1.084717 352.4001 3.359433 359.694
1.097795 352.3107 3.445742 359.6614
1.111162 352.2175 3.483495 359.6277
1.12577 352.11 3.542684 359.5958
1.138421 351.9734 3.598235 359.5579
1.150344 351.7147 3.741041 359.4962
1.163424 351.5816 3.794319 359.4906
1.175957 351.4749 3.860333 359.5003
1.18938 351.3901 3.910729 359.489
1.201491 351.3836 3.951174 359.4962
1.21391 351.3758 3.975168 359.5175
1.226627 351.4178 4.00225 359.5179
1.239583 351.5854 3.958107 359.5482
1.25172 351.6816 3.940645 359.5453
1.26368 351.8132 3.897515 359.5469
1.276698 351.9441 3.840521 359.5602
1.288522 352.0635 3.785433 359.5569
1.301042 352.1785 3.746476 359.5682
1.313497 352.3039 3.734334 359.567
1.327962 352.4359 3.705231 359.5624
1.340343 352.581 3.714834 359.5642
1.35282 352.8564 3.750386 359.5826
1.364943 352.9435 3.825401 359.5811
1.37864 353.0096 3.909868 359.5628
1.390492 353.0491 4.030342 359.5351
