時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 343.5192 352.472 1.010918
0.08666666 342.2763 355.9435 359.6407
0.12 342.2474 356.0053 359.6482
0.1521358 341.8766 356.3713 359.9243
0.1854691 341.339 356.5934 0.5651853
0.2171105 341.4485 356.9309 0.5447084
0.2474732 342.1365 357.1839 0.5916966
0.2766623 342.8254 357.3601 0.5509054
0.3076852 343.5741 357.5721 0.4988215
0.3365902 344.0716 357.7427 0.6463507
0.3652121 344.2395 357.903 0.7054999
0.3944782 344.4756 358.2169 0.7787716
0.4240556 344.6368 358.4246 0.9543347
0.4531648 344.7236 358.5714 1.240317
0.4816194 344.9925 358.5843 1.55608
0.5104453 345.3688 358.5338 1.790529
0.5385298 345.765 358.3678 2.163096
0.5683103 345.8463 358.1566 2.412987
0.60043 345.8889 357.8055 2.703305
0.629516 345.9651 357.5096 2.904622
0.6574404 345.9839 357.3211 2.875646
0.6846129 345.8918 357.1805 2.729447
0.7137673 345.9553 357.1249 2.654294
0.7429254 345.9459 357.3355 2.500943
0.7704737 345.5645 357.5673 2.14993
0.8003166 345.3495 357.7447 2.021099
0.8304347 344.9691 358.0753 1.928051
0.8608526 344.377 358.3678 1.827495
0.894186 343.9992 358.5758 1.623229
0.9264113 343.3336 359.035 1.198448
0.9562175 343.2428 359.3222 1.000752
0.986788 343.1139 359.7498 0.7075612
1.016369 343.0112 0.07758026 0.4725977
1.045811 343.1194 0.4317394 0.2735792
1.073499 343.5165 0.6501862 0.328135
1.102404 343.6556 0.7043389 0.4088967
1.133558 343.6202 0.6647905 0.3621728
1.163649 343.7603 0.6228009 0.2758551
1.196982 344.1119 0.5173629 0.2594047
1.227526 344.3954 0.416471 0.2998192
1.260859 344.6848 0.459188 0.2695745
1.293138 345.0146 0.6588774 0.1921527
1.321576 345.1611 0.9556564 0.08995997
1.35196 345.4651 1.252361 0.0303232
1.380646 345.6868 1.517512 0.04222221
1.413898 346.3043 1.799374 0.1764363
1.447231 347.3441 2.176154 0.1875702
1.477095 347.9504 2.585747 0.1336503
1.506915 348.7257 2.707971 0.2814817
1.536506 349.4749 2.727151 0.3140892
1.56506 349.6089 2.707217 0.1940687
1.594457 349.4105 2.629034 0.08508085
1.623631 348.8353 2.655013 0.01191187
1.656964 348.117 2.771381 359.8005
1.685055 347.8565 2.916145 359.6312
1.716587 347.6448 3.001218 359.5529
1.74992 347.4505 3.060166 359.4203
1.778077 347.4724 3.095923 359.3522
1.81141 347.6696 3.084882 359.3985
1.842414 347.7006 3.002287 359.4156
1.87158 347.6632 2.900494 359.2681
1.901934 347.7952 2.801672 359.2729
1.933345 347.9641 2.660292 359.3216
1.964822 348.1048 2.42848 359.4505
1.996694 348.3587 2.302847 359.4785
2.027312 348.3951 2.240352 359.3507
2.060013 348.4176 2.183784 359.4577
2.089022 348.3609 2.329429 359.2565
2.11982 348.2771 2.452981 359.1494
2.150528 348.3998 2.568294 359.2432
2.180528 348.2378 2.823458 359.1974
2.212559 347.9126 3.105832 359.0815
2.245893 347.6328 3.436248 359.1841
2.276129 347.1164 4.048963 359.001
2.307666 346.8506 4.681146 358.7776
2.336442 347.1769 5.139793 358.9298
2.368169 347.435 5.587846 359.1844
2.398797 347.3857 5.947803 359.3395
2.428506 347.3837 6.26143 359.6574
2.46184 347.5447 6.479922 0.1232983
2.495173 347.4925 6.614481 0.4746649
2.524699 347.3891 6.742963 0.5283567
2.553145 347.3836 6.973146 0.3888197
2.582984 347.3802 7.153396 0.5549496
2.611514 347.4494 7.282988 0.7314282
2.641045 347.3258 7.613801 0.720498
2.670801 347.1101 7.961018 0.5424945
2.701205 346.8503 8.663356 0.278793
2.734539 346.6938 10.00137 359.9728
2.763125 346.6423 11.46452 359.7687
2.791175 346.6848 13.06089 359.5297
2.824509 346.7162 14.14395 359.3931
2.855924 346.8577 15.64637 359.1687
2.889124 347.0752 16.90189 358.9136
2.922457 347.2238 17.57827 359.1816
