時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 0 0 0
0.06928203 0 0 0
0.08123573 0 0 0
0.08568623 0 0 0
0.08907993 0 0 0
0.1169235 0 0 0
0.121766 0 0 0
0.1464132 0 0 0
0.1747533 0 0 0
0.199 0 0 0
0.2038108 0 0 0
0.2074259 0 0 0
0.2115429 0 0 0
0.2145154 0 0 0
0.2190497 0 0 0
0.2221295 0 0 0
0.2250085 0 0 0
0.2278876 0 0 0
0.2308323 0 0 0
0.2340661 0 0 0
0.2368614 0 0 0
0.2396131 0 0 0
0.2426338 0 0 0
0.2458455 0 0 0
0.2498931 0 0 0
0.2544701 0 0 0
0.2583906 0 0 0
0.2615965 0 0 0
0.2646647 0 0 0
0.2693126 0 0 0
0.2721623 0 0 0
0.275067 0 0 0
0.2783985 0 0 0
0.2824966 0 0 0
0.2858309 0 0 0
0.2886155 0 0 0
0.2914769 0 0 0
0.2941574 0 0 0
0.2971631 0 0 0
0.2999946 0 0 0
0.3040095 0 0 0
0.3075989 0 0 0
0.3106054 0 0 0
0.3134824 0 0 0
0.3162027 0 0 0
0.320588 0 0 0
0.3233317 0 0 0
0.3260256 0 0 0
0.3286368 0 0 0
0.3312223 0 0 0
0.3340129 0 0 0
0.3371966 0 0 0
0.3406414 0 0 0
0.343815 0 0 0
0.346754 0 0 0
0.3496049 0 0 0
0.3526558 0 0 0
0.3560988 0 0 0
0.3593347 0 0 0
0.3631052 0 0 0
0.3660611 0 0 0
0.3691406 0 0 0
0.3717742 0 0 0
0.374734 0 0 0
0.3775387 0 0 0
0.3804556 0 0 0
0.3842846 0 0 0
0.3872013 0 0 0
0.390489 0 0 0
0.3937156 0 0 0
0.3971756 0 0 0
0.4002503 0 0 0
0.403783 0 0 0
0.4069248 0 0 0
0.4099267 0 0 0
0.41279 0 0 0
0.4157739 0 0 0
0.4190068 0 0 0
0.4225332 0 0 0
0.4258058 0 0 0
0.4290225 0 0 0
0.431834 0 0 0
0.4349431 0 0 0
0.4382045 0 0 0
0.44119 0 0 0
0.4443382 0 0 0
0.4474 0 0 0
0.4503716 0 0 0
0.453104 0 0 0
0.4560254 0 0 0
0.4589103 0 0 0
0.4619555 0 0 0
0.4648754 0 0 0
0.4677464 0 0 0
0.4704845 0 0 0
0.4734216 0 0 0
0.476239 0 0 0
0.4794187 0 0 0
0.4824955 0 0 0
0.486175 0 0 0
0.4896184 0 0 0
0.4924369 0 0 0
0.4953491 0 0 0
0.4984054 0 0 0
0.5016183 0 0 0
0.5046483 0 0 0
0.5076307 0 0 0
0.5105708 0 0 0
0.5137811 0 0 0
0.5166323 0 0 0
0.5199062 0 0 0
0.5225464 0 0 0
0.525322 0 0 0
0.5280679 0 0 0
0.5310555 0 0 0
0.5343908 0 0 0
0.5380948 0 0 0
0.5415477 0 0 0
0.5444295 0 0 0
0.5507491 0 0 0
0.5546386 0 0 0
0.5578296 0 0 0
0.5605279 0 0 0
0.5634037 0 0 0
0.5664806 0 0 0
0.5709912 0 0 0
0.5750448 0 0 0
0.578694 0 0 0
0.5816509 0 0 0
0.5847439 0 0 0
0.5878117 0 0 0
0.59065 0 0 0
0.5936238 0 0 0
0.5964988 0 0 0
0.5994626 0 0 0
0.6030302 0 0 0
0.6064504 0 0 0
0.6092826 0 0 0
0.6123681 0 0 0
0.6152948 0 0 0
0.6185222 0 0 0
0.6212302 0 0 0
0.6242709 0 0 0
0.6272519 0 0 0
0.6301891 0 0 0
0.633191 0 0 0
0.6361362 0 0 0
0.6390556 0 0 0
0.6487346 0 0 0
0.6522754 0 0 0
0.6554402 0 0 0
0.6586539 0 0 0
0.6622261 0 0 0
0.6655017 0 0 0
0.6686266 0 0 0
0.6716309 0 0 0
0.6750903 0 0 0
0.6787773 0 0 0
0.6817638 0 0 0
0.68575 0 0 0
0.6891192 0 0 0
0.6960543 0 0 0
0.6988229 0 0 0
0.7027085 0 0 0
0.70555 0 0 0
0.708185 0 0 0
