時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 320.6703 306.5509 5.193742
0.08666666 318.238 305.9754 4.58373
0.1192735 318.2374 306.5695 4.382874
0.1494269 318.483 310.0392 3.44646
0.1827602 318.4795 313.4056 2.736718
0.2144328 318.5316 316.8335 1.855714
0.243725 319.0854 321.13 0.9012197
0.2724375 319.0567 325.2159 359.6957
0.3038125 318.7957 328.2931 358.592
0.3371458 319.3013 332.747 357.8742
0.3646976 318.8241 336.4917 357.3267
0.395381 317.9959 340.3985 355.7494
0.4257939 318.1172 343.23 355.426
0.4550982 317.7483 345.8998 355.7156
0.4835969 317.0447 348.6375 355.2019
0.5169303 316.6639 350.8186 354.6254
0.5467651 316.2317 353.211 354.3735
0.5756496 316.428 355.1558 353.8356
0.6078426 317.1441 356.3699 353.291
0.6411012 317.6974 357.7818 352.7738
0.6701261 317.9876 359.3177 352.3948
0.7032052 318.4971 0.6725547 352.1253
0.7346817 318.308 1.820248 351.7203
0.7657822 318.5287 2.678544 351.4233
0.7970452 319.0416 3.199548 351.5785
0.8279508 319.5078 3.946829 351.1641
0.8554627 320.5705 4.416962 350.9914
0.8869677 321.5494 4.370999 351.3036
0.9175814 322.1253 4.299483 351.5818
0.9470205 322.3333 4.159344 351.8445
0.9803538 323.5128 3.802999 352.1956
1.011839 324.4827 3.651407 352.4738
1.042561 325.1826 3.34961 352.8633
1.075894 326.6137 3.004682 353.181
1.109228 336.3452 1.117581 355.1548
1.142561 336.2394 1.174484 355.2104
1.174406 337.5529 0.8356911 355.3924
1.207659 338.1466 0.6522837 355.5273
1.240316 339.3141 0.4139645 355.8887
1.269177 340.1784 0.3863427 356.0564
1.297639 341.1433 0.2102864 356.2272
1.327383 342.0718 0.0695131 356.274
1.356363 342.6888 0.03750468 356.3127
1.386871 343.4766 359.8136 356.5101
1.420205 345.175 359.2563 356.805
1.453538 347.5864 358.7445 356.8128
1.480752 350.9059 357.9733 356.8854
1.511837 352.6873 357.5623 356.9709
1.540815 354.9492 357.106 356.8535
1.574148 356.0552 356.8398 356.7282
1.602081 357.4342 356.4919 356.5573
1.631229 359.1696 356.0658 356.5155
1.660573 0.1048647 355.5204 356.5478
1.692032 0.09201552 354.0988 356.3809
1.725365 359.1011 351.91 356.2276
1.75447 358.5509 349.4683 356.3893
1.786946 357.3487 344.1696 355.3971
1.817267 356.3382 338.8829 354.4275
1.845872 355.0941 333.7711 354.1261
1.879206 354.0797 328.4481 354.1659
1.911256 353.5804 323.7327 354.2961
1.94459 353.2866 319.3904 354.2964
1.974686 352.3573 313.8426 354.8346
2.003787 352.2317 311.5233 354.8053
2.037121 352.0243 308.4066 355.2672
2.069569 352.0113 306.0771 355.6188
2.099383 352.5021 303.2781 355.8896
2.131915 351.849 301.5373 357.0353
2.164075 351.8893 300.1791 357.6125
2.197408 351.7667 299.1778 358.1017
2.225407 350.8109 298.5733 358.7653
2.255302 350.449 298.1617 359.2008
2.287853 350.8089 298.3004 359.4346
2.32092 351.0599 298.6124 359.6639
2.354254 352.1721 299.4555 359.5467
2.386323 352.9219 300.3185 359.3411
2.419656 354.4525 301.9628 359.2928
2.450979 355.1942 304.0194 358.821
2.479525 355.4847 305.5494 358.9622
2.512858 356.0622 307.4183 358.5947
2.542285 356.1078 310.4998 358.366
2.571004 356.28 312.5072 359.2657
2.597845 356.7549 315.1233 358.7837
2.626022 356.9431 317.148 358.3487
2.65713 357.7838 320.2355 358.2284
2.690464 358.6159 325.2933 358.3945
2.719174 358.545 327.8903 358.7978
2.749102 359.1283 331.6945 359.2544
2.782436 359.7273 334.4267 359.8987
2.813941 359.1327 336.5034 359.7102
2.847274 359.4684 340.1553 359.2964
2.878697 359.8087 343.0383 359.688
2.912031 359.3599 345.9449 359.3688
2.942231 359.8706 349.7829 359.1868
2.974398 0.01479362 352.6067 359.3893
3.007731 0.2408878 354.8427 359.3736
3.036106 0.8032533 356.7889 359.416
