時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 0.8116782 359.6635 1.424783
0.08666666 2.374867 359.7417 1.0637
0.12 2.435009 359.7345 1.064111
0.1521452 2.633002 359.657 0.9725867
0.1854785 2.920259 359.4019 0.9275776
0.2188119 3.485774 359.4366 1.26883
0.2490878 3.195863 359.6136 1.378986
0.2816674 2.818263 359.7935 1.374257
0.3122016 2.899675 0.01569578 1.424228
0.3414946 2.890458 0.2163954 1.522221
0.374828 2.89704 0.4423691 1.439643
0.4062127 2.964346 0.7158663 1.28349
0.4395379 2.988699 0.7162216 1.304296
0.4690522 3.092686 0.6685264 1.389788
0.5023855 3.034817 0.5985236 1.337592
0.5357189 2.751862 0.5383161 1.358473
0.5655187 2.491925 0.5199943 1.420959
0.598852 2.272026 0.4877812 1.459048
0.6316224 2.010392 0.4960476 1.484576
0.6602111 1.874331 0.4937809 1.518704
0.6919725 1.878531 0.4018069 1.512093
0.7214186 2.033449 0.3049475 1.500749
0.7547519 2.182282 0.2156568 1.465352
0.7862868 2.414092 0.134847 1.303908
0.8162122 2.520557 0.0510741 1.193649
0.8441605 2.598877 359.9547 1.087667
0.8737767 2.57076 359.8396 1.050803
0.9038627 2.579653 359.7593 0.9872115
0.9356771 2.652565 359.7572 0.9883079
0.9686038 2.729854 359.8004 1.041453
0.9975359 2.65659 359.9198 1.05317
1.027807 2.686249 0.02928708 1.026058
1.06114 2.778866 0.09856067 0.9908328
1.087886 2.696596 0.07050054 1.059184
1.12122 2.699425 0.003963876 1.080932
1.153656 2.748288 359.8581 1.098878
1.182517 2.751495 359.8975 1.02122
1.212711 2.868497 359.907 1.041578
1.243506 2.918398 359.9796 1.047705
1.27371 3.101718 359.9934 1.135205
1.302403 3.101415 0.04640039 1.135482
1.333108 2.996514 0.0934509 1.043442
1.364881 2.938398 0.07526572 1.072674
1.395644 2.902753 0.1330266 1.152327
1.428977 2.719499 0.3198969 1.163558
1.456246 2.806239 0.5306975 1.085984
1.485108 2.840625 0.740223 1.057243
1.518442 2.663902 0.9650792 0.9943481
1.549216 2.504545 1.060431 0.8930363
1.579069 2.341167 1.100305 0.8440919
1.612402 2.05838 1.155608 0.8162494
1.64326 1.956516 1.252838 0.558765
1.676593 1.576757 1.311792 0.2867905
1.70595 1.411764 1.240283 0.2385713
1.73715 1.57716 1.076278 0.1883777
1.76976 1.742732 0.7852984 0.2437777
1.800384 2.179218 0.5592604 0.3534165
1.829686 2.509298 0.3734013 0.4359682
1.859709 2.748423 0.2281512 0.4756872
1.891687 2.857141 0.1915456 0.4548109
1.92502 3.030551 0.07213657 0.5853847
1.952462 3.298727 359.9431 0.8377354
1.983814 3.406945 359.8258 0.982094
2.017147 3.838533 359.6076 1.066513
2.048245 4.627361 359.4638 1.054068
2.081578 4.864795 359.4917 0.9012505
2.114912 5.008034 359.4726 0.9615277
2.143929 5.237832 359.4063 1.048232
2.175031 5.468084 359.2591 0.9689447
2.201923 5.78807 359.0697 0.9055392
2.231732 5.971648 359.043 0.8473397
2.26001 6.288839 358.9023 0.8018584
2.289074 6.479817 358.8332 0.7047347
2.32217 6.70955 358.7097 0.6222448
2.349879 6.815386 358.6264 0.545777
2.378998 6.950397 358.6577 0.511614
2.408467 7.131104 358.6623 0.4960293
2.439471 7.181553 358.7431 0.5153351
2.472805 7.180332 358.7879 0.4301254
2.503595 7.196 358.7562 0.3984868
2.536929 7.262035 358.7484 0.4640167
2.570262 9.17051 358.6561 0.4836824
2.602375 9.598526 358.7396 0.5249385
2.633943 10.58144 358.6801 0.5776997
2.662572 11.3831 358.4489 0.5645666
2.695905 12.01262 358.2008 0.5439881
2.729238 12.56392 357.6375 0.6052436
2.755355 12.83841 357.1816 0.6784894
2.785032 12.75087 356.8112 0.6188711
2.814092 12.54862 356.51 0.5862105
2.847425 12.57474 356.3734 0.5881652
2.879166 12.74434 356.3872 0.5096639
2.912499 12.81106 356.7657 0.3944541
