時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 359.078 358.8351 358.2021
0.08666666 358.8285 359.0276 358.2115
0.12 358.794 358.9865 358.2395
0.1489954 358.8123 358.5746 358.4989
0.1799967 359.0304 358.4025 358.4238
0.2099955 359.176 358.3127 358.4033
0.2433288 359.1803 358.294 358.4564
0.2726932 359.0442 358.3429 358.6273
0.3052786 359.0314 358.3914 358.7748
0.3353795 359.0808 358.5585 358.7534
0.3627244 359.1614 358.7143 358.6374
0.3960578 359.234 358.8905 358.4976
0.4276254 359.3363 358.9833 358.5053
0.4571992 359.5205 358.9474 358.5818
0.4853584 359.6367 358.924 358.4132
0.5147536 359.7179 358.8729 358.26
0.5473844 0.01441878 358.7944 358.1164
0.577471 0.4472353 358.7975 357.9938
0.6055071 0.6775584 358.8142 357.9865
0.6347098 0.9233162 358.7974 358.1978
0.6663176 1.131239 358.8043 358.3944
0.6950198 1.509914 358.7482 358.4988
0.7233031 1.583031 358.7087 358.4392
0.7537873 1.648318 358.6243 358.364
0.784327 1.981932 358.5156 358.2971
0.814073 2.351838 358.4408 358.2397
0.8419148 3.065123 358.3812 358.1956
0.8752481 3.801385 358.3454 358.1941
0.908155 4.849555 358.2943 358.2505
0.9388598 5.702762 358.2821 358.4323
0.9703145 6.793661 358.2521 358.5006
1.001285 7.601656 358.3457 358.4471
1.034618 8.13337 358.4356 358.5368
1.064327 8.989595 358.334 359.0701
1.09766 9.500845 358.2877 359.3625
1.129419 10.57556 358.1601 359.5338
1.162752 11.5057 358.0031 359.4986
1.192216 12.47142 357.8634 359.4294
1.220938 13.33196 357.7141 359.4345
1.251446 14.10974 357.5472 359.4383
1.281728 14.58364 357.4401 359.4648
1.315061 15.33068 357.2771 359.4236
1.344466 16.11732 357.2222 359.3874
1.37539 16.58555 357.2074 359.2787
1.405804 17.13518 357.3168 359.0121
1.436738 17.52749 357.5544 358.7198
1.465372 17.68358 357.754 358.6704
1.496015 17.96522 358.1075 358.6407
1.527186 18.6388 358.4822 358.3724
1.555682 19.26104 358.7068 358.2245
1.583072 19.52074 358.8551 358.3515
1.613892 19.23291 358.9752 358.3952
1.647225 19.02975 359.1657 358.3422
1.6778 18.82981 359.4562 358.4999
1.706239 18.70549 359.5779 358.7283
1.738328 18.65334 359.566 358.8817
1.771662 18.60676 359.6278 359.042
1.800898 18.44915 359.3649 359.4254
1.83251 18.37654 359.0063 359.6091
1.865844 18.58123 358.6969 359.5634
1.899177 18.61451 358.4622 359.4155
1.93251 18.80915 358.2891 359.3214
1.961622 18.68704 358.2875 359.0882
1.994955 18.18588 358.3251 358.8384
2.023472 17.62743 358.4139 358.6493
2.051684 17.21201 358.5502 358.4959
2.079964 16.31258 358.801 358.3842
2.113297 15.75725 358.9904 358.3662
2.144607 15.18922 359.3099 358.3357
2.177192 14.83983 359.537 358.4685
2.20565 14.70238 359.6797 358.7477
2.236543 14.85566 359.7512 358.9757
2.269313 15.13305 359.7256 359.1632
2.298997 15.4154 359.6933 359.3228
2.331259 15.31966 359.8627 359.1696
2.364592 14.82133 359.948 359.0031
2.394282 14.26664 359.8896 359.068
2.425775 13.86179 359.7392 358.9602
2.456594 13.67245 359.3278 358.6881
2.487952 13.20543 359.1617 358.4538
2.521285 12.45043 359.1823 358.2173
2.553173 11.57277 359.6395 357.8901
2.582083 11.4726 359.9876 357.8702
2.615416 11.90483 0.4612147 358.0119
2.647523 12.25969 0.9901988 358.2163
2.67602 12.48471 1.121829 358.6096
2.705097 13.34564 1.058542 358.918
2.736134 14.73371 0.8199638 359.3222
2.767442 14.53506 0.6645562 359.3147
2.798609 13.44348 0.6257892 359.1071
2.829016 13.23733 0.5601112 358.8567
2.858614 13.29822 0.3785823 358.5855
2.88823 13.28734 0.2915187 358.3084
2.919578 13.28549 0.2330863 357.9801
2.951577 13.50673 0.1908367 357.6859
2.98491 13.6909 0.1301402 357.5367
3.015587 13.87916 0.08647221 357.424
