時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 346.9968 354.815 8.794062
0.08666666 345.4152 1.918511 6.52563
0.12 345.4341 1.868593 6.493597
0.1503033 345.5129 1.584573 6.549232
0.1836366 345.3618 1.298473 6.71759
0.2126911 345.8966 0.9428671 6.834758
0.2460245 345.9797 1.044195 6.782208
0.2792793 345.7165 1.119607 6.547138
0.3076512 345.5523 1.187578 6.421865
0.3409845 345.5847 1.151784 6.407963
0.3706203 344.7488 1.29845 6.399573
0.4039536 344.4396 1.496495 6.384838
0.4372869 344.3142 1.661523 6.479462
0.46645 344.1277 1.618879 6.479461
0.4969797 343.9533 1.40545 6.457557
0.527054 343.7673 1.293328 6.503642
0.5586246 343.8692 1.194233 6.578187
0.5856705 343.8033 1.136681 6.629198
0.6190038 343.7197 0.9846849 6.787338
0.6510325 343.7774 0.7687626 6.881483
0.679921 343.6783 0.3513978 7.061995
0.7132313 343.8288 0.09812624 7.055
0.7437963 344.372 0.07751305 7.243582
0.772271 344.4333 0.05317327 7.453433
0.8027724 344.0375 359.8769 7.578156
0.8318203 343.7802 359.4371 7.555059
0.8620727 343.6006 359.1414 7.4185
0.8946514 343.6223 358.9617 7.188807
0.9269254 343.2485 358.6413 7.266998
0.9588257 343.505 358.5077 7.370696
0.9914925 343.4143 358.3913 7.484111
1.022703 343.7988 358.296 7.665562
1.056036 344.059 358.3993 7.640644
1.085646 344.0167 358.5736 7.40404
1.118531 344.1183 358.7282 7.304833
1.146925 344.7534 358.8589 7.170353
1.177987 344.6312 358.9868 6.997088
1.206952 344.5528 359.1671 6.926998
1.236539 344.738 359.3778 6.976252
1.266802 344.5979 359.501 6.957557
1.297508 344.6584 359.6298 6.916749
1.326549 344.5575 359.7806 6.959945
1.356121 344.4847 359.806 6.79471
1.389071 344.6672 359.9722 6.557523
1.419543 344.7191 0.2285707 6.387829
1.450036 344.7641 0.4451977 6.23608
1.479237 345.1706 0.5980938 6.065912
1.509932 345.5616 0.6822417 6.111213
1.540202 345.9607 0.7165587 6.19735
1.568481 346.3975 0.960301 6.115299
1.598072 346.5711 1.217031 6.118104
1.631406 346.8329 1.323653 6.309019
1.660352 347.3055 1.405617 6.430532
1.693686 347.6186 1.40693 6.358061
1.727019 347.8329 1.242469 6.293943
1.75592 348.1032 0.9411835 6.496416
1.784935 348.2678 0.6292626 6.601151
1.818269 348.1945 0.3734317 6.602232
1.851432 348.4433 0.1386182 6.818069
1.883276 348.8086 0.03126517 6.982507
1.913817 349.2136 0.200474 7.035867
1.942365 349.6976 0.2642945 6.987411
1.97426 350.1398 0.2779684 6.940546
2.00515 350.6509 0.2659563 6.73176
2.037843 350.7953 0.2732925 6.504313
2.070548 350.9854 0.3023684 6.416503
2.103784 351.2092 0.03056783 6.57299
2.133079 351.3178 359.7111 6.612318
2.163213 351.5194 359.59 6.601269
2.192858 351.5792 359.4554 6.696814
2.225806 351.409 359.4188 6.728503
2.258598 351.2218 359.5411 6.724878
2.289032 350.7737 359.7283 6.7708
2.317938 350.2559 0.0353314 6.771153
2.351271 349.5229 0.6395187 6.674194
2.384209 348.7588 1.392221 6.360809
2.415305 348.1155 2.313131 6.097181
2.448043 347.6515 3.289327 5.910324
2.478204 347.2082 4.256104 5.598352
2.509069 347.1005 5.071411 5.323677
2.53931 347.1063 5.517738 5.276003
2.572643 347.2053 6.052676 5.133554
2.605892 347.1046 6.574291 5.158735
2.634135 346.9671 6.689569 5.379017
2.665681 346.6639 7.034153 5.31352
2.695403 346.4448 7.300618 5.287956
2.728415 346.3395 7.408631 5.312345
2.760424 346.2786 7.669184 5.255041
2.793757 345.9339 7.993596 5.262339
2.821729 345.6861 8.531438 5.001698
2.851526 345.7034 8.732472 5.195235
2.880903 345.7161 8.727199 5.37276
2.910166 345.6273 8.675845 5.413168
2.938413 345.5365 8.413578 5.518118
2.968693 345.5452 8.206953 5.540707
2.998109 345.7837 8.006049 5.547075
