時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 343.5142 3.791231 352.2468
0.08666666 341.7651 357.1306 356.16
0.12 341.8314 356.9733 356.1867
0.1502059 341.7706 356.4277 356.5368
0.1835392 341.4194 356.3403 356.9453
0.2168726 341.4764 356.5539 357.3294
0.2450631 341.4864 356.823 358.2019
0.2733999 341.8516 357.0141 358.8552
0.3040779 342.1021 357.0678 359.4755
0.3338905 342.4364 357.114 0.3818146
0.3660349 342.8474 357.061 0.8742436
0.3955038 343.1597 356.767 1.318956
0.4267609 343.4633 357.192 1.009092
0.4583582 344.6904 357.4329 0.8130248
0.4882629 345.5756 358.0464 0.5155081
0.5196732 346.1146 358.2249 0.5540063
0.5517824 346.8069 358.5198 0.4752373
0.5851157 347.1544 358.6194 0.4286458
0.6135864 347.3506 358.6619 0.5296478
0.6416724 347.8264 358.8683 0.2151967
0.6750057 348.0168 358.9785 359.9872
0.7070485 348.6034 359.1985 359.8298
0.7364354 349.2505 359.5324 359.5901
0.7657027 349.6757 359.9669 359.3345
0.7974045 350.62 0.5132986 358.9866
0.8245656 351.1929 0.7307706 358.7051
0.8528707 351.5785 0.3518223 359.0785
0.8792113 351.1917 0.2026831 0.2676945
0.9125447 351.3867 0.5088909 0.2183278
0.9406894 352.2093 1.232643 359.9021
0.9739726 352.9841 1.223665 0.3987647
1.000502 353.0951 1.164904 0.8602652
1.029134 352.7733 0.3834369 0.7909747
1.056205 352.8935 359.5244 0.2452037
1.083041 352.7721 358.623 0.9289978
1.110431 352.5002 358.0634 0.8464965
1.142947 352.1187 357.5583 0.7652392
1.170412 352.0193 356.9797 1.122482
1.199553 351.8251 357.2388 0.6697964
1.229522 351.7346 357.297 0.5038967
1.257173 351.1853 358.0648 0.5363817
1.290506 351.2482 358.7717 0.5515381
1.321286 351.5987 359.5711 0.6063401
1.350806 352.1444 0.005264351 0.1666604
1.38414 352.1632 0.5215273 359.7502
1.413243 352.4824 1.253531 359.3898
1.446566 352.9714 1.963155 359.3086
1.4799 353.4952 1.885897 359.7708
1.511787 353.6033 0.9270391 0.1860944
1.544762 353.7777 359.8053 0.5181394
1.578095 353.7455 359.2605 0.4727532
1.606619 353.5558 358.6767 359.6388
1.635084 353.6813 358.4703 359.2699
1.666518 353.9515 358.1075 358.9512
1.695848 353.9042 358.0482 359.0917
1.729181 353.9754 358.0941 359.5034
1.762514 353.5602 357.8272 0.2164274
1.790839 352.8123 358.1067 0.3698411
1.823439 352.1819 357.9534 0.7351806
1.854439 351.4335 357.502 1.142383
1.881918 351.1169 357.0297 1.601978
1.908556 350.6067 356.3006 2.159876
1.937521 350.476 356.3274 2.270507
1.965169 350.0897 356.1644 2.503567
1.996582 349.1405 356.4749 2.461925
2.028947 349.0594 357.0239 2.4108
2.059319 348.4379 357.8528 2.460116
2.087406 348.4842 358.4654 2.468025
2.115793 348.571 358.9006 2.34724
2.142878 349.3179 359.0598 2.610008
2.172799 350.1536 359.1711 2.59197
2.199639 350.905 359.1993 2.40866
2.227901 353.0586 359.0246 2.329055
2.256461 354.4774 359.0355 1.9972
2.284944 355.7254 359.3528 1.407081
2.311993 355.9479 359.4754 1.280677
2.344114 356.2643 359.5465 1.158129
2.373437 356.0342 359.7678 0.8117608
2.405021 355.7252 359.835 0.9029368
2.432009 355.2861 359.9132 1.36197
2.463439 355.1379 359.93 1.420154
2.491338 355.0177 359.7263 1.446737
2.52022 355.0938 359.5375 1.426451
2.550388 355.2412 359.5383 1.200119
2.581371 355.9915 359.1844 1.269422
2.61039 356.5898 358.3961 1.367468
2.641558 356.4769 357.9692 1.441855
2.671251 356.1112 357.5323 1.036597
2.703354 355.8312 356.8432 0.7774436
2.733248 356.1568 356.455 0.9312226
2.763845 355.9746 356.6019 0.7619375
2.797179 356.1012 356.7365 0.7154095
2.830512 358.1849 0.4425128 0.0394685
2.863845 358.1378 0.7155468 359.8582
2.897179 358.3225 2.292953 0.07421995
