時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 343.1844 355.4371 357.0107
0.08666666 342.6112 357.3887 357.8904
0.12 342.5587 357.5865 357.9395
0.1527268 342.4599 358.2434 357.9539
0.1860601 342.3478 358.9396 357.8603
0.2157069 342.4423 359.6587 357.8681
0.2443949 342.4221 -0.002239706 357.8526
0.2777283 342.3834 0.2128911 357.8389
0.3071766 342.4327 0.501511 357.8313
0.3372477 342.4078 0.7239971 357.7886
0.3660643 342.3427 0.8158938 357.7923
0.3946089 342.3266 0.8575773 357.7683
0.4264854 342.4004 0.8228297 357.7496
0.4598188 342.4272 0.6350415 357.6682
0.490099 342.5016 0.4561527 357.6258
0.5183787 342.613 0.2886576 357.5923
0.551712 342.7833 0.04421312 357.5713
0.5829291 342.9265 359.7612 357.5525
0.6122468 343.1533 359.5681 357.5636
0.6426672 343.3167 359.4193 357.5805
0.6737988 343.4849 359.3001 357.6946
0.7044535 343.729 359.244 357.6831
0.7333901 343.9638 359.179 357.6768
0.7667235 344.2402 359.0776 357.8065
0.8000568 344.5245 359.0162 357.848
0.8326416 344.8361 358.9671 357.8181
0.8626865 345.1728 358.9359 357.8414
0.8943722 345.5295 358.9966 357.7919
0.9244371 345.7908 359.0704 357.7674
0.9577704 346.2094 359.2144 357.777
0.9880835 346.6657 359.4924 357.7263
1.021417 347.0885 359.82 357.6114
1.05475 347.4846 0.2389563 357.5041
1.084077 347.8344 0.6759676 357.4746
1.113782 347.982 0.9878351 357.5195
1.146173 348.1349 1.190034 357.5648
1.179506 348.2963 1.4023 357.6221
1.210794 348.2827 1.504667 357.6573
1.23905 348.3283 1.478826 357.7646
1.270348 348.3325 1.399949 357.6806
1.301921 348.3315 1.126775 357.6521
1.332098 348.4174 0.7801522 357.7268
1.359921 348.4014 0.009183032 357.8695
1.39103 348.3452 358.7171 357.9347
1.421081 348.3411 357.6046 358.0014
1.449466 348.1888 355.8745 358.0246
1.477124 348.0004 353.7386 358.031
1.50973 347.8551 352.2672 358.0396
1.539426 347.6973 349.977 358.1558
1.569133 347.65 347.6317 358.2283
1.601079 347.6809 346.0909 358.3047
1.630646 347.6551 344.3484 358.4523
1.659212 347.7672 342.9378 358.7212
1.687281 347.8972 342.0097 358.9845
1.714414 347.968 341.6515 359.173
1.743228 348.1399 341.4213 359.4953
1.773039 348.3123 341.4864 359.7035
1.801128 348.4849 341.867 0.06002541
1.832788 348.5668 342.3206 0.1646706
1.863394 348.6274 342.9761 0.3094366
1.896727 348.7204 343.6797 0.5708102
1.925055 348.8463 344.5105 0.6845469
1.954131 348.9352 345.2114 0.7209345
1.987464 349.0614 346.0119 0.7372361
2.017063 349.0289 347.0213 0.8440164
2.048045 348.8899 348.0995 0.9534175
2.076468 348.515 349.7797 1.35497
2.109801 348.1063 351.6908 1.745511
2.142168 347.8681 354.9795 2.252329
2.17344 347.9258 358.4488 2.414581
2.206774 348.1042 2.068662 2.366609
2.240107 348.4843 5.575377 2.249369
2.273337 348.9754 9.239446 1.605868
2.305916 350.0609 13.32705 0.7917728
2.338378 350.8077 15.32778 0.2033836
2.368621 352.0349 18.38319 358.8719
2.399051 353.4091 22.58702 357.2943
2.429139 354.5776 26.06006 356.9425
2.458436 355.0418 28.13435 357.0348
2.49021 355.5392 30.73802 356.861
2.519444 355.9476 32.88556 356.6859
2.549936 356.3877 35.56738 356.1478
2.582741 357.0242 36.94289 356.2508
2.613402 357.96 37.63585 357.1942
2.644814 359.0666 37.27415 357.5216
2.67314 359.9672 36.35726 357.5896
2.701248 0.6463215 35.24875 357.3662
2.730897 1.306098 34.78045 356.5072
2.76423 1.477077 34.99154 355.6073
2.792994 0.9065077 36.34655 354.9734
2.822744 1.250409 37.9209 355.5172
2.853951 1.63379 38.81654 356.2307
2.884171 1.540243 39.88345 356.9789
2.917504 1.424514 40.37275 357.5523
2.94922 0.8824198 41.57959 356.2352
2.977439 1.366262 42.97162 355.518
