時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 356.8932 358.9723 0.7860703
0.08666666 354.2338 356.4616 0.5112845
0.12 354.3029 356.4654 0.4317831
0.1520465 355.04 356.463 0.2064103
0.1853798 356.0009 356.3729 0.07487712
0.2134577 356.4781 356.3546 359.9657
0.2421689 356.6356 356.4177 359.9163
0.2718361 356.7717 356.5518 359.8381
0.301668 356.7076 356.6465 359.7737
0.330935 356.3437 356.857 359.7614
0.3600292 356.0054 357.0215 359.8263
0.3931659 355.5531 357.1937 359.8799
0.4234818 354.9919 357.3842 359.8556
0.4568152 354.674 357.4958 359.8687
0.4899478 354.844 357.4395 359.9346
0.5172578 355.3769 357.3945 359.8721
0.5487958 355.7426 357.3524 359.8607
0.5821291 356.1121 357.2737 359.8839
0.6154624 356.324 357.2546 359.9803
0.642466 356.4335 357.2218 0.1565023
0.6733327 356.4695 357.2102 0.1783804
0.7023941 356.5914 357.2511 0.1064508
0.7305816 356.7486 357.2676 0.04367173
0.7584647 357.0838 357.3051 359.8952
0.7865255 357.4289 357.2858 359.8411
0.8139547 358.0609 357.2209 359.7802
0.8472881 358.5204 357.1583 359.7636
0.8751209 359.4378 357.0417 359.8194
0.9044009 0.2690583 357.0934 359.7875
0.9330543 0.9675208 357.269 359.8064
0.9606197 1.35926 357.3843 359.8631
0.9903315 1.588532 357.7072 359.9924
1.021097 1.781326 357.9323 0.1360346
1.052682 2.089395 358.226 0.423619
1.080357 2.564439 358.3373 0.7563307
1.109277 2.899116 358.2643 0.9362819
1.139411 3.112269 358.0146 1.097711
1.169196 3.382249 357.594 1.253511
1.202332 3.548385 357.1895 1.447013
1.231496 3.449179 356.4769 1.621553
1.260956 3.112907 355.7825 1.688223
1.29429 3.041473 355.3223 1.832526
1.324445 3.265008 354.6952 1.925258
1.35232 3.645842 354.2429 1.895552
1.381424 4.116163 353.8593 1.882624
1.408633 4.576088 353.6307 1.908
1.44009 5.220863 353.4251 1.977613
1.46676 5.576055 353.2354 1.945791
1.496139 5.803545 353.1945 1.970229
1.525103 6.265558 353.1422 2.024969
1.553417 6.453538 353.1488 1.949793
1.58675 6.561822 353.2793 1.777629
1.615329 6.582984 353.4113 1.634035
1.642302 6.668417 353.4967 1.475031
1.675635 6.888317 353.5171 1.338402
1.704354 7.065797 353.4092 1.138371
1.732775 7.17427 353.3162 0.89034
1.762757 7.387036 353.0261 0.880999
1.795418 7.519833 352.5297 0.8809002
1.82713 7.454079 351.7352 0.9995649
1.855424 7.435839 351.0141 1.110446
1.885313 7.363728 349.7065 1.392144
1.918647 7.038748 348.0182 1.598633
1.947485 6.138555 345.5255 1.984267
1.977446 5.076743 342.9245 2.086258
2.005906 4.244885 341.5439 2.126237
2.036399 2.910237 340.1487 2.244704
2.064143 2.169196 339.6572 2.196197
2.097477 1.725025 339.7049 2.128787
2.125331 0.9295585 340.5832 1.993726
2.153173 0.1074174 342.0927 1.676854
2.184978 359.4951 343.1367 1.519185
2.216516 358.2004 345.3333 1.234768
2.245322 356.3723 347.9606 0.8518256
2.27821 354.9005 350.0755 0.5831444
2.308044 352.6257 353.7454 0.1427807
2.336677 350.87 356.5504 359.656
2.36769 348.7493 0.4042332 359.1697
2.396998 347.0771 4.249361 358.7178
2.424876 346.2725 6.798006 358.3076
2.45821 346.1361 9.671512 358.2263
2.487164 346.3446 11.5398 358.478
2.517658 346.7972 12.14233 358.6484
2.547221 347.277 12.17934 358.7524
2.578592 347.7379 11.8352 358.9667
2.608801 347.9627 11.20085 359.1715
2.642135 347.9005 10.3983 359.3124
2.669692 348.0723 9.702785 359.4804
2.697843 348.0026 9.02608 359.463
2.731176 348.0309 8.559413 359.3759
2.759802 348.3216 7.749189 359.2897
2.793135 348.5171 7.404476 359.208
2.82213 349.2129 6.637868 359.2054
2.854187 349.6179 6.165321 359.2988
2.88444 350.518 5.442785 359.4095
2.912818 351.4286 4.54881 359.345
2.942373 351.7908 3.810847 359.2453
