時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 355.2817 351.7328 0.5372938
0.08666666 356.7516 352.0975 359.2708
0.12 356.6946 352.4108 358.93
0.15051 356.6159 353.0272 358.5029
0.1838433 357.0895 353.4014 359.1758
0.2158138 357.7484 354.9862 359.2259
0.2478088 357.4471 355.9584 359.0752
0.2811421 356.7453 357.4393 358.72
0.3144755 356.4858 358.6617 358.9549
0.3464326 354.2957 359.4226 359.3828
0.3797659 352.8259 359.3271 359.8832
0.4081298 349.4465 358.3673 0.6650524
0.4414631 345.3923 357.7503 0.8059856
0.4747965 343.8726 357.546 0.2262763
0.5081298 343.7936 357.4766 359.4568
0.5414631 344.8986 357.4893 359.8513
0.5747965 346.0014 357.4419 0.1551846
0.6043122 346.4917 357.5204 0.02683502
0.6357782 346.6742 357.5897 359.7467
0.6687389 347.2045 357.5635 359.375
0.6981199 347.4538 357.4622 359.5267
0.7266931 347.9946 357.4837 359.6952
0.7559936 348.4339 357.534 359.8278
0.7860779 348.8047 357.6749 359.9846
0.8194112 349.4944 357.933 359.8886
0.8476305 350.3824 358.3452 359.7671
0.8776135 351.2178 358.6697 359.7865
0.9109468 351.9077 358.9915 359.7893
0.9442638 352.7955 359.7984 359.53
0.974503 352.6952 0.2417492 359.5114
1.007836 352.4998 0.4897455 359.6112
1.038711 353.3593 0.9418739 359.6835
1.069831 354.2906 1.042579 359.6942
1.098669 355.8065 1.179862 359.6837
1.128474 357.7879 1.300616 359.7721
1.157557 358.8609 1.308918 359.8157
1.189572 359.7601 1.177523 359.7897
1.218347 0.6121358 0.9494382 359.6444
1.25168 1.421328 0.7359028 359.4339
1.284341 1.535851 0.3659647 359.3014
1.314372 1.41026 0.01747706 359.1938
1.347705 1.387812 359.7939 359.139
1.381038 5.995568 351.5166 359.4288
1.414372 6.085442 351.196 359.419
1.447705 5.778926 350.0275 359.3307
1.478396 5.674882 349.522 359.5363
1.51173 5.54992 349.3927 359.8422
1.543772 5.328476 349.3315 359.9352
1.577106 5.257621 349.4182 359.952
1.60652 5.177285 349.7142 0.0994083
1.635665 5.043405 349.852 0.1671028
1.668998 5.013421 350.0457 0.2180567
1.702332 4.9814 350.2515 0.299445
1.730499 4.864412 350.3893 0.5215242
1.762076 4.750504 350.6581 0.739697
1.793015 4.61313 351.0702 0.9347816
1.826348 4.331933 351.9461 1.088901
1.859385 4.077802 352.8833 1.22457
1.892111 3.313207 354.996 1.279832
1.925077 2.747139 356.8678 1.386663
1.95841 2.574366 358.8032 1.592451
1.991744 2.31545 0.8086464 1.660177
2.020413 2.391821 2.16563 1.595036
2.05032 2.515384 3.795294 1.560653
2.082296 2.503919 5.253354 1.408147
2.112242 1.827006 6.257166 0.9971182
2.145576 1.763769 6.760103 0.753083
2.175486 2.031002 7.401227 0.7448463
2.207616 2.232226 7.72367 0.796195
2.238476 2.410656 7.684062 0.8290175
2.27181 2.509308 7.558129 0.819512
2.305143 2.639264 7.322277 0.6119138
2.338476 2.777471 6.966404 0.4532844
2.371033 2.721656 6.476105 0.2082924
2.404366 2.474256 6.17633 359.982
2.437699 1.645304 5.675662 359.3159
2.471033 0.7330248 5.382658 358.7102
2.504366 0.09631462 5.202882 358.4318
2.535088 0.05728157 5.038349 358.5343
2.566205 0.1788088 4.770557 358.8038
2.599538 0.5004309 4.512159 358.9802
2.632871 0.7900606 4.116962 359.0314
2.666205 1.021581 3.719581 359.0394
2.698056 1.387794 2.777483 358.9157
2.728325 1.213364 1.854574 358.6777
2.761255 0.8340416 0.8660908 358.4898
2.794588 0.6375155 359.7828 358.3706
2.82286 0.5468004 358.5257 358.4398
2.855819 0.4468619 357.1063 358.5508
2.889153 0.5242775 355.612 358.5614
2.922486 0.7646666 354.3603 358.5404
2.955819 0.9288162 353.2313 358.4236
2.989153 0.8955783 352.4943 358.4326
3.01843 0.8157053 352.103 358.5687
3.05081 0.9138764 352.0707 358.7346
3.082146 0.906626 352.0887 358.9305
