時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 328.2966 353.4052 2.077743
0.08666666 333.8637 334.5798 356.1198
0.12 333.8538 334.5074 356.5656
0.1533333 333.4972 335.0967 357.5778
0.1866667 333.6469 335.6598 358.0307
0.2164696 333.7982 336.2333 358.2068
0.2498029 333.8602 336.5428 358.3481
0.2831362 334.205 337.0106 358.5111
0.3164696 334.9236 337.7665 358.4486
0.3467056 335.5144 338.445 358.3889
0.380039 336.1457 339.3788 358.3978
0.4133723 336.8546 340.6289 358.5518
0.4414355 337.9784 342.6868 358.9827
0.469768 339.3062 345.4526 359.3875
0.4997992 340.0947 347.7012 359.6101
0.5288397 340.7795 350.5942 359.9745
0.5615637 341.1992 353.3436 0.5773317
0.594897 341.2978 355.5078 1.325718
0.6235148 340.9491 356.7484 1.881264
0.6555513 340.534 357.0266 2.155988
0.686752 339.9354 357.0109 2.370125
0.7158794 339.4258 356.5154 2.659348
0.7468457 338.9583 355.847 2.976958
0.7751523 338.6638 355.3416 3.187689
0.8036116 338.6081 354.7594 3.375004
0.836945 338.8011 354.3524 3.404656
0.8663545 339.2841 354.2932 3.419898
0.8958367 339.8008 354.4721 3.509723
0.9287113 340.6862 355.1414 3.394262
0.9579404 341.4266 355.8308 3.128207
0.9896161 341.8408 356.1467 2.936904
1.022949 342.2741 356.4297 2.595539
1.054841 342.8877 356.4504 2.594006
1.087466 343.6532 356.4568 2.705171
1.118636 344.7477 356.3855 2.644838
1.149437 346.0979 356.3471 2.589051
1.180584 347.1471 356.4313 2.486333
1.210697 348.321 356.5125 2.199823
1.242154 349.2924 356.5796 1.980285
1.270295 350.5992 356.6195 1.920505
1.303628 351.4733 356.6915 1.900528
1.335669 353.1147 356.5205 1.811424
1.364447 354.1978 356.274 1.797481
1.39778 355.2775 355.8907 1.864698
1.431114 355.8802 355.4968 1.799927
1.463996 356.4061 355.1768 1.7604
1.493625 356.9845 354.9701 1.750041
1.52267 357.5791 354.9457 1.567227
1.553661 358.1337 354.931 1.508064
1.586232 358.7677 354.9574 1.679236
1.61749 359.8803 355.1451 1.985571
1.647506 1.053165 355.4538 2.107871
1.680839 2.377552 355.8632 2.195413
1.712083 3.640147 356.4647 2.008464
1.744105 5.552621 357.0926 2.145827
1.773156 7.171346 357.8083 1.870159
1.804533 8.20949 358.2765 1.615803
1.837113 9.963075 358.8743 0.9672038
1.870447 11.09933 359.0366 0.4963294
1.901145 11.38504 358.9126 0.1834659
1.931414 11.42668 358.8251 0.04591314
1.960812 11.19145 358.6748 359.9773
1.991008 11.06182 358.5717 0.2152251
2.022223 10.94274 358.6107 0.4128929
2.053205 10.79713 358.5788 0.6895641
2.082661 10.74971 358.4627 0.8172956
2.115994 10.86823 358.2422 0.4569311
2.147822 10.98668 358.1104 0.06951756
2.179976 10.90483 358.3165 0.02327625
2.211077 10.68244 358.8528 0.2387513
2.24184 10.27301 359.2438 0.4562607
2.273048 10.0487 359.5329 0.6501735
2.306381 9.81524 359.6194 0.7538643
2.334962 9.342532 359.6415 1.015738
2.365269 9.155562 359.5759 1.141114
2.397543 8.696351 359.2525 1.282283
2.429442 7.914958 358.4017 1.45364
2.458741 6.855309 357.3499 1.789348
2.490151 4.894203 356.8142 0.2691182
2.523484 3.823855 356.0742 358.7197
2.552323 3.05951 354.9598 358.1997
2.585548 1.751535 355.0194 358.929
2.618881 0.7881471 354.813 358.8623
2.647658 0.7674774 354.8911 359.2763
2.679001 1.214101 355.1762 359.8012
2.711165 1.493819 355.3244 359.7613
2.744498 1.805958 355.5167 359.5083
2.773346 2.074821 355.5956 359.3442
2.802486 2.137927 355.7834 358.7401
2.832152 1.755294 356.1856 357.6446
2.862799 1.782187 356.5366 357.014
2.896112 2.261575 356.7488 356.8599
2.927384 2.433646 356.7725 357.1469
2.955958 2.579099 356.7871 357.575
2.989291 3.147338 356.7994 358.1175
3.018591 4.303658 356.6143 358.9672
3.049317 5.564339 356.1887 359.8681
