時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 343.0393 45.99907 348.3976
0.08332333 338.5905 35.78479 350.0638
0.1022603 338.6382 35.39291 350.1079
0.1088774 338.5242 34.68046 350.0395
0.1175528 338.2768 33.80535 350.1815
0.1288973 338.2083 33.26153 350.4539
0.1405628 338.1346 32.8289 350.5912
0.1521701 338.045 32.37781 350.7416
0.1625385 337.9392 31.98698 350.8651
0.1734529 337.8933 31.57592 350.9974
0.2067863 337.82 31.19243 351.106
0.2401196 337.5902 30.15758 351.5761
0.2704395 337.3519 29.52543 351.8526
0.2996552 337.105 28.93187 352.0045
0.3303026 336.9579 28.51565 352.0726
0.3569257 336.9594 28.10772 352.2033
0.3874352 337.0256 27.3877 352.3455
0.4156772 337.2733 26.38672 352.627
0.4431428 337.7681 25.67902 352.8332
0.4692574 338.6479 24.55241 353.1479
0.4998531 339.7003 23.2435 353.4442
0.5331864 340.4485 22.13011 353.6417
0.5665197 342.104 19.72498 354.5288
0.592576 343.2978 17.60437 355.3405
0.6235459 344.1025 15.60086 355.3683
0.6568793 344.6401 14.1449 355.8362
0.683411 345.1711 12.46699 356.2283
0.7115857 344.8992 11.1881 356.5352
0.7403209 344.3398 10.23142 356.6762
0.7683391 343.2316 8.948366 356.9128
0.79531 342.9494 7.893164 357.0947
0.8213359 342.7021 6.630305 357.3113
0.8499166 342.4617 5.939443 357.303
0.8797668 342.2254 4.866573 357.3346
0.9095384 342.1508 4.042332 357.4472
0.937709 342.0134 3.125806 357.4289
0.9660798 341.9364 2.064257 357.4444
0.9994131 342.0353 1.395545 357.4397
1.032746 342.0245 0.3068522 357.3562
1.063132 341.8746 359.5642 357.3755
1.094402 341.7556 359.1256 357.3326
1.127256 341.542 359.0104 357.2212
1.155895 341.5399 358.8601 357.2556
1.183634 341.3757 358.8412 357.3184
1.21475 341.2852 358.9318 357.431
1.242634 341.2263 359.1052 357.4472
1.272312 341.0372 359.3268 357.5335
1.305645 340.9276 359.5296 357.6504
1.333783 340.9596 359.8529 357.8918
1.363449 340.7773 359.9934 357.9762
1.395271 340.6369 0.0669279 358.0395
1.426053 340.8172 0.04190107 358.0779
1.456782 340.8896 359.8961 358.082
1.487304 341.0793 359.6223 358.1166
1.518174 341.5439 359.2133 358.297
1.546831 342.1376 358.9195 358.4405
1.577739 343.0255 358.4598 358.4034
1.611072 344.1248 358.0603 358.5453
1.638942 346.6459 357.418 358.5976
1.666551 347.6068 357.2512 358.6443
1.695238 348.626 357.0774 358.782
1.728571 348.991 357.0224 358.8381
1.758385 349.6325 357.0887 358.6132
1.787552 350.14 357.0981 358.7848
1.815144 350.0106 356.9582 358.9559
1.843682 350.1002 356.9738 358.8727
1.871724 350.5868 356.9381 358.8478
1.902142 351.0873 356.7088 358.6384
1.93131 351.5601 356.4525 358.7538
1.963487 351.9041 356.2931 358.8964
1.99166 352.0061 356.4314 358.7865
2.017893 352.5486 356.4827 358.8293
2.050217 352.5409 356.6158 358.8764
2.079103 352.6134 357.0088 358.8673
2.107216 352.5967 357.1125 358.8091
2.133826 351.8203 357.0003 358.6515
2.163802 351.1404 356.8668 358.4769
2.197038 350.1046 356.346 358.3113
2.224328 349.5526 355.8511 358.244
2.252578 349.1557 355.7504 358.3235
2.283198 347.9561 355.8636 358.5665
2.316142 346.7583 356.1668 358.8666
2.34893 346.8601 356.673 359.0223
2.37955 349.1263 356.5695 359.5576
2.412616 350.2362 356.684 359.7511
2.445949 350.6396 356.8793 359.6444
2.476431 349.4851 357.0857 359.0538
2.504093 348.2464 357.2545 358.4222
2.531767 347.8835 357.1806 358.35
2.561715 348.2341 356.7107 358.7664
2.588315 348.7791 356.4154 358.9746
2.615584 349.9887 356.1708 359.2266
2.648917 350.9913 356.0968 359.2189
2.680245 352.5266 356.0961 359.3442
2.707817 353.2296 356.2406 359.815
2.741151 353.1295 356.4807 359.7174
2.774346 352.5585 356.6303 359.5205
2.806596 351.8896 356.5438 359.3262
