時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 358.172 358.436 2.060249
0.08666666 342.2888 355.5121 3.723179
0.12 342.3584 355.8346 3.732869
0.1533333 342.1672 357.4614 3.777866
0.1866667 341.9145 359.0233 3.38804
0.2191223 340.7401 359.804 3.021352
0.2524556 340.0234 0.01631788 2.828876
0.2856957 338.7003 359.9063 2.633774
0.319029 338.1744 359.6597 2.537719
0.3492452 337.7416 358.8871 2.725775
0.3825786 337.6414 358.1969 3.065428
0.410293 337.4763 356.8361 3.574737
0.442809 337.4244 356.1669 3.775853
0.4717197 337.6528 355.3622 3.911837
0.5047125 338.1587 354.8183 4.128623
0.5342414 338.8005 354.4876 4.254798
0.5675748 339.1685 354.4783 4.335278
0.5962961 339.4045 354.6384 4.598863
0.6249631 339.4948 354.8741 4.882858
0.6549074 339.7185 355.175 5.12123
0.6857338 339.9007 355.3989 5.260906
0.718083 340.2103 355.6658 5.383356
0.7494627 340.5856 355.895 5.385169
0.7820006 341.2904 356.0672 5.359072
0.8126588 342.3215 356.0816 5.415647
0.8459921 343.2371 355.9521 5.437506
0.8746402 344.4837 355.7957 5.411047
0.9054261 345.4382 355.6794 5.34278
0.9339275 346.6675 355.581 5.200265
0.9617546 347.0042 355.5413 5.137356
0.9929876 347.6736 355.6218 4.897517
1.023211 348.5186 355.7806 4.663564
1.054358 349.882 355.9816 4.436845
1.082928 351.0813 356.1565 4.244009
1.115658 351.8882 356.2549 4.164398
1.145276 352.6968 356.3406 4.080385
1.176124 353.1628 356.2644 3.917979
1.202574 353.9337 356.0503 3.831075
1.231846 354.3118 355.8471 3.851688
1.260898 354.5839 355.445 3.860225
1.291843 354.7794 355.1191 3.887948
1.323513 355.4612 354.5739 4.064302
1.352592 355.768 354.0224 4.27189
1.381366 355.4514 353.4723 4.530274
1.413384 355.3743 353.201 4.689379
1.441495 355.6459 353.0844 4.749507
1.474144 356.3084 353.0441 4.866621
1.507445 357.5766 353.1148 5.069958
1.540779 358.429 353.2763 5.373728
1.572081 358.9097 353.4559 5.672274
1.601866 359.6515 353.7087 5.828707
1.629755 0.1586865 353.822 6.044675
1.659017 0.1819171 353.8349 6.074363
1.688623 0.181497 353.8287 5.77382
1.721956 0.1182663 353.7574 5.47398
1.755289 359.6361 354.2889 4.956909
1.785347 359.5876 355.1101 4.696122
1.812575 0.02264479 356.1031 4.234735
1.841141 0.2005889 356.5657 4.287641
1.873057 0.327176 356.9325 3.76367
1.900862 359.9006 356.6317 3.997296
1.933151 0.04708251 357.1292 4.03412
1.963926 359.3533 356.1104 4.129743
1.99564 358.8933 356.2665 3.160949
2.028824 359.4665 356.2338 3.403042
2.061655 358.6032 355.8183 3.697862
2.090271 357.2252 355.2253 3.433762
2.118962 357.0369 354.1531 2.68362
2.151202 357.73 352.6024 2.043123
2.178197 358.8104 351.9064 1.273985
2.21153 359.1801 351.8406 1.922194
2.241673 358.635 353.0938 3.311192
2.271054 358.3309 353.6799 3.695327
2.304056 358.1587 354.4106 3.17572
2.333923 357.5646 354.9758 2.716434
2.362293 357.2027 355.0354 1.823418
2.394219 356.8703 354.7187 1.773335
2.424139 356.5646 354.2555 1.774766
2.455784 356.5609 354.0125 1.747507
2.484204 356.5892 354.0358 1.885337
2.517537 356.5121 354.1988 1.739261
2.546857 356.6841 354.8861 1.783886
2.578779 356.3699 355.765 1.805446
2.609356 355.837 356.8371 2.048561
2.638537 355.4313 357.9403 2.10623
2.666847 354.9873 358.5338 2.542672
2.696521 354.0697 359.1819 3.0051
2.724739 353.4684 359.7538 2.667944
2.755068 352.594 0.4374199 2.1166
2.782275 351.8852 0.7878422 1.993431
2.812289 351.3164 0.7565938 1.98623
2.845622 350.3251 0.2808786 2.159789
2.87837 349.8377 359.6669 2.367887
2.906918 348.857 358.7634 2.68878
2.939966 348.1281 358.161 2.79722
2.973299 347.5514 357.4473 2.860404
3.00285 347.4119 356.8626 3.102966
3.031115 347.6532 356.58 3.239892
