時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 343.9681 355.5607 2.791234
0.08666666 344.9574 354.6689 4.207387
0.12 344.9476 354.6548 4.237275
0.1533333 344.8758 354.7499 4.291828
0.1846013 345.1519 354.8215 4.412469
0.2137508 345.2505 354.8479 4.502134
0.2470842 345.2154 354.8767 4.500741
0.2759125 345.149 354.9338 4.601755
0.3092458 345.2 354.9737 4.648216
0.3425791 345.1251 355.0291 4.713801
0.3744206 345.221 355.018 4.778916
0.4053016 345.333 355.0143 4.819747
0.4333822 345.4663 354.9774 4.819227
0.4663551 345.6782 354.942 4.81437
0.4973039 345.8191 354.9285 4.785016
0.5291329 345.7376 354.9105 4.722963
0.5624663 345.7184 354.9224 4.693427
0.5937083 345.5793 354.9692 4.621691
0.6270417 345.518 355.0221 4.565971
0.660375 345.532 355.0829 4.472102
0.6934969 345.5874 355.0702 4.43487
0.7268302 345.6352 354.9709 4.387968
0.7601636 345.6696 354.8434 4.331967
0.7934969 345.7815 354.7227 4.225707
0.824074 345.9296 354.6732 4.112517
0.8562246 346.1161 354.6165 4.058955
0.8882567 346.4462 354.4879 3.946871
0.9203363 346.8803 354.3322 3.829407
0.9536697 347.3342 354.0349 3.788121
0.987003 347.7549 353.6891 3.756424
1.020336 347.9904 353.3997 3.765596
1.052121 348.1696 353.0692 3.816992
1.082453 348.3338 352.7701 3.853494
1.111587 348.585 352.5438 3.799532
1.144099 348.8229 352.3654 3.745012
1.177432 349.2135 352.1757 3.664452
1.207811 349.9425 352.0611 3.522778
1.240664 350.6079 351.9114 3.459069
1.273998 350.9994 351.7555 3.431191
1.307331 351.3859 351.6158 3.446056
1.337662 351.8281 351.4828 3.396628
1.367814 352.0964 351.336 3.354897
1.39852 352.1233 351.1236 3.354098
1.427129 352.1483 350.892 3.422471
1.455978 352.2498 350.5814 3.428383
1.486195 352.2134 350.2831 3.383038
1.517393 352.3108 350.1834 3.373304
1.550726 352.6563 350.2129 3.294043
1.583537 352.7494 350.4029 3.048515
1.616871 352.7316 350.762 2.92535
1.645484 352.9748 351.2141 2.784163
1.674343 353.192 351.7245 2.627846
1.705606 353.3429 352.0691 2.543491
1.734348 353.6516 352.4276 2.545791
1.766154 353.6169 352.6121 2.570486
1.794366 353.0443 352.5032 2.680574
1.825454 352.5974 352.3949 2.765661
1.854605 352.3073 352.3462 2.769189
1.883996 351.7251 352.4204 2.706801
1.915734 351.1833 352.5786 2.632904
1.949067 350.4987 352.8314 2.463423
1.98136 350.1305 353.2087 2.275301
2.011674 351.1915 353.6003 2.092232
2.040135 351.5461 353.915 1.891056
2.073468 351.3412 353.9665 1.745197
2.103471 351.7771 354.0227 1.764236
2.136615 351.6903 354.1084 1.689584
2.166103 351.5129 354.161 1.568393
2.197662 351.4957 354.1331 1.497125
2.226626 351.4888 354.1053 1.386351
2.258297 351.3607 354.0694 1.256313
2.290972 351.3554 354.0426 1.212702
2.321782 351.3824 354.0062 1.24149
2.352109 351.439 354.0101 1.359817
2.381948 351.3312 354.0451 1.439015
2.410744 351.2644 354.0834 1.415569
2.442193 351.2335 354.1241 1.490314
2.475527 351.3656 354.1718 1.504343
2.504626 351.5023 354.2747 1.452719
2.537009 351.5349 354.3842 1.415876
2.570342 351.415 354.4098 1.432017
2.603675 351.5228 354.4035 1.394757
2.634421 351.4839 354.3338 1.459867
2.664662 351.1086 354.327 1.504597
2.696892 351.0089 354.3465 1.598933
2.727746 351.1864 354.3755 1.702169
2.758873 351.2595 354.3674 1.775835
2.788688 351.4471 354.4299 1.802001
2.819506 351.6313 354.4568 1.724721
2.851359 351.7577 354.3906 1.60584
2.88059 352.0374 354.2942 1.561991
2.913924 352.5495 354.0476 1.651184
2.946704 352.9727 353.7006 1.723485
2.979275 352.3642 353.3643 1.768861
3.009968 350.6082 352.9841 1.574068
3.043302 349.7288 352.5165 1.514568
3.074719 349.5574 352.1856 1.55783
3.105105 349.8022 351.9011 1.70567
