時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 346.3443 356.5962 5.950153
0.08666666 346.763 356.7169 5.749741
0.12 346.7607 356.7238 5.750599
0.1481369 346.7162 356.7441 5.769768
0.1814702 346.7244 356.7594 5.743285
0.2101765 346.7413 356.7836 5.74547
0.2393597 346.8123 356.7938 5.743224
0.2724498 346.8298 356.7925 5.725078
0.3011956 346.7522 356.768 5.726405
0.3291397 346.7432 356.7812 5.725592
0.3583532 346.6969 356.7911 5.735618
0.3867319 346.6492 356.8057 5.740118
0.4155163 346.5789 356.8157 5.691235
0.4462552 346.5449 356.8401 5.661045
0.4795886 346.5557 356.8489 5.667809
0.5105529 346.6033 356.888 5.650724
0.5388632 346.6464 356.9037 5.632596
0.5678833 346.6838 356.8683 5.627264
0.5981697 346.7747 356.8557 5.616607
0.6275553 346.9346 356.8067 5.632682
0.6600276 347.1076 356.7376 5.643309
0.6896039 347.3578 356.6748 5.644748
0.7180555 347.5515 356.6307 5.663005
0.7457567 347.8341 356.5694 5.654378
0.778585 348.0831 356.504 5.653755
0.8081822 348.6909 356.3857 5.59816
0.8409495 349.7592 356.2488 5.565711
0.8700371 351.1508 356.042 5.54019
0.9026135 352.0525 355.888 5.547746
0.933601 353.4073 355.6663 5.607889
0.9647034 354.2466 355.3412 5.659809
0.9949951 355.1354 355.0008 5.583711
1.023832 355.6337 354.7997 5.505627
1.053056 356.0123 354.5748 5.420933
1.082354 356.6494 354.3951 5.335304
1.115528 357.1352 354.3185 5.256154
1.148861 357.6594 354.2164 5.124059
1.178356 358.0886 354.2316 4.991332
1.208185 358.3374 354.3483 4.86147
1.240813 358.3091 354.544 4.707363
1.271498 358.4362 354.7695 4.538925
1.300334 358.5935 354.9453 4.482193
1.333076 358.88 355.1454 4.460579
1.363015 359.0666 355.3428 4.459757
1.396349 359.4369 355.4794 4.558462
1.426737 359.5717 355.4667 4.614903
1.456274 359.5674 355.3766 4.630272
1.489607 359.5219 355.2063 4.666194
1.520305 358.8355 354.9533 4.725503
1.548611 358.5326 354.7714 4.804051
1.580105 358.0184 354.5938 4.958084
1.611256 357.5937 354.5164 4.947108
1.64459 357.3362 354.4988 4.88797
1.674781 356.9622 354.5703 4.726971
1.708115 356.7268 354.6647 4.547388
1.736614 356.7506 354.9737 4.309784
1.766801 356.7166 355.1427 4.175408
1.795919 356.7492 355.4032 3.91571
1.825762 356.7304 355.6552 3.789853
1.854457 356.8953 355.8236 3.729094
1.887791 357.2882 356.0581 3.716089
1.919034 357.5053 356.1912 3.666591
1.948718 357.6275 356.3551 3.664629
1.977337 357.588 356.5301 3.560837
2.01067 357.8432 356.6676 3.584961
2.041776 358.3062 357.0158 3.507121
2.074753 358.1631 357.2891 3.463116
2.10552 357.5061 357.4677 3.445812
2.137385 357.6636 357.6983 3.460353
2.167298 357.6882 357.7623 3.496092
2.197485 357.9495 357.8426 3.47427
2.227262 357.7438 357.853 3.501362
2.256467 357.7267 357.9261 3.348585
2.285174 357.3601 357.9508 3.397485
2.314885 357.1478 357.9887 3.480019
2.345048 356.852 358.0573 3.507818
2.377686 356.6534 358.0526 3.563938
2.406211 356.6823 358.0549 3.630304
2.4371 356.563 358.0573 3.713538
2.466282 356.2843 358.0465 3.721566
2.498423 356.0893 358.0288 3.761229
2.527124 355.7641 358.008 3.78496
2.560277 355.4718 358.0411 3.780685
2.590081 355.2534 358.0706 3.716949
2.619374 355.3326 358.1667 3.605525
2.6482 355.3565 358.284 3.496293
2.679473 355.3341 358.5488 3.394829
2.707628 355.0861 358.8775 3.364816
2.74081 354.6771 359.127 3.325773
2.773797 354.6626 359.5609 3.195259
2.802233 354.7249 0.02573193 3.042873
2.835567 354.8893 0.5242462 2.914226
2.864806 354.8292 1.032399 3.000853
2.897224 354.6438 1.274504 3.158473
2.930558 354.5121 1.488556 3.357954
2.963372 354.5008 1.429248 3.579873
2.996706 354.5544 1.148639 3.741459
3.029032 354.7811 0.6925554 3.880151
