時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 9.278758 0.5454438 3.224101
0.08666666 6.256706 6.853674 3.485654
0.12 6.15473 6.635319 3.33371
0.1477295 5.742915 5.121396 2.957677
0.1810628 5.08625 3.637838 2.62428
0.2090798 4.202722 0.4776862 2.288577
0.2392585 3.919647 359.5403 2.122665
0.2690698 3.784616 358.2419 2.241805
0.2991989 3.991396 358.5328 2.031427
0.3325323 5.228898 359.0805 1.316189
0.3633322 4.634139 358.9787 2.463223
0.3946919 4.22501 359.3326 2.496845
0.4250745 3.830235 359.5956 2.791299
0.4552103 3.369016 359.739 2.708648
0.4865394 3.340336 359.9836 2.304699
0.5143504 3.438189 0.5001663 2.01482
0.54233 3.346207 0.6775128 2.286262
0.5709127 3.221926 0.8681752 2.330411
0.601738 3.143523 0.9898983 2.781788
0.6308721 2.882941 0.4816892 3.615453
0.6642055 2.969563 0.05205685 3.656996
0.6945448 3.620065 359.6338 2.784553
0.7230686 3.501917 359.5377 2.784221
0.752613 3.57726 359.3949 2.712188
0.7825518 4.25769 359.7198 2.1455
0.8158851 5.87181 0.1380815 1.447233
0.8492184 7.137984 0.9136065 0.920306
0.880821 8.909412 2.250548 1.142559
0.9141544 9.191816 2.881274 0.899928
0.9461988 8.900814 3.436692 1.303202
0.9777135 8.713338 2.640099 1.158646
1.009692 9.171011 1.173344 1.254898
1.043025 9.435982 0.688166 1.475526
1.076358 9.941051 359.6978 0.6316032
1.108297 11.16781 359.0104 359.8582
1.139038 12.54383 358.4963 359.153
1.169266 13.11828 358.0831 358.5617
1.202003 14.01406 358.2611 358.067
1.235336 15.11315 358.6282 357.7682
1.266905 16.22406 359.188 357.7043
1.300239 17.15977 359.585 357.918
1.33312 17.41635 359.6433 358.864
1.36383 16.75157 359.4293 358.8195
1.394515 16.28251 359.1085 359.0968
1.424552 15.79638 358.881 359.4034
1.45426 15.34124 359.1551 359.5574
1.483995 15.6591 359.0923 359.2716
1.515656 15.77353 358.8026 358.9283
1.545248 15.8881 358.8687 358.7941
1.578581 15.85356 359.0095 358.7303
1.608733 15.9554 359.0423 358.4571
1.642066 15.90955 358.8673 358.6526
1.675399 15.62036 358.6015 358.8026
1.706286 15.26089 358.3361 358.7166
1.735202 15.34416 358.0543 358.5627
1.765164 15.38073 357.9924 358.5108
1.797045 15.36489 357.9383 358.6897
1.829688 15.83997 358.2333 358.7627
1.863022 16.15259 358.5038 358.9297
1.894112 16.42816 358.7308 359.1872
1.923567 16.39299 358.8683 359.3578
1.953557 16.19979 358.7735 359.3893
1.983557 16.53968 358.0821 359.2252
2.014528 16.59883 357.8503 359.3775
2.044144 16.78584 357.4428 359.2386
2.072769 17.04255 357.4909 359.0844
2.106102 17.14157 358.0103 359.3344
2.136624 16.99815 358.7549 359.7354
2.169957 17.01121 359.2966 359.9849
2.198388 16.77505 359.3573 0.5279938
2.228342 16.44449 359.4221 1.001566
2.260825 16.03151 359.3057 1.377427
2.294158 15.80747 358.9984 1.385709
2.327491 15.96418 358.8875 1.255077
2.360825 16.07417 358.3832 0.8408498
2.388862 16.45702 357.7782 359.9228
2.418612 16.37043 357.7747 359.8538
2.451945 16.60181 357.5547 359.6366
2.485278 16.51394 357.7972 359.7045
2.514122 16.71855 358.0006 0.03046105
2.546742 17.20177 358.3567 359.842
2.579763 17.34971 358.4358 359.8889
2.613097 17.28787 358.6983 359.9016
2.643373 16.92954 359.1998 0.1727905
2.674639 16.19584 359.6573 1.005648
2.706748 15.14856 359.6721 1.786909
2.735698 13.9586 359.4002 2.202165
2.768574 13.37918 358.9844 2.346431
2.797383 12.70213 359.0276 2.77402
2.829398 12.41704 359.2532 3.003984
2.862732 11.73196 359.1338 3.664223
2.896065 11.77453 358.9722 3.680072
2.926245 12.30658 359.1092 2.924033
2.95594 13.26074 359.4531 2.285065
2.984146 13.84276 0.04258018 1.899026
3.012942 14.33146 0.3159882 1.4572
3.045437 14.73837 0.1654743 0.8144381
