時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 1.571495 4.937196 358.1456
0.08666666 0.3277284 4.644756 358.9126
0.12 0.312784 4.652676 358.9227
0.1503844 0.2643326 4.711373 358.9039
0.1837177 0.2570536 4.803864 359.0083
0.2117137 0.2220556 4.81221 359.0848
0.2395006 0.2175827 4.778618 359.1692
0.2679109 0.2563224 4.691181 359.2644
0.3012443 0.2354038 4.579455 359.3064
0.3299603 0.2078131 4.52749 359.3224
0.3600123 0.2018253 4.464299 359.3141
0.388333 0.2160491 4.423169 359.2905
0.4155591 0.2173313 4.39125 359.3086
0.4440674 0.2640525 4.368213 359.2625
0.4718539 0.3317563 4.352225 359.1974
0.5038952 0.3593319 4.308316 359.1615
0.5329316 0.5432609 4.242867 359.1142
0.5662649 0.7816193 4.187178 359.1145
0.5940014 1.658525 3.957985 359.1022
0.6255429 2.53371 3.789489 359.0934
0.6556504 3.948166 3.545732 359.1194
0.6889837 5.06576 3.387068 359.1303
0.7193239 6.027589 3.245222 359.1899
0.7490848 6.944532 3.11028 359.2911
0.7782845 7.421846 3.020718 359.3958
0.8114446 8.244142 2.929119 359.5017
0.8397936 9.770652 2.909408 359.6705
0.866212 11.60294 2.979761 359.7617
0.8995454 12.71666 3.038085 359.9083
0.9328787 14.95848 3.298811 0.2305465
0.9613614 16.79252 3.49474 0.6513335
0.9946947 18.02372 3.704972 0.8860155
1.028028 19.27908 3.903915 1.106128
1.05805 20.64199 4.196568 1.340828
1.088183 21.1422 4.316953 1.460389
1.11816 21.36909 4.349166 1.652393
1.151493 21.50314 4.263174 1.918668
1.180375 21.60888 4.208272 2.091186
1.209448 21.60522 4.405577 2.235332
1.242573 21.73305 4.753865 2.48421
1.274929 21.79266 5.131527 2.439532
1.308262 21.4013 5.510079 2.343256
1.341595 21.48639 5.974057 2.299842
1.371493 21.61477 6.45251 2.246564
1.404827 21.34398 6.725573 2.199319
1.433349 21.29205 7.015527 2.13806
1.466682 21.44902 7.234149 2.094861
1.495268 21.39987 7.358908 2.111025
1.523093 21.31429 7.443283 2.068258
1.554349 21.38756 7.606006 1.97251
1.587682 21.48415 7.646958 1.95592
1.61791 21.61462 7.623487 2.012626
1.65058 21.80714 7.566274 2.006301
1.680063 22.12564 7.441568 1.960102
1.710548 22.22513 7.324831 1.974721
1.739766 22.32363 7.24139 1.94116
1.768378 22.37571 7.233362 1.911792
1.801712 22.41335 7.077155 2.08765
1.831985 22.47387 6.909853 2.078294
1.865319 22.49659 6.818638 1.959174
1.892735 22.25694 6.754857 1.829875
1.924374 22.04192 6.702904 1.778012
1.956383 22.06501 6.689107 1.848433
1.985897 22.09459 6.644553 1.865793
2.015385 22.00981 6.623509 1.905365
2.046409 22.0816 6.547838 2.082669
2.074402 22.26437 6.529544 2.175448
2.106035 22.32826 6.555603 2.234801
2.139368 22.36273 6.537898 2.238665
2.167801 22.07967 6.490796 1.974879
2.198001 21.86562 6.49846 1.697675
2.227629 21.4453 6.661237 1.275129
2.255359 21.39022 6.833666 1.182208
2.285238 21.62063 6.89587 1.260706
2.315545 21.8469 6.99849 1.368951
2.345313 21.87923 7.093459 1.41225
2.375812 22.12187 7.186081 1.548839
2.409146 22.47677 7.305464 1.607578
2.442479 22.44153 7.559644 1.588356
2.472046 22.59534 7.878978 1.633096
2.500739 23.10165 8.085576 1.708843
2.529286 23.11964 8.245647 1.621778
2.558354 23.08088 8.339674 1.611286
2.589697 23.22244 8.445653 1.695052
2.619032 23.41181 8.51581 1.609678
2.651626 23.3803 8.61704 1.49569
2.680727 23.05569 8.773643 1.447708
2.712203 22.65503 9.068464 1.57989
2.74309 22.37737 9.255425 1.680201
2.776423 22.0544 9.460865 1.783322
2.803234 22.22667 9.516745 1.915438
2.834323 22.60592 9.500301 2.081612
2.86199 22.83319 9.458296 2.176517
2.890371 22.61292 9.42214 2.199003
2.92006 22.34433 9.373542 2.169756
2.953045 22.34329 9.424354 2.142791
