時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 328.0131 318.2452 191.1307
0.08666666 327.9747 318.2516 191.1449
0.12 327.973 318.2635 191.1361
0.1507761 327.9936 318.2566 191.1268
0.1841094 327.9758 318.2636 191.1372
0.2123831 327.9743 318.2659 191.1428
0.2437847 327.9954 318.2736 191.1206
0.2765347 327.9832 318.2508 191.14
0.3053416 327.9945 318.2673 191.1293
0.3331047 327.979 318.2679 191.1227
0.3645993 327.9861 318.2714 191.1083
0.3936233 327.9951 318.2495 191.132
0.4220173 327.9831 318.2459 191.1124
0.4553507 328.0081 318.2498 191.1156
0.488684 328.0033 318.2666 191.1174
0.5184259 327.998 318.2635 191.1141
0.5481059 328.0105 318.2551 191.123
0.5779452 328.0261 318.273 191.1013
0.6112785 328.018 318.2685 191.1018
0.6418651 328.0227 318.2606 191.1102
0.6726521 328.0154 318.2679 191.1206
0.7020902 328.0126 318.2667 191.1037
0.7334319 328.0132 318.2578 191.117
0.7647626 328.0121 318.2564 191.113
0.7964181 328.0089 318.2574 191.1207
0.8258062 328.0256 318.2597 191.109
0.8591396 328.0246 318.2617 191.1029
0.89152 328.0216 318.2516 191.1162
0.923216 328.0082 318.236 191.1194
0.9517208 328.0075 318.2397 191.0999
0.9838263 328.0318 318.2292 191.1186
1.014932 328.0154 318.2261 191.151
1.048265 327.9798 318.269 191.1647
1.078278 328.0151 318.2664 191.1367
1.111119 328.02 318.2541 191.1597
1.143639 327.9771 318.2428 191.1606
1.172919 328.012 318.257 191.1295
1.203434 328.003 318.2297 191.1539
1.236768 327.9978 318.2416 191.1584
1.267109 328.0343 318.2621 191.1411
1.296593 327.9871 318.2417 191.1697
1.327492 327.9907 318.2405 191.1606
1.360825 328.0309 318.2598 191.1387
1.391022 327.99 318.2513 191.1552
1.422892 328.0099 318.2697 191.1399
1.456226 328.0009 318.2569 191.1519
1.487456 328.0098 318.2596 191.1469
1.52079 328.0031 318.2686 191.1448
1.552624 327.9926 318.2695 191.1087
1.58174 327.9831 318.252 191.1421
1.613733 327.991 318.2782 191.14
1.647067 328.0203 318.2866 191.1206
1.678053 327.9596 318.2583 191.1459
1.707605 328.0098 318.233 191.1075
1.740938 328.0284 318.2601 191.1129
1.77274 327.9638 318.2278 191.1577
1.801563 328.0541 318.2635 191.0747
1.830352 328.0194 318.2396 191.1059
1.862113 328.016 318.2467 191.1251
1.895447 328.0134 318.2654 191.0812
1.924888 328.0023 318.2406 191.1113
1.956202 328.0216 318.2433 191.1226
1.986647 327.985 318.2628 191.1301
2.01732 327.967 318.2598 191.1129
2.048296 327.9932 318.2615 191.1181
2.07437 327.995 318.2605 191.1041
2.10727 327.9846 318.2549 191.1175
2.140604 327.992 318.2589 191.1224
2.168949 327.9778 318.2415 191.1137
2.199441 328.0059 318.2729 191.1123
2.231543 327.997 318.2646 191.0999
2.263613 327.9778 318.2453 191.1217
2.292508 327.9873 318.2757 191.1245
2.325841 327.9789 318.2397 191.1382
2.359174 327.9729 318.262 191.1229
2.389733 327.9888 318.2346 191.133
2.418977 327.9861 318.2477 191.1231
2.448774 327.9748 318.2368 191.1268
2.482107 327.9707 318.2354 191.1466
2.512693 327.9755 318.2561 191.1347
2.544578 327.9564 318.262 191.1014
2.5727 327.9589 318.2498 191.1275
2.604401 327.9689 318.2549 191.14
2.637735 327.9555 318.2498 191.1276
2.666033 327.9736 318.2482 191.1293
2.695436 327.9488 318.2315 191.1337
2.725235 327.9774 318.2441 191.1193
2.758568 327.9832 318.2431 191.137
2.791423 327.9671 318.2415 191.1218
2.821061 327.985 318.2455 191.1133
2.854395 327.9576 318.2386 191.1306
2.887017 327.9615 318.2422 191.1392
2.916885 327.9735 318.257 191.1235
2.944692 327.9437 318.2565 191.1564
2.974901 327.9413 318.2696 191.151
3.008234 327.9685 318.2611 191.1531
3.038712 327.9537 318.2577 191.1593
3.067086 327.9773 318.2599 191.1532
3.095141 327.9617 318.2626 191.1649
