時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 353.183 359.678 359.4908
0.08666666 353.52 0.3133638 359.7226
0.12 353.539 0.3230841 359.8069
0.1474243 353.6299 0.3252041 0.09399923
0.1807576 353.7337 0.2998655 0.2180428
0.2069849 353.8566 0.317537 0.2930178
0.2352441 354.0011 0.3402833 0.3224346
0.2616609 354.1377 0.4257264 0.3280084
0.2915293 354.2051 0.5187156 0.2769145
0.3192755 354.41 0.698452 0.2212615
0.352406 354.6133 0.8645343 0.1178469
0.3829272 354.9756 1.151754 359.9582
0.4127533 355.3334 1.573085 359.7489
0.4407283 355.6816 2.059626 359.5148
0.4689885 355.8201 2.391938 359.3402
0.4964065 355.9652 2.844774 359.1407
0.525303 356.0325 3.131964 359.0566
0.5548 356.0098 3.500297 359.0291
0.5826404 355.9094 3.75234 359.0181
0.6093042 355.7925 3.849445 359.0545
0.6426376 355.707 3.907953 359.1636
0.6698629 355.618 3.850051 359.3288
0.7031962 355.5966 3.704441 359.3756
0.7365295 355.6162 3.453134 359.573
0.7645338 355.7369 3.151919 359.8008
0.7913322 355.9123 2.875373 359.9574
0.8198087 356.0666 2.67606 0.03889501
0.8485773 356.3589 2.379072 0.1254095
0.8774642 356.5904 2.176367 0.1733154
0.9042466 356.8893 1.903302 0.2277686
0.9341535 357.1244 1.710397 0.3019519
0.9600533 357.4513 1.427705 0.3576978
0.9892047 357.8947 1.153121 0.4116013
1.016463 358.251 0.9756945 0.4227166
1.045916 358.9992 0.6248 0.4465892
1.072682 359.7095 0.339565 0.4748394
1.104145 1.093971 359.8816 0.5026616
1.131808 2.139811 359.5067 0.4965755
1.16288 3.959733 358.7987 0.4646197
1.191151 5.246214 358.2799 0.4674571
1.220419 7.075493 357.522 0.5654124
1.252102 8.400072 356.7902 0.6362222
1.283446 9.955354 355.68 0.6393477
1.310771 11.16239 354.6947 0.671456
1.344104 11.96083 354.1252 0.8240346
1.377437 13.21198 353.556 0.9701959
1.406942 13.78178 353.6888 0.9904668
1.437886 14.04444 354.1115 1.039596
1.465748 14.33429 354.9327 1.194193
1.496148 14.55797 355.9894 1.345563
1.526635 14.72593 356.6905 1.44195
1.554379 14.956 357.4481 1.516089
1.586092 15.09575 358.0802 1.643262
1.612697 15.31467 358.5472 1.822075
1.643206 15.41479 358.6535 1.882499
1.671861 15.55166 358.6206 1.850656
1.702257 15.61797 358.5466 1.847606
1.730772 15.82684 358.1637 1.832309
1.762232 15.99225 357.7549 1.776235
1.789168 16.09525 357.1732 1.72436
1.822501 16.19754 356.5221 1.663969
1.851064 16.24321 355.7231 1.502732
1.884397 16.26335 355.1545 1.39317
1.911857 16.12323 354.2994 1.176738
1.941603 15.52902 353.1177 0.8576329
1.97218 14.96857 352.1798 0.7657291
2.000273 14.4286 351.6392 0.769567
2.028877 13.96553 351.1601 0.7234331
2.058914 13.71441 350.7823 0.8078771
2.092247 13.82395 350.6418 0.96846
2.12265 14.10415 350.4883 1.163088
2.150145 14.25751 350.3929 1.341155
2.180085 14.4333 350.3494 1.499922
2.213418 14.68039 350.2926 1.614013
2.242857 14.9728 350.3214 1.805522
2.270956 15.26236 350.43 2.057081
2.29897 15.34729 350.5786 2.25158
2.325125 15.47916 350.979 2.416586
2.354719 15.55755 351.3369 2.506941
2.382399 15.74484 351.986 2.568947
2.413772 15.80315 352.3912 2.560925
2.447105 15.87862 352.9554 2.483193
2.480438 15.9008 353.4896 2.45102
2.51142 15.84176 354.1096 2.433789
2.542084 15.80144 354.4142 2.457802
2.568462 15.63889 354.7512 2.441565
2.595942 15.43965 355.0916 2.376012
2.622623 15.33585 355.3456 2.343655
2.649875 15.27991 355.5586 2.299986
2.678244 15.28322 355.8423 2.304166
2.708246 15.30604 356.0055 2.344032
2.735196 15.20023 356.1783 2.40166
2.76311 15.10888 356.3949 2.504617
2.793997 15.00647 356.4994 2.497908
2.82733 14.82768 356.7356 2.405535
2.860663 13.77486 2.033746 2.199131
