時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 348.6291 355.4227 1.949816
0.08666666 350.0196 357.6646 0.4467764
0.12 350.0991 357.8699 0.3767919
0.1490345 350.132 359.4998 359.5923
0.1823678 349.8779 0.1625061 359.3874
0.2095562 349.4847 0.9717944 359.5138
0.2428896 349.5229 1.109504 359.6732
0.2733104 349.7209 1.127627 359.9097
0.3051237 349.9076 0.887694 0.02456943
0.338457 350.1787 0.5188856 359.9383
0.3717903 350.3882 0.1788755 359.8924
0.4002892 350.5189 359.9539 359.8847
0.4336225 350.5143 359.9036 359.8396
0.4635105 350.5122 0.02135435 359.8564
0.4963242 350.6165 0.1706707 359.991
0.5296576 350.8227 0.3405242 0.2774308
0.5613789 351.3193 0.5260471 0.5957166
0.5898633 351.6042 0.6349307 0.7412749
0.6231966 351.9973 0.7427346 0.8208898
0.6504945 352.379 0.8583055 0.6137659
0.6820523 352.7027 0.8399149 0.4612821
0.7111735 353.1995 0.8012242 0.4637053
0.7445068 353.423 0.7082649 0.4957076
0.7778402 353.7892 0.5392341 0.6542835
0.8111735 354.1805 0.4203784 0.9051729
0.8386482 354.869 0.3143247 1.298679
0.8719816 355.4695 0.1637268 1.524032
0.9053149 356.1685 359.9079 1.635155
0.9341918 356.8613 359.5675 1.756256
0.962918 357.7082 359.2478 1.93668
0.9923235 358.4098 358.9938 2.04477
1.025657 359.6483 358.5779 2.116456
1.054688 1.070731 358.1784 2.21781
1.088022 2.220745 357.736 2.346498
1.121355 2.991695 357.4036 2.36975
1.149186 3.461555 357.2041 2.275457
1.179788 3.847865 357.2432 1.949253
1.213121 4.201751 357.3386 1.71013
1.243522 4.789369 357.3875 1.495638
1.273196 5.224584 357.4315 1.399165
1.306529 5.732001 357.2678 1.296028
1.339863 6.159315 357.0099 1.305085
1.370993 6.529455 356.5706 1.482152
1.398824 6.714739 355.6249 1.686849
1.428511 6.65254 355.0245 1.815692
1.45594 6.370773 354.2677 1.978074
1.489126 6.124909 353.7915 2.092145
1.519574 5.850119 353.3554 2.299107
1.54899 5.518111 353.1174 2.525227
1.578022 5.066368 352.876 2.724532
1.608362 4.799415 352.8875 2.854754
1.637061 4.385185 353.0342 3.012127
1.666914 4.047219 353.2119 3.068408
1.697138 3.223817 353.5119 2.978222
1.730471 2.667757 353.7556 2.868591
1.757076 1.887053 354.3156 2.564327
1.787906 1.578131 354.4899 2.389719
1.818156 1.555292 354.6025 2.331544
1.851489 1.520715 354.584 2.326279
1.882131 1.391361 354.4136 2.380796
1.913195 1.343802 354.2241 2.561852
1.944309 1.32381 354.0114 2.670151
1.97501 1.264104 353.5473 2.8057
2.006266 1.260267 352.8213 2.841901
2.038627 1.12498 352.0537 2.705595
2.070795 0.8749612 351.1478 2.780457
2.100737 0.8400447 350.1943 2.956893
2.127343 1.115391 349.4771 2.945728
2.160676 1.607037 348.5316 2.766435
2.192344 2.294255 347.8087 2.656271
2.221719 3.07944 347.236 2.759651
2.248679 3.622718 346.5879 2.918764
2.279948 3.965927 346.1773 2.90965
2.309155 4.366367 345.4753 2.889333
2.338393 4.538865 344.7367 2.737638
2.366638 4.783415 343.7232 2.523159
2.394984 5.33905 342.7151 2.188741
2.42584 5.65907 341.9764 2.020509
2.456068 6.011655 340.9458 1.671647
2.483932 6.170485 340.1204 0.8941195
2.514265 6.454031 339.6494 0.43402
2.547598 7.080413 339.0796 0.03235417
2.580931 8.00159 338.8739 359.6436
2.613442 8.932194 339.2567 359.2987
2.643748 9.623849 339.921 359.6624
2.672613 9.412509 341.1482 359.9637
2.704079 8.942104 342.156 0.8032863
2.735904 8.066441 342.3947 1.016106
2.767786 7.686727 342.3859 1.391792
2.80112 8.198441 341.8629 1.52236
2.830804 8.16469 341.6946 2.062372
2.860314 7.934048 341.6079 2.51388
2.88956 7.646786 341.3152 2.640108
2.917814 7.622777 341.8124 2.412563
2.948801 7.611515 342.1421 2.374994
2.981367 7.395208 342.5296 2.712215
