時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 350.0153 359.0972 4.074825
0.08666666 349.8309 359.1479 3.906606
0.12 349.8304 359.129 3.914582
0.1533333 349.8568 359.0536 3.959675
0.1866667 349.8201 358.9527 4.024829
0.2186608 349.7726 358.9271 4.050249
0.2500302 349.797 358.9328 4.060429
0.279961 349.7961 359.0103 4.056347
0.3132944 349.7597 359.0328 4.075849
0.3412632 349.766 359.0676 4.097482
0.3696272 349.7582 359.0716 4.090585
0.4029605 349.7831 359.0905 4.071158
0.4362938 349.8021 359.1124 4.082404
0.4662597 349.8603 359.1227 4.085014
0.4970945 349.851 359.1581 4.095237
0.5291165 349.8589 359.1691 4.116221
0.558928 349.81 359.1605 4.137323
0.5884513 349.8112 359.1379 4.097545
0.6172268 349.8212 359.1234 4.012697
0.6494272 349.8584 359.125 4.008826
0.6827605 349.9238 359.1159 4.038733
0.7116019 350.0338 359.15 3.996666
0.742093 350.2431 359.1628 4.006079
0.7745608 350.5023 359.1761 3.965664
0.8054075 351.1315 359.1768 3.932671
0.8351233 351.8708 359.2417 3.869382
0.8640833 353.153 359.4969 3.783968
0.8956139 354.7983 359.867 3.773373
0.9289472 356.4353 0.2771059 3.714347
0.9603646 358.113 0.7056704 3.640381
0.9903944 0.04345358 1.054371 3.592762
1.023728 1.476889 1.302096 3.486577
1.057061 2.973051 1.629799 3.253167
1.087416 4.277356 1.944148 3.116231
1.118379 5.646918 2.205828 3.077349
1.149519 6.932689 2.476079 3.069438
1.182853 8.068549 2.587502 3.07439
1.212809 9.123487 2.591756 3.030018
1.241557 9.779138 2.598306 2.8622
1.270215 10.7563 2.623528 2.728088
1.301806 11.797 2.718516 2.681956
1.335139 12.72487 2.768232 2.688866
1.36407 13.57926 2.782563 2.72666
1.397403 14.25925 2.766573 2.813941
1.427503 16.10722 2.766481 2.997079
1.460836 17.3603 2.802451 2.983007
1.493296 19.63836 2.852675 2.950032
1.524997 21.64826 2.886486 2.864056
1.556391 23.38764 2.925183 2.764697
1.589724 24.79212 3.012559 2.641111
1.618382 25.18774 3.01812 2.453971
1.651716 25.38777 3.071803 2.283849
1.684263 25.70108 3.208482 2.072476
1.717597 26.07327 3.408297 2.034928
1.75093 26.14309 3.678888 2.11224
1.78159 25.77773 3.9335 2.142815
1.811902 25.54943 4.329203 2.182531
1.839365 24.68459 4.813382 2.24539
1.872698 23.99534 5.098167 2.398239
1.906031 23.61129 5.444182 2.844939
1.936489 24.00983 5.826629 2.985282
1.965799 23.69439 5.851908 3.220346
1.994163 23.20018 5.711699 3.321152
2.025648 22.84621 5.67714 3.306294
2.055223 22.27172 5.533843 3.360305
2.087359 21.90366 5.308362 3.548836
2.114163 21.38676 5.148368 3.585408
2.147496 20.91608 5.11774 3.624818
2.177114 20.19685 4.99675 3.747919
2.205933 19.91802 4.959158 3.807992
2.237269 19.6268 5.06561 3.994037
2.270602 19.45129 5.236252 4.057876
2.303263 19.41466 5.726308 4.33811
2.333408 19.12981 6.039295 4.513788
2.364632 18.83091 6.315033 4.494833
2.397966 19.0067 6.717175 4.511668
2.427021 18.89331 7.112316 4.449266
2.454397 18.44028 7.436884 4.247105
2.482682 18.3957 7.721965 4.107094
2.515424 18.22449 8.033281 4.091945
2.54435 17.94327 8.281337 4.064091
2.575851 18.13551 8.420094 4.10081
2.608295 17.94601 8.506555 4.057531
2.641629 17.36845 8.492113 3.985542
2.674962 16.89272 8.446684 3.788306
2.705117 16.59378 8.388024 3.704161
2.736149 16.49783 8.271176 3.816052
2.768286 16.37026 8.214025 3.916343
2.801619 16.05362 8.08008 3.923774
2.833682 15.71883 8.021808 3.905209
2.866615 15.33609 7.956899 3.940613
2.899948 14.97417 7.838525 3.98455
2.930791 14.39545 7.753075 4.056336
2.962884 13.7296 7.510168 4.175261
2.99531 13.35776 7.32551 4.18635
3.028644 13.11455 7.072933 4.122679
3.06192 12.68495 6.717482 4.22798
