時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 353.3828 359.1604 1.111779
0.08666666 353.7319 359.1107 1.207281
0.12 353.7491 359.1387 1.215111
0.1500681 353.8277 359.1943 1.188374
0.1832265 353.8308 359.194 1.188037
0.2165598 353.8334 359.1714 1.183823
0.246941 353.8233 359.1636 1.190008
0.2799242 353.8298 359.1749 1.196652
0.3099535 353.8267 359.1968 1.197626
0.3432868 353.8205 359.2215 1.190863
0.3766202 353.8263 359.2533 1.152917
0.4078373 353.859 359.3109 1.027699
0.4387023 353.8589 359.3805 1.060579
0.4702013 353.8681 359.4174 1.09741
0.4988288 353.9286 359.4485 1.111865
0.5268879 353.963 359.3958 1.131501
0.5545461 353.9718 359.3329 1.105603
0.5823289 353.9572 359.2859 1.113463
0.6118707 353.9009 359.2475 1.082329
0.6425984 353.899 359.2617 1.078276
0.6759317 353.9233 359.2958 1.103961
0.7042248 353.9362 359.3409 1.089597
0.7375581 353.9548 359.3572 1.064574
0.7708915 353.9756 359.3587 1.046474
0.7993506 354.0221 359.3525 1.043906
0.8319654 354.0609 359.3395 1.060068
0.8633574 354.079 359.3297 1.05787
0.8925024 354.1166 359.3061 1.09175
0.9258357 354.18 359.3229 1.108132
0.959169 354.2789 359.3326 1.117918
0.9925024 354.2946 359.3252 1.12329
1.025836 354.3302 359.3304 1.113548
1.055209 354.3537 359.2912 1.125329
1.084683 354.4672 359.2589 1.186876
1.116738 354.516 359.2251 1.226167
1.147658 354.545 359.1396 1.290312
1.180992 354.5621 359.0668 1.299566
1.214325 354.5096 358.9866 1.346571
1.245171 354.4618 358.9289 1.349695
1.272897 354.3986 358.8925 1.399894
1.30623 354.4016 358.8868 1.397148
1.337063 354.3879 358.9338 1.398775
1.368963 354.3902 358.9839 1.37886
1.39886 354.3588 359.0213 1.375631
1.428509 354.3555 359.0682 1.337863
1.45631 354.3598 359.0654 1.326109
1.489643 354.3726 359.0864 1.324806
1.519701 354.386 359.0859 1.306118
1.552771 354.3978 359.0726 1.288083
1.581853 354.3986 359.0795 1.313143
1.612458 354.4321 359.0659 1.278847
1.641742 354.4734 359.1116 1.226311
1.673841 354.5657 359.1518 1.237404
1.703995 354.6282 359.217 1.267719
1.733059 354.7046 359.24 1.232236
1.765277 354.7548 359.201 1.235878
1.79861 354.78 359.22 1.194757
1.826274 354.7821 359.2328 1.111496
1.85672 354.7804 359.2488 1.088164
1.890053 354.7648 359.3042 1.051568
1.918905 354.7661 359.416 1.001378
1.949671 354.8222 359.4634 0.9629661
1.978357 354.8981 359.5167 0.91307
2.006744 354.9308 359.5549 0.8921645
2.03973 354.9718 359.5637 0.8839701
2.069622 355.0202 359.5766 0.8764109
2.099832 355.0449 359.5566 0.8614342
2.130336 355.0536 359.5811 0.8608388
2.160184 355.1023 359.5754 0.879315
2.187743 355.1809 359.5657 0.8966084
2.221077 355.1875 359.5693 0.8603909
2.252505 355.1891 359.5896 0.8527855
2.281672 355.223 359.6001 0.9723412
2.315005 355.2893 359.62 0.9690582
2.348338 355.3727 359.5576 1.033805
2.379692 355.4487 359.4776 1.057728
2.412452 355.4801 359.4302 1.089202
2.445785 355.4941 359.3785 1.026464
2.477978 355.4597 359.4088 1.057867
2.511299 355.4466 359.4767 1.035437
2.544414 355.453 359.5496 1.023991
2.572819 355.537 359.5974 0.9805135
2.604183 355.4877 359.6566 0.9560967
2.635173 355.5283 359.6672 0.9405594
2.663609 355.5699 359.6816 0.9149039
2.695882 355.5723 359.6942 0.890538
2.726542 355.5891 359.7372 0.8790566
2.753413 355.6244 359.7785 0.8335728
2.783102 355.7259 359.8186 0.8055102
2.813175 355.8002 359.8819 0.7343178
2.840576 355.8377 359.9723 0.6254577
2.870866 355.8087 359.9891 0.649713
2.904097 355.8665 0.02874422 0.6534365
2.934376 355.954 0.01028432 0.670526
2.967709 356.015 359.9514 0.6830054
3.001043 356.0258 359.8962 0.6309222
3.034376 356.0605 359.8428 0.5524811
