時間[s] x軸周り[deg] y軸周り[deg] z軸周り[deg]
0 0 0 0
0.02 0 0 0
0.05333333 0 0 0
0.08444983 0 0 0
0.09871953 0 0 0
0.1042251 0 0 0
0.1122896 0 0 0
0.1208749 0 0 0
0.1326792 0 0 0
0.1449099 0 0 0
0.1571751 0 0 0
0.1682981 0 0 0
0.1806711 0 0 0
0.1934737 0 0 0
0.2035158 0 0 0
0.2153461 0 0 0
0.2300646 0 0 0
0.2379136 0 0 0
0.2495271 0 0 0
0.2607379 0 0 0
0.2712179 0 0 0
0.2814833 0 0 0
0.2934841 0 0 0
0.3040557 0 0 0
0.3154806 0 0 0
0.3278624 0 0 0
0.336954 0 0 0
0.3483428 0 0 0
0.3599323 0 0 0
0.3703617 0 0 0
0.3830497 0 0 0
0.393526 0 0 0
0.4039808 0 0 0
0.4156324 0 0 0
0.4263643 0 0 0
0.4375699 0 0 0
0.4481592 0 0 0
0.4592477 0 0 0
0.4707082 0 0 0
0.4810746 0 0 0
0.4931278 0 0 0
0.5039463 0 0 0
0.5148852 0 0 0
0.5268434 0 0 0
0.5375451 0 0 0
0.5481296 0 0 0
0.5601617 0 0 0
0.5719966 0 0 0
0.5819623 0 0 0
0.5931969 0 0 0
0.6038317 0 0 0
0.6157507 0 0 0
0.6263542 0 0 0
0.6365665 0 0 0
0.6484765 0 0 0
0.6609215 0 0 0
0.6766247 0 0 0
0.6830828 0 0 0
0.6933358 0 0 0
0.7046852 0 0 0
0.7173707 0 0 0
0.7270756 0 0 0
0.7379025 0 0 0
0.748974 0 0 0
0.7608929 0 0 0
0.7711931 0 0 0
0.781419 0 0 0
0.793165 0 0 0
0.8127489 0 0 0
0.818669 0 0 0
0.827132 0 0 0
0.8372988 0 0 0
0.8483258 0 0 0
0.8598718 0 0 0
0.8711393 0 0 0
0.8821492 0 0 0
0.8946064 0 0 0
0.9039692 0 0 0
0.9151537 0 0 0
0.9274806 0 0 0
0.9374856 0 0 0
0.94898 0 0 0
0.9593228 0 0 0
0.9712222 0 0 0
0.9823766 0 0 0
0.9943596 0 0 0
1.004038 0 0 0
1.01547 0 0 0
1.0272 0 0 0
1.037592 0 0 0
1.049952 0 0 0
1.060286 0 0 0
1.072153 0 0 0
1.082055 0 0 0
1.093347 0 0 0
1.104306 0 0 0
1.117183 0 0 0
1.129098 0 0 0
1.142437 0 0 0
1.152576 0 0 0
1.164694 0 0 0
1.177538 0 0 0
1.187978 0 0 0
1.200708 0 0 0
1.211649 0 0 0
1.223029 0 0 0
1.233779 0 0 0
1.244867 0 0 0
1.256189 0 0 0
1.267015 0 0 0
1.277993 0 0 0
1.28976 0 0 0
1.301492 0 0 0
1.311645 0 0 0
1.322247 0 0 0
1.333697 0 0 0
1.344262 0 0 0
1.355145 0 0 0
1.367371 0 0 0
1.378032 0 0 0
1.388742 0 0 0
1.400373 0 0 0
1.410811 0 0 0
1.422297 0 0 0
1.433486 0 0 0
1.445348 0 0 0
1.45602 0 0 0
1.466578 0 0 0
1.478359 0 0 0
1.488891 0 0 0
1.50066 0 0 0
1.511149 0 0 0
1.523627 0 0 0
1.535171 0 0 0
1.54509 0 0 0
1.556396 0 0 0
1.567931 0 0 0
1.57949 0 0 0
1.588668 0 0 0
1.600248 0 0 0
1.611193 0 0 0
1.621793 0 0 0
1.633281 0 0 0
1.646055 0 0 0
1.657303 0 0 0
1.668051 0 0 0
1.678605 0 0 0
1.6901 0 0 0
1.701018 0 0 0
1.711651 0 0 0
1.724288 0 0 0
1.734405 0 0 0
1.74609 0 0 0
1.755994 0 0 0
1.767576 0 0 0
1.778992 0 0 0
1.789524 0 0 0
1.800422 0 0 0
1.812104 0 0 0
1.822355 0 0 0
1.833794 0 0 0
1.845371 0 0 0
1.855284 0 0 0
1.86704 0 0 0
1.882145 0 0 0
1.888736 0 0 0
1.900002 0 0 0
1.912255 0 0 0
1.924114 0 0 0
1.938235 0 0 0
1.945863 0 0 0
1.955868 0 0 0
1.96775 0 0 0
1.978963 0 0 0
