時間[s] タイヤの舵角[deg]
0 0
0.02 0
0.07 9.35
0.1076634 9.35
0.1216465 9.35
0.133631 9.35
0.1453683 9.35
0.1571385 9.35
0.1681866 9.35
0.1796566 9.35
0.1921187 9.35
0.202759 9.35
0.2135821 9.35
0.2249283 9.35
0.2361681 9.35
0.2471607 9.35
0.2580498 9.35
0.2688662 9.35
0.2795671 9.35
0.2904583 9.35
0.3011835 9.35
0.3118296 9.35
0.3228481 9.35
0.3337439 9.35
0.3448389 9.35
0.3569084 9.35
0.3676167 9.35
0.3788122 9.35
0.3895756 9.35
0.4005556 9.35
0.4151697 9.35
0.4258978 9.35
0.4363567 9.35
0.4470863 9.35
0.4579468 9.35
0.4684411 9.35
0.4790924 9.35
0.489737 9.35
0.5004631 9.35
0.5123197 9.35
0.5234155 9.35
0.5344882 9.35
0.5452359 9.35
0.5574014 9.35
0.5691461 9.35
0.5811549 9.35
0.5930906 9.35
0.6056756 9.35
0.617421 9.35
0.6293832 9.35
0.6414443 9.35
0.653384 9.35
0.6654325 9.35
0.6770513 9.35
0.6882617 9.35
0.6993038 9.35
0.7102872 9.35
0.7215648 9.35
0.7327298 9.35
0.7437979 9.35
0.7548243 9.35
0.7652709 9.35
0.7760155 9.35
0.7882896 9.35
0.7991703 9.35
0.8104313 9.35
0.8224876 9.35
0.8336445 9.35
0.8444869 9.35
0.8560929 9.35
0.8672132 9.35
0.8784266 9.35
0.8901971 9.35
0.9009042 9.35
0.9119014 9.35
0.9243074 9.35
0.9348092 9.35
0.9452494 9.35
0.9560018 9.35
0.9665069 9.35
0.9770611 9.35
0.9879129 9.35
0.9987947 9.35
1.009613 9.35
1.020754 9.35
1.031758 9.35
1.043493 9.35
1.054933 9.35
1.065421 9.35
1.076472 9.35
1.087592 9.35
1.098466 9.35
1.109604 9.35
1.121514 9.35
1.132819 9.35
1.143571 9.35
1.154616 9.35
1.165146 9.35
1.176089 9.35
1.187313 9.35
1.199131 9.35
1.210288 9.35
1.221292 9.35
1.232061 9.35
1.242895 9.35
1.254077 9.35
1.264899 9.35
1.276961 9.35
1.288085 9.35
1.301063 9.35
1.312553 9.35
1.32401 9.35
1.335312 9.35
1.358258 9.35
1.368922 9.35
1.379685 9.35
1.390438 9.35
1.401142 9.35
1.411638 9.35
1.422891 9.35
1.433722 9.35
1.444706 9.35
1.455473 9.35
1.466268 9.35
1.476787 9.35
1.487435 9.35
1.498263 9.35
1.510303 9.35
1.521453 9.35
1.532256 9.35
1.543165 9.35
1.554574 9.35
1.566436 9.35
1.577042 9.35
1.588202 9.35
1.599085 9.35
1.612436 9.35
1.623836 9.35
1.634693 9.35
1.645277 9.35
1.656247 9.35
1.666737 9.35
1.677604 9.35
1.688643 9.35
1.699497 9.35
1.71113 9.35
1.721947 9.35
1.732662 9.35
1.743621 9.35
1.75482 9.35
1.765927 9.35
1.777235 9.35
1.788073 9.35
1.799515 9.35
1.814169 9.35
1.825178 9.35
1.83567 9.35
1.846269 9.35
1.856796 9.35
1.867415 9.35
1.878001 9.35
1.888733 9.35
1.899193 9.35
1.9101 9.35
1.921262 9.35
1.933558 9.35
1.944226 9.35
1.955235 9.35
1.966026 9.35
1.977028 9.35
1.98818 9.35
1.998995 9.35
2.009886 9.35
2.021105 9.35
2.032883 9.35
2.043725 9.35
2.054873 9.35
2.06572 9.35
2.076637 9.35
2.088068 9.35
2.098607 9.35
2.110556 9.35
2.122188 9.35
2.133076 9.35
2.144176 9.35
2.155141 9.35
2.166208 9.35
2.176853 9.35
2.187996 9.35
2.198941 9.35
2.209862 9.35
2.221991 9.35
2.232775 9.35
2.243968 9.35
2.254955 9.35
2.265638 9.35
2.276592 9.35
2.287809 9.35
2.298668 9.35
2.310523 9.35
2.32169 9.35
2.332482 9.35
2.343464 9.35
2.354549 9.35
2.36538 9.35
2.376323 9.35
2.388617 9.35
2.39957 9.35
2.410242 9.35
2.421403 9.35
2.432236 9.35
2.443195 9.35
2.454248 9.35
2.468951 9.35
2.479423 9.35
2.490611 9.35
2.50114 9.35
2.511773 9.35
