時間[s] タイヤの舵角[deg]
0 0
0.02 0
0.07 -1.05
0.1162747 -1.05
0.1366682 -1.05
0.1486616 -1.05
0.1617213 -1.05
0.173889 -1.05
0.1862965 -1.05
0.1980403 -1.05
0.2099769 -1.05
0.2219428 -1.05
0.2337656 -1.05
0.2471727 -1.05
0.2590591 -1.05
0.2709601 -1.05
0.2895089 -1.05
0.3048004 -1.05
0.3179306 -1.05
0.3307031 -1.05
0.3475262 -1.05
0.3606099 -1.05
0.3733038 -1.05
0.3856963 -1.05
0.3982874 -1.05
0.410445 -1.05
0.4220617 -1.05
0.4339635 -1.05
0.4459374 -1.05
0.4586551 -1.05
0.4705684 -1.05
0.4830258 -1.05
0.4970253 -1.05
0.5094529 -1.05
0.5230508 -1.05
0.5359495 -1.05
0.5477855 -1.05
0.5596753 -1.05
0.5734699 -1.05
0.5859744 -1.05
0.5984122 -1.05
0.6111322 -1.05
0.6262187 -1.05
0.6387205 -1.05
0.6504464 -1.05
0.6627981 -1.05
0.6745577 -1.05
0.6879623 -1.05
0.7013357 -1.05
0.7132081 -1.05
0.7249179 -1.05
0.7378385 -1.05
0.7497268 -1.05
0.7615647 -1.05
0.7734172 -1.05
0.7855542 -1.05
0.7994966 -1.05
0.812214 -1.05
0.8238459 -1.05
0.8358037 -1.05
0.8483878 -1.05
0.8600965 -1.05
0.8721505 -1.05
0.8840624 -1.05
0.8962296 -1.05
0.9106984 -1.05
0.9229906 -1.05
0.935536 -1.05
0.9472059 -1.05
0.9599727 -1.05
0.9719216 -1.05
0.9835728 -1.05
0.9954791 -1.05
1.0074 -1.05
1.01998 -1.05
1.031638 -1.05
1.043394 -1.05
1.055024 -1.05
1.06688 -1.05
1.079683 -1.05
1.091552 -1.05
1.103325 -1.05
1.117309 -1.05
1.130332 -1.05
1.143815 -1.05
1.157498 -1.05
1.170522 -1.05
1.183075 -1.05
1.195333 -1.05
1.208065 -1.05
1.220565 -1.05
1.232362 -1.05
1.245702 -1.05
1.257872 -1.05
1.271348 -1.05
1.283083 -1.05
1.295229 -1.05
1.308501 -1.05
1.358501 -1.05
1.391718 -1.05
1.409491 -1.05
1.423626 -1.05
1.437254 -1.05
1.450436 -1.05
1.463322 -1.05
1.475824 -1.05
1.487748 -1.05
1.537748 -1.05
1.566108 -1.05
1.578473 -1.05
1.59088 -1.05
1.604525 -1.05
1.618078 -1.05
1.630461 -1.05
1.643211 -1.05
1.655518 -1.05
1.668664 -1.05
1.681136 -1.05
1.704349 -1.05
1.723399 -1.05
1.7371 -1.05
1.749267 -1.05
1.762487 -1.05
1.7771 -1.05
1.792533 -1.05
1.80826 -1.05
1.82334 -1.05
1.835778 -1.05
1.848452 -1.05
1.860889 -1.05
1.882975 -1.05
1.89487 -1.05
1.907377 -1.05
1.919513 -1.05
1.931513 -1.05
1.94325 -1.05
1.955047 -1.05
1.967889 -1.05
1.979941 -1.05
1.991819 -1.05
2.004421 -1.05
2.017892 -1.05
2.040162 -1.05
2.054405 -1.05
2.066057 -1.05
2.078306 -1.05
2.090556 -1.05
2.103681 -1.05
2.11546 -1.05
2.128154 -1.05
2.140112 -1.05
2.152385 -1.05
2.164073 -1.05
2.176088 -1.05
2.194214 -1.05
2.206661 -1.05
2.219274 -1.05
2.233593 -1.05
2.246055 -1.05
2.257979 -1.05
2.270679 -1.05
2.282656 -1.05
2.295224 -1.05
2.307105 -1.05
2.320003 -1.05
2.33223 -1.05
2.349348 -1.05
2.361776 -1.05
2.373737 -1.05
2.385501 -1.05
2.397293 -1.05
2.409426 -1.05
2.421606 -1.05
2.436434 -1.05
2.448433 -1.05
2.461091 -1.05
2.473685 -1.05
2.486653 -1.05
2.505128 -1.05
2.518147 -1.05
2.530399 -1.05
2.542585 -1.05
2.554548 -1.05
2.5663 -0.85
2.578636 -0.85
2.590327 -0.85
2.602232 -0.85
2.614356 0
2.626862 0
2.640633 0
2.661897 0
2.674186 1.5
2.686866 1.5
2.698811 1.5
2.71129 1.5
2.723251 2.15
2.735457 2.15
2.747228 2.15
2.759404 2.15
