時間[s] タイヤの舵角[deg]
0 0
0.02 0
0.07 -1.7
0.12 -1.7
0.1524485 -1.7
0.1775198 -1.7
0.193 -1.7
0.2063995 -1.7
0.219519 -1.7
0.2346767 -1.5
0.248803 -1.5
0.2638897 -1.5
0.2790346 -1.5
0.2973142 -1.5
0.3110641 -1.5
0.3234069 -1.5
0.3356598 -1.5
0.3483309 -1.5
0.3614078 -1.5
0.3737348 -1.5
0.3856556 -1.5
0.3976319 -1.5
0.4110115 -1.5
0.422886 -1.5
0.4348132 -1.5
0.4467963 -1.5
0.4600915 -1.5
0.471657 -1.5
0.4838526 -1.5
0.4979908 -1.5
0.5108161 -1.5
0.5238996 -1.5
0.535977 -1.5
0.5483595 -1.5
0.5614099 -1.5
0.5740902 -1.5
0.5876943 -1.5
0.6000398 -1.5
0.6122536 -1.5
0.6258355 -1.5
0.6377075 -1.5
0.6495632 -1.5
0.6618317 -1.5
0.6740189 -1.5
0.6877418 -1.5
0.700957 -1.5
0.7134431 -1.5
0.7266048 -1.5
0.7387696 -1.5
0.7505808 -1.5
0.7630658 -1.5
0.775822 -1.5
0.7879013 -1.5
0.8007763 -1.5
0.8143927 -1.5
0.8334168 -1.5
0.8480253 -1.5
0.8633537 -1.5
0.8756757 -1.5
0.8871134 -1.5
0.898802 -1.5
0.9128867 -1.5
0.9262333 -1.5
0.9419447 -1.5
0.9574133 -1.5
0.971105 -1.5
0.9866946 -1.5
1.005021 -1.3
1.025399 -1.3
1.042826 -1.3
1.058491 -1.3
1.072223 -1.3
1.084717 -1.3
1.097795 -1.3
1.111162 -1.3
1.12577 -1.3
1.138421 -1.3
1.150344 -1.3
1.163424 -1.3
1.175957 -1.3
1.18938 -1.3
1.201491 -1.3
1.21391 -1.3
1.226627 -1.3
1.239583 -1.3
1.25172 -1.3
1.26368 -1.3
1.276698 -1.3
1.288522 -1.3
1.301042 -1.3
1.313497 -1.3
1.327962 -1.3
1.340343 -1.3
1.35282 -1.3
1.364943 -1.3
1.37864 -1.3
1.390492 -1.3
1.402938 -1.3
1.415345 -1.3
1.428075 -1.3
1.440272 -1.3
1.451997 -1.3
1.464674 -1.3
1.477817 -1.3
1.490185 -1.3
1.501869 -1.3
1.515143 -1.3
1.52934 -1.3
1.541939 -1.3
1.554439 -1.3
1.567545 -1.3
1.581248 -1.3
1.594083 -1.3
1.60563 -1.3
1.617784 -1.3
1.630227 -1.3
1.643024 -1.3
1.65456 -1.3
1.666264 -1.3
1.678715 -1.3
1.691701 -1.3
1.708349 -1.3
1.720347 -1.3
1.734198 -1.3
1.748115 -1.3
1.76046 -1.3
1.772369 -1.3
1.785265 -1.3
1.79879 -1.3
1.811866 -1.3
1.823668 -1.3
1.836051 -1.3
1.849111 -1.3
1.861511 -1.3
1.873258 -1.3
1.885795 -1.3
1.897548 -1.3
1.910437 -1.3
1.922932 -1.3
1.936601 -1.3
1.948977 -1.3
1.96326 -1.3
1.97559 -1.3
1.987475 -1.3
1.999501 -1.3
2.013037 -1.3
2.026522 -1.3
2.038274 -1.3
2.050212 -1.3
2.065312 -1.3
2.079409 -1.3
2.09805 -1.3
2.118118 -1.3
2.133512 -1.3
2.148016 -1.3
2.161634 -1.3
2.173677 -1.3
2.186159 -1.3
2.198378 -1.3
2.21026 -1.3
2.222934 -1.3
2.235985 -1.3
2.252289 -1.3
2.265435 -1.3
2.278555 -1.3
2.293911 -1.3
2.306635 -1.3
2.319278 -1.3
2.331336 -1.3
2.343548 -1.3
2.357943 -1.3
2.369948 -1.3
2.382608 -1.3
2.39538 -1.3
2.408107 -1.3
2.420088 -1.3
2.432359 -1.3
2.44441 -1.3
2.457087 -1.3
2.469908 -1.3
2.483109 -1.3
2.496663 -1.3
2.508901 -1.3
2.52182 -1.3
2.536798 -1.3
2.552203 -1.3
2.56979 -1.3
2.583164 -1.3
2.597228 -1.3
2.612329 -1.3
2.627925 -1.3
2.640951 -1.3
2.658917 -1.3
2.672691 -1.3
2.686579 -1.3
2.699989 -1.3
2.714467 -1.3
2.729441 -1.3
2.743119 -1.3
