時間[s] タイヤの舵角[deg]
0 0
0.02 0
0.05333333 0.1625
0.08666666 0.1625
0.12 0.1625
0.1533333 0.1625
0.1866667 0.1625
0.22 0.1625
0.2533333 0.1625
0.2866667 0.1625
0.32 0.1625
0.3533333 0.1625
0.3866667 0.1625
0.42 0.1625
0.4533333 0.1625
0.4866666 0.1625
0.52 0.1625
0.5533333 0.1625
0.5866666 0.1625
0.6199999 0.14
0.6533333 0.14
0.6866666 0.14
0.72 0.14
0.7533333 0.14
0.7866666 0.14
0.8199999 0.14
0.8533333 0.14
0.8866666 0.14
0.92 0.13
0.9533333 0.13
0.9866666 0.12
1.02 0.0975
1.053333 0.0975
1.086667 0.085
1.12 0.085
1.153333 0.085
1.186667 0.085
1.22 0.085
1.253333 0.085
1.286667 0.085
1.32 0.085
1.353333 0.085
1.386667 0.085
1.42 0.085
1.453333 0.085
1.486667 0.085
1.52 0.085
1.553333 0.085
1.586667 0.085
1.62 0.085
1.653333 0.085
1.686667 0.085
1.72 0.085
1.753333 0.085
1.786667 0.085
1.82 0.085
1.853333 0.085
1.886667 0.085
1.92 0.085
1.953333 0.085
1.986667 0.085
2.02 0.085
2.053333 0.085
2.086667 0.085
2.12 0.085
2.153333 0.085
2.186666 0.085
2.22 0.085
2.253333 0.085
2.286667 0.085
2.32 0.085
2.353333 0.085
2.386667 0.085
2.42 0.085
2.453333 0.085
2.486666 0.085
2.52 0.085
2.553333 0.085
2.586667 0.085
2.62 0.085
2.653333 0.085
2.686666 0.085
2.72 0.085
2.753333 0.085
2.786666 0.085
2.82 0.085
2.853333 0.085
2.886667 0.085
2.92 0.085
2.953333 0.085
2.986666 0.085
3.02 0.085
3.053333 0.085
3.086667 0.085
3.12 0.085
3.153333 0.085
3.186666 0.085
3.22 0.085
3.253333 0.085
3.286666 0.085
3.32 0.085
3.353333 0.085
3.386667 0.085
3.42 0.085
3.453333 0.085
3.486666 0.085
3.52 0.085
3.553333 0.085
3.586666 0.085
3.62 0.085
3.653333 0.085
3.686666 0.085
3.72 0.085
3.753333 0.085
3.786666 0.085
3.82 0.085
3.853333 0.085
3.886667 0.085
3.92 0.085
3.953333 0.085
3.986666 0.085
4.02 0.085
4.053333 0.085
4.086667 0.085
4.12 0.085
4.153333 0.085
4.186666 0.085
4.22 0.085
4.253333 0.085
4.286666 0.085
4.32 0.085
4.353333 0.085
4.386666 0.085
4.42 0.085
4.453333 0.085
4.486666 0.085
4.52 0.085
4.553333 0.085
4.586667 0.085
4.62 0.085
4.653333 0.085
4.686666 0.085
4.72 0.085
4.753333 0.085
4.786666 0.085
4.82 0.085
4.853333 0.085
4.886666 0.085
4.92 0.085
4.953333 0.085
4.986666 0.085
5.02 0.085
5.053333 0.085
5.086667 0.085
5.12 0.085
5.153333 0.085
5.186666 0.085
5.22 0.085
5.253333 0.085
5.286666 0.085
5.32 0.085
5.353333 0.085
5.386666 0.085
5.42 0.085
5.453333 0.085
5.486666 0.085
5.52 0.085
5.553333 0.085
5.586666 0.085
5.62 0.085
5.653333 0.085
5.686666 0.085
5.72 0.085
5.753333 0.085
5.786666 0.085
5.82 0.085
5.853333 0.085
5.886666 0.085
5.92 0.085
5.953333 0.085
5.986666 0.085
6.02 0.085
6.053333 0.085
6.086666 0.085
6.119999 0.085
6.153333 0.085
6.186666 0.085
6.22 0.085
6.253333 0.085
6.286666 0.085
6.32 0.085
6.353333 0.085
6.386666 0.085
6.42 0.085
6.453333 0.085
6.486666 0.085
6.52 0.085
6.553333 0.085
6.586666 0.085
6.619999 0.085
6.653333 0.085
6.686666 0.085
6.72 0.085
6.753333 0.085
6.786666 0.085
6.82 0.085
6.853333 0.085
6.886666 0.085
6.92 0.085
6.953333 0.085
6.986666 0.085
7.02 0.085
7.053333 0.085
7.086666 0.085
7.119999 0.085
7.153333 0.085
7.186666 0.085
7.22 0.085
7.253333 0.085
7.286666 0.085
7.32 0.085
7.353333 0.085
7.386666 0.085
7.42 0.085
7.453333 0.085
7.486666 0.085
7.52 0.085
7.553333 0.085
7.586666 0.085
