時間[s] タイヤの舵角[deg]
0 0
0.02 0
0.05333333 0
0.08473113 0
0.09469723 0
0.1038816 0
0.1235745 0
0.147155 0
0.1673357 0
0.1864193 0
0.2075176 0
0.2312675 0
0.2524035 0
0.2720157 0
0.2918544 0
0.3156829 0
0.3353433 0
0.3412724 0
0.3469213 0
0.3519998 0
0.3569943 0
0.3628046 0
0.3679404 0
0.3732688 0
0.3782996 0
0.3839495 0
0.3889584 0
0.39414 0
0.3989632 0
0.4049127 0
0.4119504 0
0.4182122 0
0.4247207 0
0.4314208 0
0.4369707 0
0.4434406 0
0.4490928 0
0.4554651 0
0.4621181 0
0.4676052 0
0.4735078 0
0.479054 0
0.4844062 0
0.4907111 0
0.496827 0
0.503223 0
0.5094064 0
0.5152053 0
0.5204752 0
0.5269943 0
0.533475 0
0.5395133 0
0.5460995 0
0.5523773 0
0.5584543 0
0.5642669 0
0.570366 0
0.5771257 0
0.5832077 0
0.5883986 0
0.5943394 0
0.5997834 0
0.6051905 0
0.611033 0
0.6167495 0
0.6219431 0
0.6275675 0
0.6325732 0
0.6379005 0
0.6433452 0
0.6486025 0
0.6536011 0
0.6586272 0
0.6637028 0
0.6698068 0
0.6755263 0
0.6806316 0
0.6862282 0
0.6915749 0
0.6964729 0
0.7016565 0
0.7074336 0
0.7124709 0
0.7173154 0
0.7225977 0
0.7276776 0
0.7326396 0
0.7377281 0
0.7427468 0
0.748071 0
0.7532331 0
0.7587242 0
0.7647829 0
0.7703998 0
0.7762801 0
0.7817661 0
0.7872436 0
0.7922607 0
0.7975875 0
0.8074647 0
0.8127416 0
0.8178727 0
0.8229631 0
0.8280475 0
0.833041 0
0.8380947 0
0.8431581 0
0.8482341 0
0.8536418 0
0.8598871 0
0.865516 0
0.8716657 0
0.8778462 0
0.8834567 0
0.8891343 0
0.894419 0
0.8997387 0
0.9049084 0
0.9104944 0
0.9159967 0
0.9211589 0
0.9266011 0
0.9318785 0
0.9370917 0
0.9423426 0
0.9482679 0
0.9537904 0
0.9588345 0
0.9644468 0
0.9698417 0
0.9756002 0
0.980693 0
0.9859293 0
0.9907612 0
0.9956833 0
1.00087 0
1.00638 0
1.011857 0
1.017378 0
1.022211 0
1.027514 0
1.032739 0
1.037512 0
1.043626 0
1.048798 0
1.053727 0
1.059261 0
1.064797 0
1.069817 0
1.075311 0
1.081165 0
1.087396 0
1.093799 0
1.098703 0
1.103509 0
1.108611 0
1.113832 0
1.119043 0
1.124007 0
1.129008 0
1.134332 0
1.139447 0
1.144846 0
1.15039 0
1.156476 0
1.161677 0
1.166375 0
1.171389 0
1.176867 0
1.182635 0
1.188268 0
1.193874 0
1.19947 0
1.206411 0
1.212376 0
1.21752 0
1.222811 0
1.228386 0
1.2339 0
1.238856 0
1.243986 0
1.248933 0
1.253902 0
1.259171 0
1.264186 0
1.269797 0
1.274911 0
1.279846 0
1.284513 0
1.289924 0
1.295205 0
1.300153 0
1.305429 0
1.310479 0
1.31519 0
1.320017 0
1.325151 0
1.330172 0
1.335473 0
1.340988 0
1.346013 0
1.35212 0
1.357306 0
1.36221 0
1.367214 0
1.372086 0
1.377224 0
1.383372 0
1.388681 0
1.393679 0
1.398848 0
1.40455 0
1.409779 0
1.414755 0
1.42005 0
1.425465 0
1.430854 0
1.437021 0
1.442254 0
1.447995 0
1.453729 0
1.459077 0
1.463998 0
1.469195 0
1.47435 0
1.479905 0
1.485585 0
1.49049 0
1.495383 0
1.500786 0
1.506001 0
1.51191 0
1.517033 0
1.5222 0
1.52738 0
1.532413 0
1.537923 0
1.543416 0
1.548972 0
1.554194 0
1.559834 0
1.564735 0
1.570283 0
1.576718 0
1.582353 0
1.587125 0
1.592041 0
1.597078 0
1.601973 0
1.60723 0
1.612334 0
1.617406 0
1.622731 0
1.627801 0
1.632985 0
1.637805 0
1.642992 0
1.648133 0
1.653193 0
1.657868 0
1.663618 0
1.668887 0
1.67481 0
1.679916 0
1.685305 0
1.691084 0
1.695901 0
1.701048 0
1.705772 0
1.710789 0
1.716178 0
1.721599 0
1.726833 0
