時間[s] タイヤの舵角[deg]
0 0
0.02 -235
0.05333333 -231
0.08666666 -231
0.1192735 -231
0.1494269 -231
0.1827602 -231
0.2144328 -231
0.243725 -231
0.2724375 -231
0.3038125 -231
0.3371458 -231
0.3646976 -231
0.395381 -231
0.4257939 -231
0.4550982 -231
0.4835969 -231
0.5169303 -231
0.5467651 -231
0.5756496 -231
0.6078426 -231
0.6411012 -231
0.6701261 -231
0.7032052 -231
0.7346817 -231
0.7657822 -231
0.7970452 -231
0.8279508 -231
0.8554627 -231
0.8869677 -231
0.9175814 -231
0.9470205 -231
0.9803538 -231
1.011839 -231
1.042561 -231
1.075894 -222
1.109228 -222
1.142561 -218
1.174406 -214
1.207659 -214
1.240316 -214
1.269177 -209
1.297639 -209
1.327383 -209
1.356363 -209
1.386871 -209
1.420205 -209
1.453538 -209
1.480752 -209
1.511837 -209
1.540815 -209
1.574148 -209
1.602081 -209
1.631229 -209
1.660573 -209
1.692032 -209
1.725365 -209
1.75447 -209
1.786946 -209
1.817267 -209
1.845872 -209
1.879206 -209
1.911256 -209
1.94459 -209
1.974686 -209
2.003787 -209
2.037121 -209
2.069569 -209
2.099383 -209
2.131915 -209
2.164075 -209
2.197408 -209
2.225407 -209
2.255302 -209
2.287853 -209
2.32092 -209
2.354254 -209
2.386323 -209
2.419656 -209
2.450979 -209
2.479525 -209
2.512858 -209
2.542285 -209
2.571004 -209
2.597845 -209
2.626022 -209
2.65713 -209
2.690464 -209
2.719174 -209
2.749102 -209
2.782436 -209
2.813941 -209
2.847274 -209
2.878697 -209
2.912031 -209
2.942231 -209
2.974398 -209
3.007731 -209
3.036106 -209
3.067542 -209
3.096517 -209
3.12985 -209
3.163183 -209
3.192087 -209
3.22104 -209
3.251468 -209
3.282562 -209
3.315895 -214
3.349228 -214
3.382562 -218
3.415895 -218
3.444998 -218
3.478331 -218
3.511665 -218
3.541478 -218
3.569534 -218
3.602868 -218
3.635927 -218
3.669261 -218
3.702594 -218
3.729378 -218
3.759177 -218
3.791824 -218
3.820036 -218
3.847213 -218
3.877611 -218
3.9066 -218
3.939933 -218
3.973266 -218
4.004154 -222
4.033825 -222
4.065006 -222
4.095456 -222
4.128789 -222
4.162123 -222
4.192533 -222
4.225866 -222
4.259199 -222
4.292532 -222
4.324089 -222
4.357422 -222
4.390756 -222
4.424089 -222
4.457422 -222
4.487002 -222
4.517796 -222
4.551129 -222
4.584463 -222
4.617796 -222
4.65113 -222
4.684463 -222
4.71671 -222
4.750043 -222
4.779761 -222
4.813094 -222
4.844664 -222
4.873042 -222
4.906375 -222
4.935818 -222
4.965469 -222
4.993415 -222
5.023243 -222
5.056577 -222
5.085242 -222
5.113382 -222
5.146715 -222
5.178235 -222
5.211568 -222
5.244902 -222
5.275257 -222
5.305171 -222
5.336147 -222
5.369481 -222
5.401443 -222
5.434199 -222
5.467533 -222
5.496699 -222
5.530032 -222
5.561458 -222
5.594288 -222
5.624115 -222
5.657448 -222
5.690782 -222
5.719716 -222
5.749403 -222
5.781322 -222
5.813712 -227
5.847045 -231
5.87537 -231
5.90525 -235
5.937049 -240
5.969434 -240
6.002768 -240
6.032836 -240
6.065816 -240
6.099022 -249
6.131705 -253
6.165039 -257
6.19469 -257
6.228023 -262
6.260324 -262
6.290138 -262
6.323471 -262
6.353605 -262
6.382976 -262
6.416309 -262
6.445981 -262
6.479314 -266
6.511749 -270
6.540714 -270
6.571576 -279
6.601548 -292
6.634881 -292
6.665624 -305
6.698957 -314
6.73229 -314
6.76241 -318
6.795743 -327
6.829076 -327
6.86241 -332
6.892337 -340
6.921824 -340
6.955157 -349
6.986607 -358
7.014418 -358
7.047751 -362
7.079102 -371
7.112435 -371
7.145769 -380
7.179102 -388
7.209271 -388
7.242605 -397
7.275938 -406
7.307094 -406
7.340299 -410
7.373632 -415
7.405026 -415
7.438359 -423
7.468243 -432
7.497602 -432
7.525858 -441
7.559191 -445
7.592525 -454
7.625858 -454
7.658977 -458
7.69231 -463
7.723331 -463
7.756665 -467
7.785729 -471
7.815107 -471
7.845242 -471
7.875333 -471
7.908666 -471
7.938162 -471
7.967719 -471
7.996494 -471
8.025731 -471
8.059064 -471
8.090792 -471
8.1225 -471
8.150838 -471
8.183811 -471
8.217144 -471
8.247475 -471
8.279877 -480
8.31321 -484
8.345124 -484
8.378457 -489
8.407613 -489
8.440947 -489
8.470553 -489
8.500551 -489
8.533884 -489
8.566867 -489
8.596578 -489
8.628139 -489
8.661473 -489
8.694806 -489
8.724824 -489
8.754981 -489
8.787424 -489
8.816607 -489
8.849939 -489
8.883273 -489
8.916281 -489
8.949614 -489
8.979636 -489
9.012969 -489
9.041259 -489
9.074351 -489
9.107684 -489
9.136838 -489
9.170162 -489
9.201038 -489
9.231679 -489
9.261819 -489
9.290956 -493
9.324288 -498
9.354117 -498
9.383391 -502
9.416725 -506
9.446562 -506
9.479895 -511
9.512999 -511
9.546332 -511
9.576161 -511
9.60743 -511
9.640763 -511
9.671354 -511
9.703442 -511
9.735183 -511
9.766703 -511
9.800036 -511
9.833369 -515
9.86269 -515
