時間[s] タイヤの舵角[deg]
0 0
0.02 -13
0.05333333 -13
0.08666666 -13
0.12 -13
0.1457973 -13
0.1791306 -13
0.2122981 -13
0.2396195 -13
0.2681419 -13
0.2991095 -13
0.329858 -13
0.3592693 -13
0.3926027 -13
0.425936 -13
0.4545164 -13
0.4839193 -13
0.5120925 -13
0.5450821 -13
0.5784154 -13
0.6107235 -13
0.6393305 -13
0.66868 -13
0.7020134 -13
0.7317576 -13
0.7619436 -13
0.7918866 -13
0.8203663 -13
0.8530338 -13
0.8853099 -13
0.9186432 -8
0.9474475 -8
0.9780167 4
1.006579 26
1.037858 26
1.064326 61
1.093347 61
1.120826 91
1.152715 91
1.185391 122
1.216394 135
1.249728 135
1.282195 157
1.310814 170
1.338043 170
1.370218 174
1.397953 174
1.426279 174
1.459613 174
1.487932 174
1.520386 174
1.54951 174
1.582843 174
1.610229 174
1.643562 174
1.676896 174
1.710229 174
1.743562 170
1.776896 170
1.805766 170
1.8391 170
1.872433 170
1.901915 170
1.935249 170
1.965444 170
1.993925 170
2.023873 170
2.055138 170
2.088472 170
2.118823 166
2.148423 166
2.181756 161
2.215089 148
2.248423 148
2.275978 139
2.30394 131
2.331917 131
2.358028 131
2.391361 131
2.423905 131
2.451405 131
2.481544 131
2.509261 131
2.538546 131
2.569084 131
2.602417 131
2.635751 131
2.663863 131
2.697197 131
2.73053 131
2.763863 131
2.792638 131
2.821022 131
2.848973 131
2.879406 131
2.91274 126
2.940422 126
2.969633 126
3.002966 126
3.030302 126
3.062927 126
3.094239 126
3.12645 126
3.156084 126
3.184459 126
3.217793 126
3.250708 126
3.281129 126
3.310954 126
3.340246 126
3.373579 126
3.405381 126
3.438715 126
3.467447 126
3.496119 126
3.529452 126
3.558113 126
3.585542 126
3.618422 126
3.646755 126
3.680088 126
3.710739 126
3.744073 126
3.771727 126
3.801443 126
3.834506 126
3.862025 126
3.894139 126
3.92475 126
3.953489 126
3.986822 126
4.016871 126
4.044829 126
4.07735 126
4.109568 126
4.142901 126
4.172536 126
4.199389 126
4.226898 126
4.254168 126
4.287453 126
4.320786 126
4.35412 126
4.384287 126
4.412336 126
4.44567 126
4.479003 126
4.507347 126
4.534909 126
4.566273 126
4.595483 126
4.628817 126
4.655463 126
4.688369 126
4.717947 126
4.746596 126
4.779929 126
4.806332 126
4.833694 126
4.860912 126
4.889439 126
4.916628 126
4.949961 126
4.978621 126
5.011954 126
5.040003 126
5.070664 126
5.103805 126
5.131801 126
5.160428 126
5.189529 126
5.218139 126
5.248827 126
5.281877 126
5.311096 126
5.341076 126
5.370339 126
5.397812 126
5.427308 126
5.460642 126
5.488162 126
5.520308 126
5.548308 126
5.57872 126
5.612053 126
5.638449 126
5.667228 126
5.694172 126
5.725255 126
5.753531 126
5.786864 126
5.813663 126
5.841652 126
5.872206 126
5.903633 126
5.936966 126
5.969106 126
5.99688 126
6.030213 126
6.060831 126
6.094164 126
6.125407 126
6.154189 126
6.181962 126
6.211716 126
6.244742 126
6.278076 126
6.311409 126
6.341869 126
6.373585 126
6.406528 126
6.439862 126
6.468051 126
6.500851 126
6.532743 126
6.565677 126
6.594484 126
6.623919 126
6.654104 126
6.683073 126
6.716406 126
6.745015 126
6.775028 126
6.801896 126
6.831243 126
6.860118 126
6.893452 126
6.921534 126
6.954867 126
6.982771 126
7.014918 126
7.048252 126
7.077969 126
7.106606 126
7.135767 126
7.163897 126
7.19723 126
7.226778 126
7.253924 126
7.282814 126
7.311382 126
7.344716 126
7.378049 126
7.405016 126
7.435805 126
7.465302 126
7.498635 126
7.531969 126
7.563624 126
7.596958 126
7.625449 126
7.654457 126
7.68779 126
7.71597 126
7.745871 126
7.773943 126
7.805543 126
7.838877 126
7.872211 126
7.899496 126
7.928775 126
7.956446 126
7.989779 126
8.023112 126
8.050678 126
8.082756 126
8.116065 126
8.149399 126
8.180457 126
8.212274 126
8.240503 126
8.269047 126
8.30238 126
8.331889 126
8.359902 126
8.385772 126
8.413805 126
8.440531 126
8.473864 126
8.501608 126
8.533129 126
8.56265 126
8.591748 126
8.625082 126
8.653262 126
8.681269 126
8.712052 126
8.739717 126
8.7715 126
8.804832 126
8.838166 126
8.865176 126
8.895173 126
8.92625 126
8.959584 126
8.987615 126
9.015648 126
9.043798 126
9.071859 126
9.09978 126
9.133113 126
9.165575 126
9.1969 126
9.224534 126
9.252873 126
9.286207 126
9.319029 126
9.345947 126
9.374195 126
9.400761 126
9.430368 126
9.462912 126
9.492403 126
9.520642 126
9.549147 126
9.576577 126
9.609911 126
9.643244 126
9.673424 126
9.706758 126
9.739344 126
9.769614 126
9.802948 126
9.833757 126
9.86709 126
9.89419 126
9.923695 126
9.957028 126
9.986421 126
10.01552 126
10.04885 126
10.08218 126
10.11552 126
10.14367 126
10.17701 126
10.20412 126
10.23746 126
10.27079 126
10.29995 126
10.32819 126
10.35911 126
10.39244 126
10.42578 126
10.45911 126
10.49174 126
10.52355 126
10.55283 126
10.58616 126
10.61559 126
10.64455 126
10.67789 126
10.70566 126
10.739 126
10.76829 126
10.79722 126
10.82333 126
10.85666 126
10.88895 126
10.91641 126
10.94651 126
10.97643 126
11.00818 126
11.04152 126
11.07043 126
11.10376 126
11.13277 126
11.16076 126
11.19367 126
11.22374 126
11.25602 126
11.28381 126
11.31439 126
11.34772 126
11.37629 126
