時間[s] タイヤの舵角[deg]
0 0
0.02 1813
0.05333333 1826
0.08666666 1821
0.12 1830
0.1489954 1834
0.1799967 1834
0.2099955 1834
0.2433288 1834
0.2726932 1834
0.3052786 1834
0.3353795 1834
0.3627244 1834
0.3960578 1834
0.4276254 1834
0.4571992 1839
0.4853584 1843
0.5147536 1843
0.5473844 1848
0.577471 1848
0.6055071 1848
0.6347098 1848
0.6663176 1848
0.6950198 1848
0.7233031 1848
0.7537873 1848
0.784327 1848
0.814073 1848
0.8419148 1848
0.8752481 1848
0.908155 1848
0.9388598 1848
0.9703145 1848
1.001285 1848
1.034618 1843
1.064327 1843
1.09766 1843
1.129419 1843
1.162752 1843
1.192216 1843
1.220938 1843
1.251446 1843
1.281728 1843
1.315061 1843
1.344466 1843
1.37539 1848
1.405804 1848
1.436738 1852
1.465372 1852
1.496015 1852
1.527186 1852
1.555682 1852
1.583072 1852
1.613892 1852
1.647225 1852
1.6778 1852
1.706239 1852
1.738328 1852
1.771662 1856
1.800898 1856
1.83251 1861
1.865844 1865
1.899177 1865
1.93251 1865
1.961622 1869
1.994955 1869
2.023472 1869
2.051684 1869
2.079964 1869
2.113297 1869
2.144607 1869
2.177192 1869
2.20565 1869
2.236543 1869
2.269313 1869
2.298997 1869
2.331259 1869
2.364592 1865
2.394282 1865
2.425775 1869
2.456594 1869
2.487952 1869
2.521285 1874
2.553173 1874
2.582083 1883
2.615416 1891
2.647523 1891
2.67602 1896
2.705097 1900
2.736134 1900
2.767442 1900
2.798609 1900
2.829016 1900
2.858614 1900
2.88823 1900
2.919578 1900
2.951577 1900
2.98491 1900
3.015587 1900
3.04892 1900
3.081869 1900
3.115159 1900
3.148222 1900
3.177605 1900
3.205868 1900
3.239202 1900
3.271999 1900
3.304393 1900
3.333168 1900
3.366501 1900
3.399834 1900
3.430079 1900
3.460963 1900
3.492589 1900
3.525922 1900
3.555308 1900
3.583224 1900
3.613714 1900
3.645955 1900
3.674285 1900
3.703583 1900
3.736185 1900
3.765229 1900
3.794568 1900
3.827901 1900
3.86117 1900
3.890974 1900
3.924307 1900
3.951855 1900
3.982553 1900
4.015886 1900
4.046253 1900
4.075685 1900
4.109018 1900
4.140722 1900
4.174055 1900
4.202383 1900
4.232016 1900
4.262175 1900
4.292283 1900
4.323285 1900
4.3552 1900
4.386588 1900
4.419291 1900
4.452625 1900
4.485958 1900
4.519291 1900
4.54956 1900
4.582893 1900
4.616227 1900
4.64956 1900
4.682893 1900
4.711469 1900
4.744802 1900
4.778136 1900
4.806521 1900
4.838811 1900
4.868351 1900
4.898533 1900
4.930742 1900
4.963099 1900
4.995001 1900
5.028335 1900
5.057047 1900
5.09038 1900
5.121442 1900
5.153492 1900
5.186569 1900
5.21501 1900
5.248343 1900
5.281677 1900
5.313111 1900
5.340147 1900
5.370513 1900
5.403846 1900
5.43718 1900
5.470513 1900
5.503846 1900
5.533367 1900
5.56295 1900
5.596283 1900
5.629617 1900
5.660744 1900
5.694077 1900
5.722812 1900
5.755246 1900
5.788579 1900
5.817627 1900
5.850961 1900
5.884294 1900
5.913931 1900
5.941905 1900
5.971284 1900
6.004617 1900
6.034529 1896
6.0655 1896
6.093661 1896
6.122193 1896
6.152028 1896
6.182266 1896
6.211442 1896
6.244776 1891
6.275948 1887
6.306381 1887
6.335653 1883
6.368986 1878
6.402319 1878
6.435653 1874
6.468986 1874
6.502319 1874
6.535653 1869
6.565113 1869
6.598446 1865
6.627784 1856
6.657496 1856
6.686906 1834
6.716024 1834
6.745995 1808
6.77894 1778
6.809144 1778
6.839624 1756
6.872069 1730
6.901767 1730
6.931289 1712
6.961347 1712
6.992414 1682
7.025044 1651
7.058377 1651
7.0894 1620
7.122602 1603
7.155109 1603
7.188443 1590
7.217887 1577
7.24992 1577
7.282134 1572
7.312853 1572
7.344456 1568
7.377789 1568
7.411123 1568
7.444456 1568
7.477789 1568
7.511123 1568
7.544456 1568
7.577789 1568
7.611123 1568
7.644456 1568
7.674838 1568
7.708171 1568
7.740141 1568
7.770732 1568
7.804066 1568
7.837399 1568
7.864712 1568
7.898045 1568
7.931378 1568
7.964712 1568
7.998045 1568
8.031379 1568
8.064712 1568
8.098045 1568
8.131378 1568
8.164712 1568
8.195998 1568
8.226451 1568
8.255595 1568
8.286513 1568
8.317113 1568
8.346472 1568
8.374412 1568
8.404099 1568
8.433638 1564
8.466821 1564
8.49736 1564
8.530693 1564
8.563621 1564
8.596954 1559
8.630288 1559
8.663621 1550
8.696955 1546
8.730288 1546
8.763621 1542
8.796954 1537
8.830288 1533
8.861419 1533
8.893338 1533
8.924859 1529
8.956826 1529
8.985375 1529
9.018708 1529
9.052042 1529
9.085375 1529
9.115442 1529
9.14465 1529
9.177785 1529
9.211119 1529
9.244452 1529
9.277785 1529
9.311118 1529
9.344452 1529
9.377785 1529
9.411119 1529
9.444451 1529
9.476649 1529
9.506502 1529
9.539835 1529
9.572873 1529
9.602439 1529
9.632078 1529
9.65886 1529
9.691918 1529
9.725251 1529
9.756785 1529
9.78508 1529
9.813467 1529
9.84362 1529
9.87561 1529
9.904871 1529
9.938204 1529
9.971538 1529
10.00091 1529
10.0327 1529
10.06575 1529
10.09619 1529
10.12952 1529
10.16285 1529
10.19619 1529
10.22469 1529
10.25418 1529
10.28228 1529
10.31562 1529
10.34895 1529
10.37874 1529
10.40976 1529
10.44309 1529
10.47641 1529
10.50975 1529
10.53627 1529
10.56803 1529
10.59859 1529
10.63192 1529
10.66487 1529
10.69744 1529
10.73008 1529
10.76342 1529
10.79165 1529
10.82499 1529
10.85832 1529
10.89165 1529
10.91951 1529
10.94888 1529
10.97959 1529
11.00826 1529
11.03761 1529
11.06604 1529
11.09823 1529
11.13119 1529
11.15929 1529
11.18772 1529
11.22106 1529
11.25439 1529
11.28772 1529
11.31727 1529
11.35061 1529
11.38394 1529
11.41699 1529
11.44825 1529
11.48147 1529
11.51335 1529
11.54298 1529
11.5732 1529
11.60653 1529
11.63987 1529
11.67065 1529
11.70399 1529
11.73673 1529
11.77007 1529
11.8034 1529
11.83375 1529
11.86708 1529
11.8958 1529
11.92467 1529
11.95487 1529
11.98608 1529
12.01941 1529
12.04887 1529
12.07943 1529
12.10859 1529
12.13842 1529
12.16703 1529
12.19544 1529
12.22592 1529
12.25925 1529
12.29259 1529
12.32592 1529
12.35665 1529
12.38882 1529
12.42216 1529
12.45293 1529
12.48494 1529
12.51359 1529
12.54168 1529
12.57472 1529
12.60806 1529
12.63739 1529
12.66777 1529
12.7011 1529
12.73444 1529
12.76305 1529
12.79589 1529
12.82923 1529
12.86256 1529
12.89589 1529
12.92923 1529
12.96256 1529
12.99589 1529
13.02923 1529
13.06256 1529
13.09589 1529
13.12923 1529
13.16256 1529
13.19589 1529
13.22923 1529
13.26256 1529
13.29589 1529
13.32923 1529
13.36256 1529
13.39589 1529
13.42923 1529
13.45907 1529
13.48833 1529
13.51984 1529
13.55034 1529
13.5811 1529
13.61284 1529
13.64135 1529
13.67089 1529
13.69799 1529
13.72684 1529
13.76017 1529
13.79052 1529
13.82079 1529
13.85336 1529
13.88669 1524
13.91618 1511
13.94379 1511
13.97253 1494
14.00353 1494
14.03304 1467
14.06079 1467
14.09412 1428
14.12746 1380
14.15869 1319
14.19203 1319
14.22536 1266
14.2552 1170
14.28697 1170
14.3203 1100
14.35001 1000
14.38095 1000
14.41428 895
14.44652 786
14.47986 786
14.51198 699
14.54389 620
14.57329 620
14.60662 554
14.63996 467
14.67329 467
14.70638 388
14.73971 318
14.77304 318
14.8045 262
14.83784 235
14.87007 235
14.90205 200
14.93538 196
14.96871 196
15.00204 196
15.03538 196
15.06871 196
15.09771 196
15.12672 192
15.16006 170
15.19003 170
15.21899 144
15.25034 144
15.28368 96
15.31337 39
15.34473 39
15.378 -21
15.40681 -69
15.43399 -69
15.46291 -109
15.49225 -109
15.52348 -122
15.55681 -122
15.59015 -122
15.62053 -122
15.65386 -122
15.6872 -117
15.71635 -117
15.74636 -113
15.77969 -113
15.81303 -109
15.84636 -109
15.87969 -109
15.9115 -109
15.94483 -100
15.97816 -83
16.01148 -83
16.04244 -74
16.07151 -74
16.09967 -69
16.133 -69
16.16479 -69
16.19595 -69
16.2242 -69
16.25579 -69
16.28811 -69
16.31901 -69
16.34797 -69
16.3776 -69
16.40878 -69
16.43804 -69
16.46753 -69
16.49702 -69
16.52767 -69
16.55997 -69
16.59154 -69
16.6225 -69
16.65338 -69
16.68208 -69
16.70896 -69
16.73933 -69
16.76945 -69
16.79986 -69
16.83205 -69
16.86538 -69
16.89872 -69
16.93205 -69
16.96188 -69
16.99042 -69
17.02376 -69
17.05279 -69
17.08024 -69
17.11202 -69
17.14256 -69
17.17589 -69
17.2084 -69
17.23718 -69
17.26742 -69
17.29778 -69
17.33111 -69
17.36002 -69
17.39028 -69
17.42276 -69
17.45163 -69
17.48496 -69
17.51806 -69
17.54921 -69
17.58038 -69
17.61136 -69
17.6447 -69
17.67803 -69
17.7049 -69
17.73823 -69
17.76907 -69
17.8024 -69
17.83014 -69
17.86348 -69
17.89294 -69
17.92435 -69
17.95768 -69
17.98682 -69
18.01664 -69
18.04896 -69
18.07838 -69
18.11172 -69
18.14086 -69
18.17059 -69
18.20263 -69
18.23387 -69
18.2672 -69
18.29643 -69
18.32701 -69
18.35964 -69
18.39051 -69
18.42384 -69
18.45641 -74
18.48974 -78
18.519 -78
18.55017 -83
18.58351 -83
18.61316 -83
18.643 -83
18.67116 -83
18.70073 -83
18.73406 -83
18.76434 -83
18.79251 -83
18.81952 -83
18.84964 -87
18.88298 -100
18.91171 -100
18.94333 -109
18.97258 -117
19.0036 -117
19.03693 -122
19.06425 -126
19.0943 -126
19.12392 -126
19.15254 -126
19.18587 -126
19.21655 -126
19.24989 -126
19.27776 -126
19.30612 -126
19.33945 -126
19.37279 -126
19.40073 -126
19.43189 -126
19.46502 -126
19.49835 -126
19.53024 -126
19.55742 -126
19.58832 -126
19.61937 -126
19.6527 -126
19.67969 -126
19.71008 -126
19.74043 -126
19.7718 -126
19.80513 -126
19.83478 -126
19.86789 -126
19.90122 -126
19.93121 -126
19.96454 -126
19.99565 -126
20.02492 -126
20.05403 -126
20.08409 -126
20.11742 -126
20.14874 -126
20.18208 -131
20.21206 -131
20.2454 -135
20.27873 -135
20.30842 -135
20.33727 -135
20.36929 -135
20.40262 -135
20.43595 -135
20.46769 -135
20.49848 -135
20.52904 -135
20.5573 -135
20.59064 -135
20.61979 -135
20.64878 -135
20.67723 -135
20.70906 -135
20.74239 -135
20.77573 -135
20.80906 -135
20.84186 -135
20.87519 -135
20.90853 -135
20.93939 -135
20.96926 -135
21.00067 -135
21.03083 -135
21.06349 -135
21.09414 -135
21.1257 -135
21.15903 -135
21.19156 -135
21.22489 -135
21.25568 -135
21.28611 -135
21.31944 -135
21.35278 -135
21.38611 -135
21.41383 -135
21.44717 -135
21.47992 -135
21.51017 -135
21.54351 -135
21.57617 -135
21.60654 -135
21.6369 -135
21.67024 -135
21.70357 -135
21.73466 -135
21.7672 -135
21.7976 -135
21.82873 -135
21.86206 -135
21.89512 -135
21.92845 -135
21.95967 -135
21.99022 -135
22.02355 -135
22.05536 -135
22.08505 -135
22.11516 -135
22.14529 -135
22.17862 -135
22.2093 -135
22.24074 -135
22.27143 -135
22.30009 -135
22.33342 -135
22.36675 -135
22.39712 -135
22.43045 -135
22.45804 -135
22.49138 -135
22.52263 -135
22.55215 -135
22.5808 -135
22.61044 -135
22.64377 -135
22.67187 -135
22.7 -135
22.72947 -135
22.75883 -135
22.79217 -135
22.82082 -135
22.8526 -135
22.88509 -135
22.91796 -135
22.95129 -135
22.98373 -135
23.01423 -135
23.04654 -135
23.07919 -135
23.11252 -139
23.14531 -144
23.17766 -144
23.20512 -152
23.23471 -161
23.26804 -161
23.29718 -161
23.33052 -166
23.36385 -166
23.39718 -166
23.43052 -166
23.45801 -166
23.48817 -166
23.52115 -166
23.55448 -166
23.58782 -166
23.62115 -166
23.65204 -166
23.68537 -166
23.71485 -166
23.74818 -166
23.77882 -166
23.81215 -166
23.84549 -166
23.87882 -166
23.91216 -166
23.94549 -166
23.9777 -166
24.01104 -166
24.04305 -166
24.07639 -166
24.10579 -166
24.13663 -166
24.16997 -166
24.19888 -166
24.22787 -166
24.26069 -166
24.29274 -166
24.32607 -166
24.35855 -166
24.39188 -166
24.42521 -166
24.45855 -166
24.49073 -166
24.52407 -166
24.5574 -166
24.59073 -166
24.62407 -166
24.6574 -166
24.68864 -166
24.71913 -166
24.74751 -166
24.78085 -166
24.81418 -166
24.84344 -166
24.87345 -166
24.90678 -166
24.94012 -166
