時間[s] タイヤの舵角[deg]
0 0
0.02 26
0.05333333 78
0.08666666 78
0.12 78
0.1503033 78
0.1836366 78
0.2126911 78
0.2460245 78
0.2792793 78
0.3076512 78
0.3409845 78
0.3706203 78
0.4039536 78
0.4372869 78
0.46645 78
0.4969797 78
0.527054 78
0.5586246 78
0.5856705 78
0.6190038 78
0.6510325 78
0.679921 78
0.7132313 78
0.7437963 78
0.772271 78
0.8027724 78
0.8318203 78
0.8620727 78
0.8946514 78
0.9269254 78
0.9588257 78
0.9914925 78
1.022703 78
1.056036 78
1.085646 78
1.118531 78
1.146925 78
1.177987 78
1.206952 78
1.236539 78
1.266802 78
1.297508 78
1.326549 78
1.356121 78
1.389071 78
1.419543 78
1.450036 78
1.479237 78
1.509932 78
1.540202 78
1.568481 78
1.598072 78
1.631406 78
1.660352 78
1.693686 78
1.727019 78
1.75592 78
1.784935 78
1.818269 78
1.851432 78
1.883276 78
1.913817 78
1.942365 78
1.97426 78
2.00515 78
2.037843 78
2.070548 78
2.103784 78
2.133079 78
2.163213 78
2.192858 78
2.225806 78
2.258598 78
2.289032 78
2.317938 78
2.351271 78
2.384209 78
2.415305 78
2.448043 78
2.478204 78
2.509069 78
2.53931 78
2.572643 78
2.605892 78
2.634135 78
2.665681 78
2.695403 78
2.728415 78
2.760424 78
2.793757 78
2.821729 78
2.851526 78
2.880903 78
2.910166 78
2.938413 78
2.968693 78
2.998109 78
3.027696 78
3.058954 74
3.089492 74
3.118931 69
3.152264 65
3.185598 65
3.216507 56
3.245258 48
3.275082 48
3.305892 39
3.335563 39
3.365438 34
3.398312 34
3.427402 34
3.456852 34
3.485544 34
3.518083 34
3.549433 34
3.582766 34
3.614431 34
3.644527 34
3.674317 34
3.704989 34
3.734905 34
3.768057 34
3.797347 34
3.83068 34
3.861181 34
3.894515 34
3.923008 34
3.953713 34
3.982593 34
4.015926 34
4.04591 34
4.075981 34
4.104918 34
4.135548 34
4.168588 34
4.199231 34
4.232564 34
4.262236 34
4.292196 34
4.32553 34
4.354066 34
4.385635 34
4.414222 34
4.443689 34
4.472125 34
4.502165 34
4.530938 34
4.562292 34
4.592268 34
4.624131 34
4.653639 34
4.683578 34
4.716912 34
4.750246 34
4.778764 34
4.810216 34
4.84335 34
4.874253 34
4.903156 34
4.934475 34
4.965459 34
4.993772 34
5.021888 34
5.053505 34
5.083013 34
5.116346 34
5.145046 34
5.176181 34
5.206138 34
5.235672 34
5.268565 34
5.299758 34
5.330562 34
5.362423 34
5.39172 34
5.424493 34
5.452716 34
5.484888 34
5.513485 34
5.542635 34
5.573903 34
5.605043 34
5.635397 34
5.668731 34
5.699481 34
5.7288 34
5.759909 34
5.79169 34
5.821171 34
5.853072 34
5.883581 34
5.914526 34
5.943197 34
5.972911 34
6.00152 34
6.032851 34
6.066185 34
6.098984 34
6.128629 34
6.161962 34
6.192526 34
6.225859 34
6.254663 34
6.287625 34
6.319674 34
6.350265 34
6.381076 34
6.410898 34
6.442698 34
6.476031 34
6.509365 34
6.542414 34
6.571461 34
6.602071 34
6.631673 34
6.663162 34
6.694769 34
6.728102 34
6.759781 34
6.791111 34
6.820718 34
6.852012 34
6.881488 34
6.910403 34
6.943737 34
6.976113 34
7.005377 34
7.037621 34
7.065238 34
7.096573 34
7.127173 34
7.158185 34
7.189789 34
7.221465 34
7.250886 34
7.284219 34
7.317553 34
7.346926 34
7.377252 34
7.406713 34
7.435918 34
7.467153 34
7.500486 34
7.529494 34
7.558424 34
7.587969 34
7.62037 34
7.649991 34
7.677251 34
7.706959 34
7.735919 34
7.765646 34
7.795702 34
7.829036 34
7.860553 34
7.888768 34
7.917259 34
7.950322 34
7.983655 34
8.016989 34
8.045341 34
8.074424 34
8.107757 34
8.14109 34
8.174424 34
8.204197 34
8.23429 34
8.267624 34
8.296354 34
8.326179 34
8.359511 34
8.390145 34
8.42182 34
8.452454 34
8.484863 34
8.514894 34
8.546003 34
8.575473 34
