時間[s] タイヤの舵角[deg]
0 0
0.02 131
0.05333333 131
0.08666666 131
0.12 131
0.1502059 131
0.1835392 131
0.2168726 131
0.2450631 131
0.2733999 131
0.3040779 131
0.3338905 131
0.3660349 131
0.3955038 131
0.4267609 131
0.4583582 131
0.4882629 131
0.5196732 131
0.5517824 131
0.5851157 131
0.6135864 131
0.6416724 131
0.6750057 131
0.7070485 131
0.7364354 131
0.7657027 131
0.7974045 131
0.8245656 131
0.8528707 131
0.8792113 131
0.9125447 131
0.9406894 131
0.9739726 131
1.000502 131
1.029134 131
1.056205 131
1.083041 131
1.110431 131
1.142947 131
1.170412 131
1.199553 131
1.229522 131
1.257173 131
1.290506 131
1.321286 131
1.350806 131
1.38414 131
1.413243 131
1.446566 131
1.4799 131
1.511787 131
1.544762 131
1.578095 131
1.606619 131
1.635084 131
1.666518 131
1.695848 131
1.729181 131
1.762514 131
1.790839 131
1.823439 131
1.854439 131
1.881918 131
1.908556 131
1.937521 131
1.965169 131
1.996582 131
2.028947 131
2.059319 131
2.087406 131
2.115793 131
2.142878 131
2.172799 131
2.199639 131
2.227901 131
2.256461 131
2.284944 131
2.311993 131
2.344114 131
2.373437 131
2.405021 131
2.432009 131
2.463439 131
2.491338 131
2.52022 131
2.550388 131
2.581371 131
2.61039 131
2.641558 131
2.671251 131
2.703354 131
2.733248 131
2.763845 131
2.797179 131
2.830512 131
2.863845 131
2.897179 131
2.92563 131
2.958963 131
2.986313 131
3.014833 131
3.0462 131
3.074081 131
3.107414 131
3.138527 131
3.166571 131
3.199904 131
3.230535 131
3.263868 131
3.291205 131
3.320892 131
3.352358 131
3.381769 131
3.415103 131
3.44506 131
3.474558 131
3.50291 131
3.536244 131
3.569577 131
3.60291 131
3.63286 131
3.663505 131
3.69379 131
3.727123 131
3.755601 131
3.784164 131
3.814512 131
3.84768 131
3.881013 131
3.907643 131
3.93825 131
3.964192 131
3.99694 131
4.030273 131
4.057676 131
4.087062 131
4.116775 131
4.148096 131
4.181429 131
4.209871 131
4.237757 131
4.266321 131
4.299654 131
4.332987 131
4.360891 131
4.393783 131
4.423858 131
4.452125 131
4.485458 131
4.512205 131
4.539347 131
4.566936 131
4.597754 131
4.631088 131
4.661096 131
4.689466 131
4.719239 131
4.750699 131
4.784032 131
4.811157 131
4.839891 131
4.873225 131
4.903141 131
4.936474 131
4.965637 131
4.99298 131
5.022111 131
5.053401 131
5.086734 131
5.115232 131
5.148566 131
5.176329 131
5.209662 131
5.242996 131
5.271632 131
5.301404 131
5.33023 131
5.357509 131
5.390842 131
5.418464 131
5.449949 131
5.483283 131
5.512844 131
5.546177 131
5.579453 131
5.607124 131
5.63493 131
5.661778 131
5.695112 131
5.728342 131
5.758143 131
5.786602 131
5.816457 131
5.849791 131
5.879164 131
5.911598 131
5.94358 131
5.971966 131
6.0053 131
6.038633 131
6.068561 131
6.100204 131
6.128977 131
6.16231 131
6.191922 131
6.221541 131
6.253055 131
6.280283 131
6.313617 131
6.342806 131
6.376139 131
6.402947 131
6.431668 131
6.465001 131
6.49333 131
6.526106 131
6.55465 131
6.581447 131
6.61478 131
6.641297 131
6.674311 131
6.702929 131
6.734382 131
6.767715 131
6.798201 131
6.828965 131
6.857268 131
6.885344 131
6.918677 131
6.945081 131
6.977904 131
7.005005 131
7.031915 131
7.065248 131
7.092693 131
7.126026 131
7.155757 131
7.183074 131
7.216407 131
7.248049 131
7.276804 131
7.304736 131
7.338069 131
7.371403 131
7.402636 131
7.434489 131
7.463425 131
7.490739 131
7.524072 131
7.552187 131
7.581369 131
7.611524 131
7.644857 131
7.67819 131
7.709567 131
7.737073 131
7.766707 131
7.794762 131
7.828095 131
7.856883 131
7.886334 131
7.913266 131
7.945745 131
7.979078 131
8.012411 131
8.039831 131
8.072182 131
8.098927 131
8.132261 131
8.159783 131
8.190962 131
8.219919 131
8.252802 131
8.286136 131
8.315336 131
8.343101 131
8.371444 131
8.399274 131
8.432607 131
8.463891 131
8.493271 131
8.522946 131
8.552295 131
8.585628 131
8.613504 131
8.641862 131
8.669683 131
8.699822 131
8.733155 131
8.766489 131
8.794905 131
8.82401 131
8.853992 131
8.887324 131
8.91852 131
8.945685 131
8.974937 131
9.005237 131
9.03857 131
9.064921 131
9.092211 131
9.118538 131
9.149076 131
9.180178 131
9.213511 131
9.241375 131
9.270694 131
9.298875 131
9.327499 131
9.355876 131
9.38921 131
9.417273 131
9.446591 131
9.474031 131
9.507365 131
9.540698 131
9.572141 131
9.601933 131
9.630889 131
9.66333 131
9.696664 131
9.725253 131
9.758587 131
9.78795 131
9.818987 131
9.852321 131
9.880853 131
9.909923 131
9.938551 131
9.966737 131
10.00007 131
10.02913 131
10.05718 131
10.08484 131
10.11818 131
10.15151 131
10.18484 131
10.21105 131
10.23989 131
10.26748 131
10.30081 131
10.3288 131
10.35868 131
10.38499 131
10.41823 131
10.45157 131
10.4849 131
10.51823 131
10.54705 131
10.57484 131
10.60817 131
10.63681 131
10.66999 131
10.69814 131
10.72662 131
10.75995 131
10.78901 131
10.82234 131
10.85567 131
10.88213 131
10.91547 131
10.94213 131
10.97177 131
10.99827 131
11.02775 131
11.06108 131
11.0896 131
11.11759 131
11.1471 131
11.17535 131
11.2041 131
11.23743 131
11.26604 131
11.29424 131
11.3223 131
11.35168 131
11.38502 131
11.41117 131
11.43957 131
11.46619 131
11.49324 131
11.52639 131
11.55972 131
11.58815 131
11.61568 131
11.64901 131
11.67751 131
11.71084 131
11.74022 131
11.77356 131
11.80272 131
11.83457 131
11.8679 131
11.89585 131
11.92918 131
11.96085 131
11.98966 131
12.02299 131
12.05264 131
12.08027 131
12.1136 131
12.14117 131
12.1745 131
12.20677 131
12.2347 131
12.26126 131
12.29102 131
12.32435 131
12.35273 131
12.37871 131
12.40793 131
12.43994 131
12.47327 131
12.5027 131
12.53604 131
12.56648 131
12.59982 131
12.63315 131
12.66204 131
12.69372 131
12.72705 131
12.76039 131
12.79372 131
12.82209 131
12.85005 131
12.88097 131
12.91028 131
12.94361 131
12.97532 131
13.00186 131
13.03033 131
13.05984 131
13.09317 131
13.12369 131
13.15166 131
13.18228 131
13.21074 131
13.24407 131
13.27741 131
13.3062 131
13.33953 131
13.36978 131
13.40312 131
13.4328 131
13.46078 131
13.48905 131
13.52238 131
13.55571 131
13.58905 131
13.61799 131
13.65025 131
13.67884 131
13.71218 131
13.74156 131
13.76866 131
13.7963 131
13.82574 131
13.85908 131
13.88799 131
13.91968 131
13.95081 131
13.98106 131
14.01439 131
14.04086 131
14.0742 131
14.10288 131
14.13236 131
14.16569 131
14.19411 131
14.22744 131
14.26078 131
14.29133 131
14.32466 131
14.3549 131
14.38823 131
14.41642 131
14.44975 131
14.48308 131
14.5135 131
14.54633 131
14.57966 131
14.61299 131
14.64633 131
14.67966 131
14.71299 131
14.74021 131
14.76811 131
14.80144 131
14.82885 131
14.85506 131
14.88839 131
14.91754 131
14.95087 131
14.98101 131
15.01434 131
15.04336 131
15.07378 131
15.10711 131
15.13851 131
15.17184 131
15.20518 131
15.23851 131
15.27184 131
15.30518 131
15.33696 131
15.3703 131
15.39909 131
15.43242 131
15.46575 131
15.49909 131
15.52847 131
15.55915 131
15.59248 131
15.62401 131
15.65122 131
15.68181 131
15.71224 131
15.74557 131
15.77891 131
15.81224 131
15.84557 131
15.87891 131
15.90911 131
15.93923 131
15.96862 131
15.99811 131
16.03144 131
16.06478 131
16.09811 131
16.12962 131
16.16121 131
16.19455 131
16.22649 131
16.25982 131
16.29157 131
16.32089 131
16.35422 131
16.38544 131
16.41877 131
16.4521 131
16.48431 131
16.51764 131
16.54961 131
16.57786 131
16.60579 131
16.63789 131
16.67122 131
16.70005 131
16.73299 131
16.76008 131
16.79312 131
16.82645 131
16.85881 131
16.89215 131
16.92006 131
16.95106 131
16.98439 131
17.015 131
17.04428 131
17.07596 131
17.10661 131
17.13994 131
17.16909 131
17.20144 131
17.23062 131
17.25891 131
17.29224 131
17.32557 131
17.35632 131
