時間[s] タイヤの舵角[deg]
0 0
0.02 4
0.05333333 4
0.08666666 4
0.12 4
0.1528767 4
0.1850445 4
0.2183778 4
0.2502999 4
0.2814265 4
0.3104685 4
0.3395528 4
0.368732 4
0.4020654 4
0.4301867 4
0.4624206 4
0.4932417 4
0.5225199 4
0.553219 4
0.5847614 4
0.6145827 4
0.6459302 4
0.6785617 4
0.7079338 4
0.7412672 4
0.773012 4
0.8063453 4
0.8370675 4
0.8704008 4
0.9007198 4
0.9340532 4
0.9671926 4
1.000526 4
1.032364 4
1.064887 4
1.094894 4
1.127297 4
1.157428 4
1.189059 4
1.219089 4
1.252423 4
1.282438 4
1.311362 4
1.341894 4
1.371633 4
1.403618 4
1.4341 4
1.464166 4
1.4975 4
1.528162 4
1.560079 4
1.593413 4
1.626591 4
1.655331 4
1.687623 4
1.719879 4
1.753213 4
1.782429 4
1.815762 4
1.849096 4
1.882429 4
1.9125 4
1.945834 4
1.977811 4
2.011144 4
2.039303 4
2.072636 4
2.104502 4
2.134319 4
2.167652 4
2.200986 4
2.234319 4
2.266716 4
2.29925 4
2.330321 4
2.358791 4
2.390393 4
2.422362 4
2.455029 4
2.488028 4
2.519345 4
2.548572 4
2.579231 4
2.612564 4
2.642956 4
2.672145 4
2.705012 4
2.734309 4
2.766097 4
2.796506 4
2.829839 4
2.863173 4
2.896506 4
2.9255 4
2.958834 4
2.992167 4
3.025395 4
3.05668 4
3.089638 4
3.119682 4
3.150583 4
3.183474 4
3.214463 4
3.24634 4
3.279673 4
3.313007 4
3.344981 4
3.376068 4
3.408191 4
3.439728 4
3.473061 4
3.501669 4
3.531609 4
3.559342 4
3.589961 4
3.623294 4
3.654365 4
3.684482 4
3.716573 4
3.745442 4
3.776481 4
3.809815 4
3.838899 4
3.87195 4
3.903557 4
3.932424 4
3.965757 4
3.998454 4
4.029222 4
4.059564 4
4.091618 4
4.124951 4
4.158285 4
4.1884 4
4.218186 4
4.25152 4
4.284853 4
4.318186 4
4.34993 4
4.380403 4
4.413737 4
4.441751 4
4.470549 4
4.499848 4
4.530774 4
4.564107 4
4.594004 4
4.625885 4
4.657129 4
4.687538 4
4.720871 4
4.754205 4
4.787322 4
4.817769 4
4.851102 4
4.884435 4
4.915716 4
4.948895 4
4.982228 4
5.011897 4
5.04523 4
5.077085 4
5.109068 4
5.142401 4
5.174129 4
5.207463 4
5.237334 4
5.266178 4
5.299511 4
5.332049 4
5.365382 4
5.396642 4
5.429759 4
5.463092 4
5.494527 4
5.52786 4
5.557359 4
5.590693 4
5.624026 4
5.657359 4
5.690692 4
5.721527 4
5.75486 4
5.788194 4
5.817728 4
5.851061 4
5.88158 4
5.909838 4
5.943171 4
5.971876 4
6.005209 4
6.036367 4
6.066012 4
6.094043 4
6.127377 4
6.16071 4
6.191988 4
6.221197 4
6.25453 4
6.283207 4
6.31654 4
6.345596 4
6.375213 4
6.408205 4
6.438381 4
6.471714 4
6.505047 4
6.533895 4
6.565836 4
6.594429 4
6.627762 4
6.658543 4
6.687039 4
6.715432 4
6.745456 4
6.778789 4
6.809907 4
6.842358 4
6.874386 4
6.906115 4
6.939448 4
6.968586 4
6.999877 4
7.029792 4
7.062292 4
7.095625 4
7.126212 4
7.157485 4
7.187589 4
7.217143 4
7.250476 4
7.278887 4
7.312221 4
7.345554 4
7.376601 4
7.409935 4
7.443268 4
7.475526 4
7.505661 4
