時間[s] タイヤの舵角[deg]
0 0
0.02 -7.4
0.05333333 -7.4
0.08666666 -7.4
0.12 -7.4
0.1503248 -7.4
0.179641 -7.4
0.2129743 -7.4
0.2395359 -7.4
0.2728693 -7.4
0.3050548 -7.4
0.3310228 -7.4
0.3643561 -7.4
0.3976894 -7.4
0.4310228 -7.4
0.4589221 -7.4
0.4875573 -7.4
0.5183954 -7.4
0.5517287 -7.4
0.5819833 -7.4
0.6137969 -7.4
0.6414859 -7.4
0.6748192 -7.4
0.7023172 -7.4
0.7356505 -7.4
0.7631372 -7.4
0.7937942 -7.4
0.8213902 -7.4
0.8500453 -7.4
0.8794447 -7.4
0.909911 -7.4
0.9380233 -7.4
0.9699342 -7.4
1.00183 -7.4
1.030537 -7.4
1.059524 -7.4
1.092857 -7.4
1.121318 -7.4
1.150279 -7.4
1.178426 -7.4
1.208816 -7.4
1.23913 -7.4
1.269841 -7.4
1.298305 -7.4
1.328534 -7.4
1.355864 -7.4
1.384278 -7.4
1.411184 -7.4
1.444518 -7.4
1.471308 -7.4
1.504641 -7.4
1.535889 -7.4
1.569135 -7.4
1.602468 -7.4
1.630036 -7.4
1.657761 -7.4
1.690984 -7.4
1.724318 -7.4
1.75247 -7.4
1.777901 -7.4
1.809321 -7.4
1.842655 -7.4
1.875988 -7.4
1.902253 -7.4
1.931035 -7.4
1.964369 -7.4
1.995335 -7.4
2.026933 -7.4
2.060266 -7.4
2.0936 -7.4
2.12175 -7.4
2.149541 -7.4
2.18107 -7.4
2.208383 -7.4
2.236965 -7.4
2.270298 -7.4
2.298943 -7.4
2.332276 -7.4
2.36561 -7.4
2.398943 -7.4
2.432276 -7.4
2.461166 -7.4
2.4945 -7.4
2.524552 -7.4
2.553377 -7.4
2.585269 -7.4
2.614189 -7.4
2.6431 -7.4
2.674555 -7.4
2.705133 -7.4
2.736236 -7.4
2.769569 -7.4
2.797128 -7.4
2.828089 -7.4
2.859651 -7.4
2.889958 -7.4
2.923291 -7.4
2.956624 -7.4
2.989958 -7.4
3.01577 -7.4
3.043896 -7.4
3.077229 -7.4
3.106701 -7.4
3.135845 -7.4
3.167422 -7.4
3.196196 -7.4
3.229529 -7.4
3.257513 -7.4
3.286479 -7.4
3.317194 -7.4
3.347243 -7.4
3.37697 -7.4
3.409046 -7.4
3.437496 -7.4
3.4668 -7.4
3.494026 -7.4
3.527359 -7.4
3.556439 -7.4
3.589772 -7.4
3.616962 -7.4
3.646572 -7.4
3.673999 -7.4
3.704922 -7.4
3.734623 -7.4
3.766392 -7.4
3.798048 -7.4
3.826313 -7.4
3.856224 -7.4
3.885575 -7.4
3.914192 -7.4
3.943738 -7.4
3.974315 -7.4
4.007648 -7.4
4.037164 -7.4
4.067289 -7.4
4.095283 -7.4
4.124611 -7.4
4.153339 -7.4
4.182891 -7.4
4.211076 -7.4
4.239433 -7.4
4.266835 -7.4
4.297546 -7.4
4.326957 -7.4
4.360291 -7.4
4.387392 -7.4
4.418869 -7.4
4.447537 -7.4
4.479486 -7.4
4.508558 -7.4
4.538541 -7.4
4.565918 -7.4
4.593616 -7.4
4.6209 -7.4
4.654233 -7.4
4.681576 -7.4
4.710307 -7.4
4.738955 -7.4
4.767526 -7.4
4.795293 -7.4
4.828627 -7.4
4.857809 -7.4
4.889883 -7.4
4.91645 -7.4
4.946447 -7.4
4.976636 -7.4
5.006462 -7.4
5.038027 -7.4
5.068737 -7.4
5.100426 -7.4
5.13299 -7.4
5.162242 -7.4
5.192854 -7.4
5.2214 -7.4
5.252814 -7.4
5.286148 -7.4
5.315667 -7.4
5.347519 -7.4
5.380852 -7.4
5.409841 -7.4
5.439172 -7.4
5.469141 -7.4
5.501924 -7.4
5.529325 -7.4
5.56064 -7.4
5.59202 -7.4
5.622365 -7.4
5.655421 -7.4
5.682979 -7.4
5.709601 -7.4
5.73984 -7.4
5.769341 -7.4
5.798855 -7.4
5.827785 -7.4
5.856161 -7.4
5.889356 -7.4
5.920139 -7.4
5.95114 -7.4
5.978492 -7.4
6.007214 -7.4
6.038776 -7.4
6.072109 -7.4
6.105443 -7.4
6.138258 -7.4
6.166767 -7.4
6.195364 -7.4
6.227387 -7.4
6.256246 -7.4
6.286952 -7.4
6.313896 -7.4
6.343388 -7.4
6.371525 -7.4
6.403272 -7.4
6.430887 -7.4
6.461342 -7.4
6.489366 -7.4
6.522699 -7.4
6.55047 -7.4
6.580447 -7.4
6.611499 -7.4
6.640087 -7.4
6.67342 -7.4
6.706753 -7.4
6.73565 -7.4
6.765084 -7.4
6.793042 -7.4
6.823021 -7.4
6.850941 -7.4
6.884274 -7.4
6.912255 -7.4
6.943948 -7.4
6.97195 -7.4
7.00284 -7.4
7.032129 -7.4
7.062654 -7.4
7.095987 -7.4
7.126254 -7.4
7.157429 -7.4
7.190762 -7.4
7.224095 -7.4
7.254361 -7.4
7.282348 -7.4
7.312436 -7.4
7.343317 -7.4
7.37665 -7.4
7.407992 -7.4
7.437994 -7.4
7.465549 -7.4
7.493448 -7.4
7.522124 -7.4
7.555458 -7.4
7.582644 -7.4
7.615977 -7.4
7.645443 -7.4
7.677323 -7.4
7.707636 -7.4
7.740167 -7.4
7.767616 -7.4
7.797291 -7.4
7.825032 -7.4
7.852994 -7.4
7.885553 -7.4
7.918886 -7.4
7.947797 -7.4
7.976287 -7.4
8.006067 -7.4
8.035411 -7.4
8.068492 -7.4
8.097467 -7.4
8.127124 -7.4
8.157183 -7.4
8.18842 -7.4
8.220987 -7.4
8.247798 -7.4
8.280203 -7.4
8.311015 -7.4
8.340824 -7.4
8.368789 -7.4
8.399743 -7.4
8.428895 -7.4
8.45768 -7.4
8.487467 -7.4
8.517715 -7.4
8.544621 -7.4
8.577954 -7.4
8.604819 -7.4
8.637739 -7.4
8.668481 -7.4
8.697479 -7.4
8.730812 -7.4
8.759646 -7.4
8.787698 -7.4
8.821032 -7.4
8.850598 -7.4
8.880788 -7.4
8.911257 -7.4
8.943189 -7.4
8.97325 -7.4
9.002688 -7.4
9.036022 -7.4
9.065631 -7.4
9.094439 -7.4
9.123672 -7.4
9.155343 -7.4
9.187161 -7.4
9.213996 -7.4
9.242348 -7.4
9.270406 -7.4
9.303739 -7.4
9.333125 -7.4
9.361329 -7.4
9.390996 -7.4
9.418696 -7.4
9.44639 -7.4
9.4785 -7.4
9.506336 -7.4
9.535071 -7.4
9.562751 -7.4
9.596084 -7.4
9.624027 -7.4
9.655486 -7.4
9.684942 -7.4
9.715939 -7.4
9.745546 -7.4
9.773586 -7.4
9.801247 -7.4
9.831777 -7.4
9.8597 -7.4
9.892052 -7.4
9.920432 -7.4
9.950643 -7.4
9.982395 -7.4
10.01193 -7.4
10.04123 -7.4
10.07456 -7.4
10.10765 -7.4
10.13688 -7.4
10.16847 -7.4
10.20031 -7.4
10.22717 -7.4
10.25944 -7.4
10.28842 -7.4
10.32169 -7.4
10.3536 -7.4
10.38694 -7.4
10.4177 -7.4
10.45103 -7.4
10.48437 -7.4
10.5177 -7.4
10.54954 -7.4
10.58004 -7.4
10.60656 -7.4
10.63989 -7.4
10.66804 -7.4
10.6962 -7.4
10.72953 -7.4
10.76286 -7.4
10.79613 -7.4
10.82349 -7.4
10.85014 -7.4
10.87742 -7.4
10.90975 -7.4
10.94048 -7.4
10.97368 -7.4
11.00197 -7.4
11.0333 -7.4
11.06051 -7.4
11.08675 -7.4
11.11716 -7.4
11.15049 -7.4
11.1798 -7.4
11.21105 -7.4
11.24059 -7.4
11.27043 -7.4
11.30376 -7.4
11.33222 -7.4
11.36216 -7.4
11.3892 -7.4
11.42253 -7.4
11.45586 -7.4
11.4892 -7.4
11.51986 -7.4
11.55076 -7.4
11.57902 -7.4
11.61235 -7.4
