時間[s] タイヤの舵角[deg]
0 0
0.02 -10.25
0.05333333 -10.25
0.08666666 -10.25
0.12 -10.25
0.149236 -10.25
0.1825693 -10.25
0.2109821 -10.25
0.242292 -10.25
0.273892 -10.25
0.3052909 -10.25
0.3327482 -10.25
0.3657611 -10.25
0.3943936 -10.25
0.4221252 -10.25
0.4522135 -10.25
0.4816487 -10.25
0.5113779 -10.25
0.5447112 -10.25
0.5750238 -10.25
0.6024861 -10.25
0.632674 -10.25
0.6660074 -10.25
0.6963842 -10.25
0.7283895 -10.25
0.7568493 -10.25
0.7871996 -10.25
0.8169003 -10.25
0.8474881 -10.25
0.8808214 -10.25
0.9100954 -10.25
0.9434288 -10.25
0.9767621 -10.25
1.005866 -10.25
1.034388 -10.25
1.06351 -10.25
1.096843 -10.25
1.127188 -10.25
1.159062 -10.25
1.188237 -10.25
1.21936 -10.25
1.252694 -10.25
1.284962 -10.25
1.318295 -10.25
1.349453 -10.25
1.381181 -10.25
1.412188 -10.25
1.443269 -10.25
1.476296 -10.25
1.504598 -10.25
1.535859 -10.25
1.567803 -10.25
1.59799 -10.25
1.631323 -10.25
1.66453 -10.25
1.693772 -10.25
1.723038 -10.25
1.754603 -10.25
1.784844 -10.25
1.814729 -10.25
1.845047 -10.25
1.873893 -10.25
1.907226 -10.25
1.939833 -10.25
1.969437 -10.25
1.997688 -10.25
2.027041 -10.25
2.060374 -10.25
2.092819 -10.25
2.122459 -10.25
2.153224 -10.25
2.184286 -10.25
2.215659 -10.25
2.248993 -10.25
2.278422 -10.25
2.307911 -10.25
2.340996 -10.25
2.373981 -10.25
2.40249 -10.25
2.433732 -10.25
2.466007 -10.25
2.495534 -10.25
2.528867 -10.25
2.560091 -10.25
2.593425 -10.25
2.626067 -10.25
2.656964 -10.25
2.689637 -10.25
2.720129 -10.25
2.748784 -10.25
2.781929 -10.25
2.811028 -10.25
2.844361 -10.25
2.873415 -10.25
2.903997 -10.25
2.935582 -10.25
2.968916 -10.25
2.999859 -10.25
3.030706 -10.25
3.06345 -10.25
3.093593 -10.25
3.12218 -10.25
3.152881 -10.25
3.181181 -10.25
3.214514 -10.25
3.243732 -10.25
3.273611 -10.25
3.303625 -10.25
3.334481 -10.25
3.363887 -10.25
3.39602 -10.25
3.426104 -10.25
3.459043 -10.25
3.489358 -10.25
3.522312 -10.25
3.549637 -10.25
3.578363 -10.25
3.607488 -10.25
3.637249 -10.25
3.66667 -10.25
3.699108 -10.25
3.728337 -10.25
3.761473 -10.25
3.791623 -10.25
3.824956 -10.25
3.857972 -10.25
3.890337 -10.25
3.92367 -10.25
3.95413 -10.25
3.984535 -10.25
4.016129 -10.25
4.045834 -10.25
4.079167 -10.25
4.108986 -10.25
4.138165 -10.25
4.169095 -10.25
4.198451 -10.25
4.228274 -10.25
4.25982 -10.25
4.293153 -10.25
4.322856 -10.25
4.351444 -10.25
4.382903 -10.25
4.415135 -10.25
4.448468 -10.25
4.481802 -10.25
4.514988 -10.25
4.548321 -10.25
4.578752 -10.25
4.606649 -10.25
4.637647 -10.25
4.66608 -10.25
4.699413 -10.25
4.727937 -10.25
4.761271 -10.25
4.791604 -10.25
4.823511 -10.25
4.856363 -10.25
4.889308 -10.25
4.918336 -10.25
4.950897 -10.25
4.982953 -10.25
5.014477 -10.25
5.04781 -10.25
5.081143 -10.25
5.114477 -10.25
5.144942 -10.25
5.174077 -10.25
5.20741 -10.25
5.236178 -10.25
5.265671 -10.25
5.299005 -10.25
5.329801 -10.25
5.361831 -10.25
5.395164 -10.25
5.426952 -10.25
5.460286 -10.25
5.491182 -10.25
5.521792 -10.25
5.555125 -10.25
5.584584 -10.25
5.613499 -10.25
5.646832 -10.25
5.67549 -10.25
5.705135 -10.25
5.738468 -10.25
5.769229 -10.25
5.802563 -10.25
5.834393 -10.25
5.86358 -10.25
5.894802 -10.25
5.928135 -10.25
5.959195 -10.25
5.98742 -10.25
6.017623 -10.25
6.049329 -10.25
6.078228 -10.25
6.111561 -10.25
6.144059 -10.25
6.177392 -10.25
6.20749 -10.25
6.238849 -10.25
6.272182 -10.25
6.303023 -10.25
6.334055 -10.25
6.367389 -10.25
6.395983 -10.25
6.424963 -10.25
6.458297 -10.25
6.488922 -10.25
6.519159 -10.25
6.547451 -10.25
6.580784 -10.25
6.610475 -10.25
6.643808 -10.25
6.673347 -10.25
6.703509 -10.25
6.732765 -10.25
6.766098 -10.25
6.793607 -10.25
6.825032 -10.25
6.854478 -10.25
6.887811 -10.25
6.919188 -10.25
6.948339 -10.25
6.979345 -10.25
7.012033 -10.25
7.043554 -10.25
7.073925 -10.25
7.102488 -10.25
7.135821 -10.25
7.169155 -10.25
7.202488 -10.25
7.231187 -10.25
7.260145 -10.25
7.289005 -10.25
7.322338 -10.25
7.351921 -10.25
7.385254 -10.25
7.416924 -10.25
7.448063 -10.25
7.47717 -10.25
7.507561 -10.25
7.53972 -10.25
7.570965 -10.25
7.600064 -10.25
7.633398 -10.25
7.665605 -10.25
7.694799 -10.25
7.727918 -10.25
7.758683 -10.25
7.788101 -10.25
7.819683 -10.25
7.848424 -10.25
7.881044 -10.25
7.908816 -10.25
7.939557 -10.25
7.969337 -10.25
8.000864 -10.25
8.033357 -10.25
8.065574 -10.25
8.098907 -10.25
8.13224 -10.25
8.163157 -10.25
8.196489 -10.25
8.224949 -10.25
8.254355 -10.25
8.283419 -10.25
8.313593 -10.25
8.342593 -10.25
8.375648 -10.25
8.405867 -10.25
8.436755 -10.25
8.467611 -10.25
8.500944 -10.25
8.529569 -10.25
8.561357 -10.25
8.591237 -10.25
8.62457 -10.25
8.652862 -10.25
8.683598 -10.25
8.715697 -10.25
8.746479 -10.25
8.774988 -10.25
8.808322 -10.25
8.83625 -10.25
8.869032 -10.25
8.897847 -10.25
8.92876 -10.25
8.957452 -10.25
8.990473 -10.25
9.020288 -10.25
9.053082 -10.25
9.084098 -10.25
9.115227 -10.25
9.147894 -10.25
9.177284 -10.25
9.206554 -10.25
9.239828 -10.25
9.267422 -10.25
9.29816 -10.25
9.327928 -10.25
9.360858 -10.25
9.390606 -10.25
9.422935 -10.25
9.451504 -10.25
9.480274 -10.25
9.509181 -10.25
9.53846 -10.25
9.56584 -10.25
9.596908 -10.25
9.62815 -10.25
9.657346 -10.25
9.689263 -10.25
9.72051 -10.25
9.748644 -10.25
9.777707 -10.25
9.80753 -10.25
9.840864 -10.25
9.87325 -10.25
9.90259 -10.25
9.935192 -10.25
9.965087 -10.25
9.992638 -10.25
10.02597 -10.25
10.05777 -10.25
10.08609 -10.25
10.11521 -10.25
10.14854 -10.25
10.18053 -10.25
10.21311 -10.25
10.24615 -10.25
10.27394 -10.25
10.30149 -10.25
10.33331 -10.25
10.36463 -10.25
10.39334 -10.25
10.42304 -10.25
10.45638 -10.25
10.48511 -10.25
10.5142 -10.25
10.54338 -10.25
10.57314 -10.25
10.60647 -10.25
10.639 -10.25
10.66653 -10.25
10.69554 -10.25
10.72384 -10.25
10.75718 -10.25
10.78706 -10.25
10.81721 -10.25
10.85054 -10.25
10.88204 -10.25
10.91006 -10.25
10.94077 -10.25
10.97014 -10.25
11.00117 -10.25
11.02904 -10.25
11.05764 -10.25
11.08964 -10.25
11.12064 -10.25
11.14945 -10.25
11.18018 -10.25
11.20861 -10.25
11.23926 -10.25
11.27206 -10.25
11.30245 -10.25
11.334 -10.25
11.36391 -10.25
11.39424 -10.25
11.42757 -10.25
11.45797 -10.25
11.48871 -10.25
11.52205 -10.25
11.5522 -10.25
11.58554 -10.25
11.61887 -10.25
11.64955 -10.25
11.68011 -10.25
11.71057 -10.25
11.74116 -10.25
11.7718 -10.25
11.80179 -10.25
11.83494 -10.25
11.86827 -10.25
11.89681 -10.25
11.93015 -10.25
11.96183 -10.25
11.9921 -10.25
12.02316 -10.25
12.05408 -10.25
12.08236 -10.25
12.1157 -10.25
12.14498 -10.25
12.17543 -10.25
12.20424 -10.25
12.2352 -10.25
12.26332 -10.25
12.29665 -10.25
12.32422 -10.25
12.35755 -10.25
12.39085 -10.25
12.42214 -10.25
12.45478 -10.25
12.48739 -10.25
12.51771 -10.25
12.55006 -10.25
12.5784 -10.25
12.61032 -10.25
12.63942 -10.25
12.67275 -10.25
12.70208 -10.25
12.73272 -10.25
12.76264 -10.25
12.79272 -10.25
12.82422 -10.25
12.85756 -10.25
12.88645 -10.25
12.91978 -10.25
12.94969 -10.25
12.97916 -10.25
13.0086 -10.25
13.03897 -10.25
13.07018 -10.25
13.10001 -10.25
13.1294 -10.25
13.16252 -10.25
13.19367 -10.25
13.227 -10.25
13.25667 -10.25
13.28795 -10.25
13.31907 -10.25
13.34913 -10.25
13.378 -10.25
13.41134 -10.25
13.44467 -10.25
13.4763 -10.25
13.50737 -10.25
13.53511 -10.25
13.56832 -10.25
13.59809 -10.25
13.62967 -10.25
13.65864 -10.25
13.69197 -10.25
13.72531 -10.25
13.75495 -10.25
13.78482 -10.25
13.81589 -10.25
13.84923 -10.25
13.88099 -10.25
13.91148 -10.25
13.94055 -10.25
13.96884 -10.25
13.99675 -10.25
14.03008 -10.25
14.06034 -10.25
14.09079 -10.25
14.12412 -10.25
14.15574 -10.25
14.18618 -10.25
14.21701 -10.25
14.24637 -10.25
14.2761 -10.25
14.30633 -10.25
14.33638 -10.25
14.36422 -10.25
14.39355 -10.25
14.42374 -10.25
14.4553 -10.25
14.48555 -10.25
14.51435 -10.25
14.54768 -10.25
14.57851 -10.25
14.61184 -10.25
14.64024 -10.25
14.66814 -10.25
14.6992 -10.25
14.73101 -10.25
14.76013 -10.25
14.79003 -10.25
14.82336 -10.25
14.85382 -10.25
14.88521 -10.25
14.91317 -10.25
14.94191 -10.25
14.97525 -10.25
15.00618 -10.25
15.03759 -10.25
15.07092 -10.25
15.10426 -10.25
15.13396 -10.25
15.16685 -10.25
15.20018 -10.25
15.23329 -10.25
15.26212 -10.25
15.29139 -10.25
15.32472 -10.25
15.35384 -10.25
15.3871 -10.25
15.42037 -10.25
15.45371 -10.25
15.48704 -10.25
15.51851 -10.25
15.54737 -10.25
15.57855 -10.25
15.60816 -10.25
15.64033 -10.25
15.669 -10.25
15.7016 -10.25
15.73051 -10.25
15.76208 -10.25
15.79274 -10.25
15.82607 -10.25
15.85415 -10.25
15.88409 -10.25
15.91595 -10.25
15.9452 -10.25
15.97393 -10.25
16.00544 -10.25
16.03877 -10.25
16.06956 -10.25
16.10034 -10.25
16.12991 -10.25
16.15982 -10.25
16.19315 -10.25
16.22123 -10.25
16.25156 -10.25
16.28209 -10.25
16.31225 -10.25
16.34331 -10.25
16.37664 -10.25
16.40623 -10.25
16.43622 -10.25
16.46484 -10.25
16.49818 -10.25
16.53151 -10.25
16.56322 -10.25
16.59302 -10.25
16.62409 -10.25
16.65476 -10.25
16.68473 -10.25
16.71639 -10.25
16.74641 -10.25
16.7748 -10.25
16.80787 -10.25
16.83621 -10.25
16.86665 -10.25
16.89998 -10.25
16.93022 -10.25
16.96356 -10.25
16.99599 -10.25
17.02697 -10.25
17.05649 -10.25
17.08555 -10.25
17.11559 -10.25
17.14787 -10.25
17.17786 -10.25
17.20535 -10.25
17.23561 -10.25
17.26532 -10.25
17.29664 -10.25
17.32512 -10.25
17.35483 -10.25
17.38577 -10.25
17.41506 -10.25
17.44349 -10.25
17.47483 -10.25
17.50583 -10.25
17.53777 -10.25
17.56583 -10.25
17.59561 -10.25
17.62357 -10.25
17.65368 -10.25
