時間[s] タイヤの舵角[deg]
0 0
0.02 -6.95
0.05333333 -6.95
0.08666666 -6.95
0.12 -6.95
0.1512008 -6.95
0.1833222 -6.95
0.2166555 -6.95
0.2441588 -6.95
0.2729307 -6.95
0.3051079 -6.95
0.3342223 -6.95
0.3632067 -6.95
0.3949971 -6.95
0.425134 -6.95
0.4543716 -6.95
0.487705 -6.95
0.5164707 -6.95
0.5459763 -6.95
0.5768183 -6.95
0.6101517 -6.95
0.643485 -6.95
0.6747389 -6.95
0.7063546 -6.95
0.7360255 -6.95
0.768167 -6.95
0.7977752 -6.95
0.8271462 -6.95
0.8557961 -6.95
0.8847839 -6.95
0.9147404 -6.95
0.9480737 -6.95
0.9794315 -6.95
1.009798 -6.95
1.040191 -6.95
1.071028 -6.95
1.104362 -6.95
1.136722 -6.95
1.167584 -6.95
1.198425 -6.95
1.229653 -6.95
1.262986 -6.95
1.292329 -6.95
1.323546 -6.95
1.355783 -6.95
1.389117 -6.95
1.420627 -6.95
1.45396 -6.95
1.485406 -6.95
1.514803 -6.95
1.543673 -6.95
1.575413 -6.95
1.602283 -6.95
1.635015 -6.95
1.668348 -6.95
1.701681 -6.95
1.731877 -6.95
1.765048 -6.95
1.796919 -6.95
1.827372 -6.95
1.856465 -6.95
1.886799 -6.95
1.915817 -6.95
1.949151 -6.95
1.97626 -6.95
2.007358 -6.95
2.039285 -6.95
2.071068 -6.95
2.104401 -6.95
2.136131 -6.95
2.165152 -6.95
2.193805 -6.95
2.223388 -6.95
2.255888 -6.95
2.288629 -6.95
2.318249 -6.95
2.345738 -6.95
2.376757 -6.95
2.406377 -6.95
2.436958 -6.95
2.470291 -6.95
2.500907 -6.95
2.532176 -6.95
2.559547 -6.95
2.589292 -6.95
2.622625 -6.95
2.65461 -6.95
2.687015 -6.95
2.720348 -6.95
2.753682 -6.95
2.787015 -6.95
2.820349 -6.95
2.851554 -6.95
2.884888 -6.95
2.918221 -6.95
2.951554 -6.95
2.983393 -6.95
3.016637 -6.95
3.049275 -6.95
3.081023 -6.95
3.108387 -6.95
3.139438 -6.95
3.168601 -6.95
3.198385 -6.95
3.228066 -6.95
3.258104 -6.95
3.291437 -6.95
3.322022 -6.95
3.353714 -6.95
3.383848 -6.95
3.414017 -6.95
3.446974 -6.95
3.473728 -6.95
3.502655 -6.95
3.532529 -6.95
3.565862 -6.95
3.595106 -6.95
3.62844 -6.95
3.658072 -6.95
3.691405 -6.95
3.72209 -6.95
3.752553 -6.95
3.785886 -6.95
3.817455 -6.95
3.846493 -6.95
3.875847 -6.95
3.90555 -6.95
3.93661 -6.95
3.966357 -6.95
3.998479 -6.95
4.028223 -6.95
4.057384 -6.95
4.087852 -6.95
4.118417 -6.95
4.148727 -6.95
4.178873 -6.95
4.211895 -6.95
4.242339 -6.95
4.274084 -6.95
4.303134 -6.95
4.332357 -6.95
4.364775 -6.95
4.398108 -6.95
4.431442 -6.95
4.462601 -6.95
4.493889 -6.95
4.527223 -6.95
4.55928 -6.95
4.588191 -6.95
4.618831 -6.95
4.649938 -6.95
4.681685 -6.95
4.714602 -6.95
4.7471 -6.95
4.780433 -6.95
4.81192 -6.95
4.838525 -6.95
4.870919 -6.95
4.902451 -6.95
4.933209 -6.95
4.961332 -6.95
4.993812 -6.95
5.027102 -6.95
5.056454 -6.95
5.085518 -6.95
5.118851 -6.95
5.152184 -6.95
5.185518 -6.95
5.214962 -6.95
5.245766 -6.95
5.279099 -6.95
5.312433 -6.95
5.344519 -6.95
5.374106 -6.95
5.404761 -6.95
5.43681 -6.95
5.464925 -6.95
5.495744 -6.95
5.526933 -6.95
5.558115 -6.95
5.58918 -6.95
5.620475 -6.95
5.653669 -6.95
5.683688 -6.95
5.71404 -6.95
5.744464 -6.95
5.775234 -6.95
5.808567 -6.95
5.838802 -6.95
5.869256 -6.95
5.902589 -6.95
5.933965 -6.95
5.960771 -6.95
5.991386 -6.95
6.02472 -6.95
6.053466 -6.95
6.084825 -6.95
6.118158 -6.95
6.147574 -6.95
6.176353 -6.95
6.206541 -6.95
6.236279 -6.95
6.268702 -6.95
6.302035 -6.95
6.333583 -6.95
6.366916 -6.95
6.400249 -6.95
6.429619 -6.95
6.458251 -6.95
6.48917 -6.95
6.521886 -6.95
6.55522 -6.95
6.584137 -6.95
6.615074 -6.95
6.646223 -6.95
6.676064 -6.95
6.707038 -6.95
6.738659 -6.95
6.768709 -6.95
6.802042 -6.95
6.831532 -6.95
6.861659 -6.95
6.894992 -6.95
6.925969 -6.95
6.954344 -6.95
6.987678 -6.95
7.017581 -6.95
7.050914 -6.95
7.07919 -6.95
7.112051 -6.95
7.145138 -6.95
7.175361 -6.95
7.206938 -6.95
7.237352 -6.95
7.267295 -6.95
7.297447 -6.95
7.33078 -6.95
7.361257 -6.95
7.392519 -6.95
7.421725 -6.95
7.450225 -6.95
7.483559 -6.95
7.515689 -6.95
