時間[s] タイヤの舵角[deg]
0 0
0.02 -2.15
0.05333333 -2.15
0.08666666 -2.15
0.12 -2.15
0.1533333 -2.15
0.1866667 -2.15
0.2164696 -2.15
0.2498029 -2.15
0.2831362 -2.15
0.3164696 -2.15
0.3467056 -2.15
0.380039 -2.15
0.4133723 -2.15
0.4414355 -2.15
0.469768 -2.15
0.4997992 -2.15
0.5288397 -2.15
0.5615637 -2.15
0.594897 -2.15
0.6235148 -2.15
0.6555513 -2.15
0.686752 -2.15
0.7158794 -2.15
0.7468457 -2.15
0.7751523 -2.15
0.8036116 -2.15
0.836945 -2.15
0.8663545 -2.15
0.8958367 -2.15
0.9287113 -2.15
0.9579404 -2.15
0.9896161 -2.15
1.022949 -2.15
1.054841 -2.15
1.087466 -2.15
1.118636 -2.15
1.149437 -2.15
1.180584 -2.15
1.210697 -2.15
1.242154 -2.15
1.270295 -2.15
1.303628 -2.15
1.335669 -2.15
1.364447 -2.15
1.39778 -2.15
1.431114 -2.15
1.463996 -2.15
1.493625 -2.15
1.52267 -2.15
1.553661 -2.15
1.586232 -2.15
1.61749 -2.15
1.647506 -2.15
1.680839 -2.15
1.712083 -2.15
1.744105 -2.15
1.773156 -2.15
1.804533 -2.15
1.837113 -2.15
1.870447 -2.15
1.901145 -2.15
1.931414 -2.15
1.960812 -2.15
1.991008 -2.15
2.022223 -2.15
2.053205 -2.15
2.082661 -2.15
2.115994 -2.15
2.147822 -2.15
2.179976 -2.15
2.211077 -2.15
2.24184 -2.15
2.273048 -2.15
2.306381 -2.15
2.334962 -2.15
2.365269 -2.15
2.397543 -2.15
2.429442 -2.15
2.458741 -2.15
2.490151 -2.15
2.523484 -2.15
2.552323 -2.15
2.585548 -2.15
2.618881 -2.15
2.647658 -2.15
2.679001 -2.15
2.711165 -2.15
2.744498 -2.15
2.773346 -2.15
2.802486 -2.15
2.832152 -2.15
2.862799 -2.15
2.896112 -2.15
2.927384 -2.15
2.955958 -2.15
2.989291 -2.15
3.018591 -2.15
3.049317 -2.15
3.079079 -2.15
3.110226 -2.15
3.143559 -2.15
3.174588 -2.15
3.203444 -2.15
3.233403 -2.15
3.262812 -2.15
3.292325 -2.15
3.321992 -2.15
3.355325 -2.15
3.383117 -2.15
3.41645 -2.15
3.444725 -2.15
3.478058 -2.15
3.510779 -2.15
3.540439 -2.15
3.573772 -2.15
3.605211 -2.15
3.638545 -2.15
3.668443 -2.15
3.701774 -2.15
3.734114 -2.15
3.767447 -2.15
3.798923 -2.15
3.832257 -2.15
3.864146 -2.15
3.893854 -2.15
3.922232 -2.15
3.955565 -2.15
3.987598 -2.15
4.020931 -2.15
4.054265 -2.15
4.087598 -2.15
4.120931 -2.15
4.154056 -2.15
4.184344 -2.15
4.215693 -2.15
4.244884 -2.15
4.278218 -2.15
4.307877 -2.15
4.34121 -2.15
4.374544 -2.15
4.404789 -2.15
4.435503 -2.15
4.466146 -2.15
4.49948 -2.15
4.52837 -2.15
4.561703 -2.15
4.592542 -2.15
4.625875 -2.15
4.657155 -2.15
4.690043 -2.15
4.72144 -2.15
4.75435 -2.15
4.787683 -2.15
4.821017 -2.15
4.85435 -2.15
4.887683 -2.15
4.918884 -2.15
4.952217 -1.95
4.981216 -1.7
5.011935 -1.7
5.041818 -1.3
5.072992 -1.3
5.105223 -1.05
5.138557 -0.65
5.165599 -0.65
5.194451 -0.2
5.224309 -0.2
5.255324 0
5.284534 0.2
5.317867 0.2
5.350708 0.4
5.380003 0.4
5.410157 0.4
5.440503 0.4
5.472875 0.4
5.506148 0.4
5.536405 0.4
5.569738 0.4
5.598132 0.4
5.62821 0.4
5.661234 0.4
5.694567 0.4
5.727516 0.4
5.760849 0.4
5.794182 0.4
5.82701 0.4
5.856853 0.4
5.887898 0.4
5.917384 0.4
5.947697 0.4
5.977442 0.4
6.010776 0.4
6.041243 0.4
6.074071 0.4
6.103773 0.4
6.137106 0.4
6.16736 0.4
6.200694 0.4
6.234027 0.4
6.264195 0.4
6.297369 0.4
6.330007 0.4
6.359006 0.4
6.38813 0.4
6.421463 0.4
6.454797 0.4
6.486845 0.4
6.518902 0.4
6.549899 0.4
6.583232 0.4
6.615037 0.4
6.64837 0.4
6.678495 0.4
6.708854 0.4
6.741945 0.4
6.774479 0.4
6.805644 0.4
6.838977 0.4
6.869705 0.4
6.902206 0.4
6.932065 0.4
6.962259 0.4
6.993403 0.4
7.025938 0.4
7.055352 0.4
7.088685 0.4
7.121132 0.4
7.150887 0.4
7.182422 0.4
7.214123 0.4
7.242151 0.4
7.275485 0.4
7.308818 0.4
7.33831 0.4
7.368515 0.4
7.401849 0.4
