時間[s] タイヤの舵角[deg]
0 0
0.02 -3.25
0.05333333 -3.25
0.08332333 -3.25
0.1022603 -3.25
0.1088774 -3.25
0.1175528 -3.25
0.1288973 -3.25
0.1405628 -3.25
0.1521701 -3.25
0.1625385 -3.25
0.1734529 -3.25
0.2067863 -3.25
0.2401196 -3.25
0.2704395 -3.25
0.2996552 -3.25
0.3303026 -3.25
0.3569257 -3.25
0.3874352 -3.25
0.4156772 -3.25
0.4431428 -3.25
0.4692574 -3.25
0.4998531 -3.25
0.5331864 -3.25
0.5665197 -3.25
0.592576 -3.25
0.6235459 -3.25
0.6568793 -3.25
0.683411 -3.25
0.7115857 -3.25
0.7403209 -3.25
0.7683391 -3.25
0.79531 -3.25
0.8213359 -3.25
0.8499166 -3.25
0.8797668 -3.25
0.9095384 -3.25
0.937709 -3.25
0.9660798 -3.25
0.9994131 -3.25
1.032746 -3.25
1.063132 -3.25
1.094402 -3.25
1.127256 -3.25
1.155895 -3.25
1.183634 -3.25
1.21475 -3.25
1.242634 -3.25
1.272312 -3.25
1.305645 -3.25
1.333783 -3.25
1.363449 -3.25
1.395271 -3.25
1.426053 -3.25
1.456782 -3.25
1.487304 -3.25
1.518174 -3.25
1.546831 -3.25
1.577739 -3.25
1.611072 -3.25
1.638942 -3.25
1.666551 -3.25
1.695238 -3.25
1.728571 -3.25
1.758385 -3.25
1.787552 -3.25
1.815144 -3.25
1.843682 -3.25
1.871724 -3.25
1.902142 -3.25
1.93131 -3.25
1.963487 -3.25
1.99166 -3.25
2.017893 -3.25
2.050217 -3.25
2.079103 -3.25
2.107216 -3.25
2.133826 -3.25
2.163802 -3.25
2.197038 -3.25
2.224328 -3.25
2.252578 -3.25
2.283198 -3.25
2.316142 -3.25
2.34893 -3.25
2.37955 -3.25
2.412616 -3.25
2.445949 -3.25
2.476431 -3.25
2.504093 -3.25
2.531767 -3.25
2.561715 -3.25
2.588315 -3.25
2.615584 -3.25
2.648917 -3.25
2.680245 -3.25
2.707817 -3.25
2.741151 -3.25
2.774346 -3.25
2.806596 -3.25
2.839469 -3.25
2.866401 -3.25
2.895276 -3.25
2.925544 -3.25
2.953472 -3.25
2.985815 -3.25
3.014677 -3.25
3.043025 -3.25
3.072099 -3.25
3.098729 -3.25
3.130615 -3.25
3.163949 -3.25
3.197282 -3.25
3.226037 -3.25
3.257652 -3.25
3.288131 -3.25
3.315833 -3.25
3.3426 -3.25
3.37145 -3.25
3.399083 -3.25
3.430245 -3.25
3.459347 -3.25
3.49268 -3.25
3.525393 -3.25
3.553365 -3.25
3.581603 -3.25
3.614937 -3.25
3.645222 -3.25
3.671028 -3.25
3.699224 -3.25
3.732558 -3.25
3.765891 -3.25
3.792685 -3.25
3.822831 -3.25
3.85081 -3.25
3.884143 -3.25
3.917476 -3.25
3.944143 -3.25
3.972745 -3.25
3.999846 -3.25
4.028886 -3.25
4.06222 -3.25
4.095553 -3.25
4.127197 -3.25
4.157395 -3.25
4.186003 -3.25
4.219337 -3.25
4.246007 -3.25
4.273107 -3.25
4.301606 -3.25
4.332643 -3.25
4.36581 -3.25
4.399144 -3.25
4.42799 -3.25
4.457882 -3.25
4.487609 -3.25
4.516327 -3.25
4.54515 -3.25
4.573921 -3.25
4.601972 -3.25
4.633936 -3.25
4.659695 -3.25
4.691961 -3.25
4.720205 -3.25
4.748043 -3.25
4.78076 -3.25
4.810248 -3.25
4.839002 -3.25
4.865812 -3.25
4.892268 -3.25
4.925602 -3.25
4.958935 -3.25
4.987098 -3.25
5.018514 -3.25
5.046845 -3.25
5.074411 -3.25
5.107744 -3.25
5.13602 -3.25
5.163953 -3.25
5.193961 -3.25
5.225759 -3.25
5.252629 -3.25
5.282059 -3.25
5.313952 -3.25
5.34602 -3.25
5.377604 -3.25
5.407924 -3.25
5.43834 -3.25
5.470608 -3.25
5.50049 -3.25
5.531098 -3.25
5.564432 -3.25
5.597765 -3.25
5.631098 -3.25
5.664432 -3.25
5.695323 -3.25
5.727592 -3.25
5.755319 -3.25
5.784227 -3.25
5.81756 -3.25
5.848984 -3.25
5.879519 -3.25
5.90976 -3.25
5.943093 -3.25
5.972094 -3.25
6.005427 -3.25
6.036346 -3.25
6.06968 -3.25
6.103013 -3.25
6.133218 -3.25
6.161364 -3.25
6.19233 -3.25
6.220803 -3.25
6.254136 -3.25
6.286335 -3.25
6.316024 -3.25
6.342965 -3.25
6.368713 -3.25
6.397698 -3.25
6.428353 -3.25
6.456422 -3.25
6.484138 -3.25
6.517297 -3.25
6.55063 -3.25
6.581034 -3.25
6.607529 -3.25
6.636461 -3.25
6.666013 -3.25
6.696427 -3.25
6.723813 -3.25
6.752465 -3.25
6.784464 -3.25
6.813868 -3.25
6.842397 -3.25
6.87573 -3.25
6.907147 -3.25
6.94048 -3.25
6.96678 -3.25
6.994764 -3.25
7.026917 -3.25
7.05529 -3.25
7.085891 -3.25
7.113944 -3.25
7.143545 -3.25
7.170787 -3.25
7.197433 -3.25
7.226417 -3.25
7.25975 -3.25
7.290218 -3.25
7.31635 -3.25
7.347813 -3.25
7.378804 -3.25
7.411254 -3.25
7.444588 -3.25
7.473752 -3.25
7.503619 -3.25
7.531958 -3.25
7.559917 -3.25
7.589283 -3.25
7.622616 -3.25
7.653491 -3.25
7.680949 -3.25
7.71196 -3.25
7.740922 -3.25
7.770196 -3.25
7.796941 -3.25
7.827405 -3.25
7.859991 -3.25
7.889242 -3.25
7.920191 -3.25
7.95281 -3.25
7.981728 -3.25
8.013118 -3.25
8.040631 -3.25
8.069071 -3.25
8.10161 -3.25
8.128938 -3.25
8.154562 -3.25
8.187175 -3.25
8.215417 -3.25
8.248751 -3.25
8.280443 -3.25
8.313777 -3.25
8.344691 -3.25
8.373215 -3.25
8.400341 -3.25
8.430989 -3.25
8.46005 -3.25
8.490079 -3.25
8.517177 -3.25
8.547071 -3.25
8.577955 -3.25
8.606266 -3.25
8.635807 -3.25
8.66914 -3.25
8.696767 -3.25
8.724638 -3.25
8.757971 -3.25
8.789682 -3.25
8.817897 -3.25
8.848633 -3.25
8.876022 -3.25
8.908393 -3.25
8.941726 -3.25
