時間[s] タイヤの舵角[deg]
0 0
0.02 -8.5
0.05333333 -8.5
0.08666666 -8.5
0.12 -8.5
0.1533333 -8.5
0.1866667 -8.5
0.2191223 -8.5
0.2524556 -8.5
0.2856957 -8.5
0.319029 -8.5
0.3492452 -8.5
0.3825786 -8.5
0.410293 -8.5
0.442809 -8.5
0.4717197 -8.5
0.5047125 -8.5
0.5342414 -8.5
0.5675748 -8.5
0.5962961 -8.5
0.6249631 -8.5
0.6549074 -8.5
0.6857338 -8.5
0.718083 -8.5
0.7494627 -8.5
0.7820006 -8.5
0.8126588 -8.5
0.8459921 -8.5
0.8746402 -8.7
0.9054261 -8.7
0.9339275 -9.15
0.9617546 -9.8
0.9929876 -9.8
1.023211 -10.25
1.054358 -10.25
1.082928 -10.7
1.115658 -10.7
1.145276 -10.7
1.176124 -10.7
1.202574 -10.7
1.231846 -10.7
1.260898 -10.7
1.291843 -10.7
1.323513 -10.7
1.352592 -10.7
1.381366 -10.25
1.413384 -9.8
1.441495 -9.8
1.474144 -9.6
1.507445 -9.6
1.540779 -9.6
1.572081 -9.6
1.601866 -9.6
1.629755 -9.6
1.659017 -9.6
1.688623 -9.6
1.721956 -9.6
1.755289 -9.6
1.785347 -9.6
1.812575 -9.6
1.841141 -9.6
1.873057 -9.6
1.900862 -9.6
1.933151 -9.6
1.963926 -9.6
1.99564 -9.6
2.028824 -9.6
2.061655 -9.6
2.090271 -9.6
2.118962 -9.6
2.151202 -9.6
2.178197 -9.6
2.21153 -9.6
2.241673 -9.6
2.271054 -9.6
2.304056 -9.6
2.333923 -9.6
2.362293 -9.6
2.394219 -9.6
2.424139 -9.6
2.455784 -9.6
2.484204 -9.6
2.517537 -9.6
2.546857 -9.6
2.578779 -9.6
2.609356 -9.6
2.638537 -9.6
2.666847 -9.6
2.696521 -9.6
2.724739 -9.6
2.755068 -9.6
2.782275 -9.6
2.812289 -9.6
2.845622 -9.6
2.87837 -9.6
2.906918 -9.6
2.939966 -9.6
2.973299 -9.6
3.00285 -9.6
3.031115 -9.6
3.059862 -9.6
3.087606 -9.6
3.116217 -9.6
3.143137 -9.6
3.17647 -9.6
3.206137 -9.6
3.237464 -9.6
3.269783 -9.6
3.303117 -9.6
3.332685 -9.6
3.365139 -9.6
3.398472 -9.6
3.428633 -9.6
3.461966 -9.6
3.495299 -9.6
3.527716 -9.6
3.559629 -9.6
3.592963 -9.6
3.625785 -9.6
3.658642 -8.95
3.688273 -8.05
3.721607 -8.05
3.751693 -7.85
3.781752 -7.85
3.815085 -7.85
3.847567 -7.85
3.877724 -7.85
3.905323 -7.85
3.933936 -7.85
3.964688 -7.85
3.996568 -7.85
4.025544 -7.85
4.058877 -7.85
4.086518 -7.85
4.118748 -7.85
4.147183 -7.85
4.176264 -7.85
4.205125 -7.85
4.238459 -7.85
4.267325 -7.85
4.300658 -7.6
4.331257 -7.6
4.359523 -7.6
4.387728 -7.6
4.419981 -7.6
4.450058 -7.6
4.483391 -7.6
4.515578 -7.6
4.548782 -7.6
4.576032 -7.6
4.606367 -7.6
4.634826 -7.6
4.668159 -7.6
4.700325 -7.6
4.733098 -7.6
4.764396 -7.6
4.797729 -7.6
4.831063 -7.6
4.862542 -7.6
4.889332 -7.6
4.920494 -7.6
4.952604 -7.6
4.981461 -7.6
5.014794 -7.6
5.048128 -7.6
5.081461 -7.6
5.114794 -7.6
5.145841 -7.6
5.175385 -7.6
5.205062 -7.6
5.234948 -7.6
5.267015 -7.6
5.296697 -7.6
5.327415 -7.6
5.360749 -7.6
5.388801 -7.6
5.419048 -7.6
5.447092 -7.6
5.478724 -7.6
5.506419 -7.6
5.539752 -7.6
5.569881 -7.6
5.600429 -7.6
5.632962 -7.6
5.665375 -7.6
5.693335 -7.6
5.722221 -7.6
5.75094 -7.6
5.781319 -7.6
5.807971 -7.6
5.838347 -7.6
5.866709 -7.6
5.896723 -7.6
5.923864 -7.6
5.957197 -7.6
5.98698 -7.6
6.020314 -7.6
6.051954 -7.6
6.084129 -7.6
6.115212 -7.6
6.147279 -7.6
6.177577 -7.6
6.210911 -7.6
6.244244 -7.6
6.274565 -7.6
6.307898 -7.6
6.341231 -7.6
6.374565 -7.6
6.407898 -7.6
6.437181 -7.6
6.466323 -7.6
6.499657 -7.6
6.530515 -7.6
6.557934 -7.6
6.58546 -7.6
6.612342 -7.6
6.644307 -7.6
6.67764 -7.6
6.706776 -7.6
6.734174 -7.6
6.767508 -7.6
6.794857 -7.6
6.82819 -7.6
6.859416 -7.6
6.889292 -7.6
6.920825 -7.6
6.95139 -7.6
6.984724 -7.6
7.015924 -7.6
7.049257 -7.6
7.082591 -7.6
7.111488 -7.6
7.144822 -7.6
7.171689 -7.6
7.202036 -7.6
7.232372 -7.6
7.262329 -7.6
7.295662 -7.6
7.328995 -7.6
7.359964 -7.6
7.393135 -7.6
7.424302 -7.6
7.457635 -7.6
7.485086 -7.6
7.518419 -7.6
7.551604 -7.6
7.580958 -7.6
7.614291 -7.6
7.647624 -7.6
7.676298 -7.6
7.708007 -7.6
7.74134 -7.6
7.774673 -7.6
7.804171 -7.6
7.83304 -7.6
7.862084 -7.6
7.890907 -7.6
7.924241 -7.6
7.954106 -7.6
7.98744 -7.6
8.019939 -7.6
8.051275 -7.6
8.084609 -7.6
8.115297 -7.6
8.145869 -7.6
8.173524 -7.6
8.204258 -7.6
8.237591 -7.6
8.270925 -7.6
8.298343 -7.6
8.331676 -7.6
8.360418 -7.6
8.393751 -7.6
8.421669 -7.6
8.453413 -7.6
8.480331 -7.6
8.51089 -7.6
8.544224 -7.6
8.577557 -7.6
8.606634 -7.6
8.637712 -7.6
8.667528 -7.6
8.700862 -7.6
8.731858 -7.6
8.764618 -7.6
8.797414 -7.6
8.82653 -7.6
8.859862 -7.6
8.891659 -7.6
8.920653 -7.6
8.953444 -7.6
8.983051 -7.6
9.016384 -7.6
9.048802 -7.6
9.077169 -7.6
9.1056 -7.6
9.137342 -7.6
9.170675 -7.6
9.20224 -7.6
9.235574 -7.6
9.268907 -7.6
9.297138 -7.6
9.330472 -7.6
9.361878 -7.6
9.391625 -7.6
9.419889 -7.6
9.449315 -7.6
9.482649 -7.6
9.51247 -7.6
9.545803 -7.6
9.57354 -7.6
9.605118 -7.6
9.638452 -7.6
9.667019 -7.6
9.695995 -7.6
9.723043 -7.6
9.754005 -7.6
9.787338 -7.6
9.820672 -7.6
9.847863 -7.6
9.875757 -7.6
9.909091 -7.6
9.942424 -7.6
9.975403 -7.6
10.0081 -7.6
10.0387 -7.6
10.07204 -7.6
10.10537 -7.6
10.13576 -7.6
10.16726 -7.6
10.19966 -7.6
10.23159 -7.6
10.26492 -7.6
10.29519 -7.6
10.32852 -7.6
10.35623 -7.6
10.38574 -7.6
10.41887 -7.6
10.4475 -7.6
10.47615 -7.6
10.50491 -7.6
10.53341 -7.6
10.56332 -7.6
10.59666 -7.6
10.62999 -7.6
10.66133 -7.6
10.69166 -7.6
10.72195 -7.6
10.75528 -7.6
10.78473 -7.6
10.81339 -7.6
10.84328 -7.6
10.87579 -7.6
10.90912 -7.6
10.93784 -7.6
10.96461 -7.6
10.99232 -7.6
11.02029 -7.6
11.05362 -7.6
11.08536 -7.6
11.11384 -7.6
11.14171 -7.6
11.17003 -7.6
11.20168 -7.6
11.23244 -7.6
11.26577 -7.6
11.29569 -7.6
11.32809 -7.6
11.36045 -7.6
11.39379 -7.6
11.42712 -7.6
11.4549 -7.6
11.48387 -7.6
11.51083 -7.6
11.54086 -7.6
11.56856 -7.6
11.60189 -7.6
11.63522 -7.6
11.6651 -7.6
11.69844 -7.6
11.72672 -7.6
11.76005 -7.6
11.79338 -7.6
11.82274 -7.6
11.85608 -7.6
11.88714 -7.6
11.92048 -7.6
11.95381 -7.6
11.98283 -7.6
12.00976 -7.6
12.04309 -7.6
12.07643 -7.6
12.10976 -7.6
12.13716 -7.6
12.1705 -7.6
12.19792 -7.6
12.23126 -7.6
12.26234 -7.6
12.29259 -7.6
12.32009 -7.6
12.35342 -7.6
12.38676 -7.6
12.41718 -7.6
12.44678 -7.6
12.47968 -7.6
12.50892 -7.6
12.54225 -7.6
12.57073 -7.6
12.60091 -7.6
12.63424 -7.6
12.66301 -7.6
12.69635 -7.6
12.72968 -7.6
12.75985 -7.6
12.79319 -7.6
12.82305 -7.6
12.85638 -7.6
12.88971 -7.6
12.919 -7.6
12.95195 -7.6
12.98323 -7.6
13.01656 -7.6
13.0452 -7.6
13.07658 -7.6
13.10839 -7.6
13.1393 -7.6
13.17263 -7.6
13.20115 -7.6
13.23448 -7.6
13.26348 -7.6
13.29425 -7.6
13.32758 -7.6
13.35765 -7.6
13.38841 -7.6
13.41974 -7.6
13.44921 -7.6
13.48254 -7.6
13.51467 -7.6
13.54481 -7.6
13.57315 -7.6
13.60648 -7.6
13.63982 -7.6
13.67315 -7.6
13.7017 -7.6
13.72939 -7.6
13.75685 -7.6
13.79018 -7.6
13.81736 -7.6
13.84908 -7.6
13.87919 -7.6
13.91252 -7.6
13.94586 -7.6
13.97919 -7.6
14.01252 -7.6
14.04374 -7.6
14.07435 -7.6
14.10768 -7.6
14.13558 -7.6
14.16891 -7.6
14.2016 -7.6
14.23285 -7.6
14.26615 -7.6
14.29948 -7.6
14.33105 -7.6
14.3611 -7.6
14.38983 -7.6
14.42316 -7.6
14.45584 -7.6
14.48558 -7.6
14.51519 -7.6
14.54852 -7.6
14.58186 -7.6
14.60972 -7.6
14.63687 -7.6
14.66792 -7.6
14.69962 -7.6
14.73295 -7.6
14.7594 -7.6
14.78701 -7.6
14.81465 -7.6
14.84424 -7.6
14.87757 -7.6
14.90738 -7.6
14.94072 -7.6
14.96801 -7.6
15.0004 -7.6
15.03373 -7.6
15.06297 -7.6
15.09631 -7.6
15.12729 -7.6
15.15624 -7.6
15.18845 -7.6
15.2179 -7.6
15.25009 -7.6
15.27956 -7.6
15.31052 -7.6
15.34386 -7.6
15.37328 -7.6
15.40262 -7.6
15.4339 -7.6
15.46724 -7.6
15.50057 -7.6
15.53082 -7.6
15.55864 -7.6
15.59198 -7.6
15.62531 -7.6
15.65864 -7.6
15.68778 -7.6
15.71883 -7.6
15.74809 -7.6
15.78019 -7.6
15.81352 -7.6
15.84579 -7.6
15.87556 -7.6
15.90664 -7.6
15.93998 -7.6
15.97331 -7.6
16.00351 -7.6
16.03423 -7.6
16.06266 -7.6
16.09599 -7.6
16.12932 -7.6
16.16033 -7.6
16.18901 -7.6
16.2183 -7.6
16.24925 -7.6
16.28258 -7.6
16.31073 -7.6
16.33949 -7.6
16.36853 -7.6
16.40187 -7.6
16.4352 -7.6
16.46377 -7.6
16.49425 -7.6
16.52758 -7.6
16.55548 -7.6
16.58881 -7.6
16.61641 -7.6
16.64974 -7.6
16.67669 -7.6
16.70524 -7.6
16.73858 -7.6
16.77191 -7.6
16.79958 -7.6
16.82973 -7.6
16.86307 -7.6
16.8964 -7.6
16.92973 -7.6
16.96034 -7.6
16.99045 -7.6
17.02275 -7.6
17.05608 -7.6
17.08739 -7.6
17.11773 -7.6
17.14598 -7.6
17.17912 -7.6
17.21245 -7.6
17.24067 -7.6
17.27054 -7.6
17.3029 -7.6
17.3349 -7.6
17.36823 -7.6
17.40149 -7.6
17.43288 -7.6
17.46621 -7.6
17.49587 -7.6
17.52921 -7.6
17.55772 -7.6
17.59105 -7.6
17.6197 -7.6
17.6503 -7.6
17.68363 -7.6
17.71214 -7.6
17.74472 -7.6
17.77532 -7.6
17.80629 -7.6
17.83962 -7.6
17.87147 -7.6
17.90318 -7.6
17.93217 -7.6
17.96222 -7.6
17.99556 -7.6
18.02804 -7.6
18.0562 -7.6
18.08954 -7.4
18.12287 -7.4
18.1562 -7.4
18.18453 -7.2
18.21786 -7.2
18.2447 -7.2
18.27357 -7.2
18.3069 -7.2
18.33884 -7.2
18.36698 -7.2
18.39849 -7.2
18.42862 -7.2
18.46195 -7.2
18.49006 -7.2
18.52312 -7.2
18.55243 -7.2
18.58226 -7.2
18.61559 -7.2
18.64746 -7.2
18.67797 -7.2
18.70785 -7.2
18.73938 -7.2
18.77272 -7.2
18.80089 -7.2
18.8302 -7.2
18.86353 -7.2
18.89626 -7.2
18.9296 -7.2
18.96071 -7.2
18.98684 -7.2
19.01876 -7.2
19.0521 -7.2
19.08543 -7.2
19.11513 -7.2
19.14399 -7.2
19.17732 -7.2
19.20674 -7.2
19.24007 -7.2
19.27051 -7.2
19.29919 -7.2
19.32856 -7.2
19.36025 -7.2
19.39359 -7.2
19.42536 -7.2
19.45788 -7.2
19.48666 -7.2
19.51561 -7.2
19.54895 -7.2
19.57959 -7.2
19.61214 -7.2
19.64389 -7.2
19.67516 -7.2
19.70849 -7.2
19.74165 -7.2
19.7702 -7.2
19.80353 -7.2
19.83434 -7.2
19.86767 -7.2
19.89763 -7.2
19.92743 -7.2
19.95686 -7.2
19.98495 -7.2
20.01829 -7.2
20.04711 -7.2
20.07666 -7.2
20.10978 -7.2
20.14311 -7.2
20.17645 -7.2
20.2063 -7.2
20.23668 -7.2
20.26748 -7.2
20.29574 -7.2
20.32907 -7.2
20.36121 -7.2
20.39155 -7.2
20.41998 -7.2
20.45332 -7.2
20.48665 -7.2
20.51627 -7.2
20.54384 -7.2
20.57396 -7.2
20.60166 -7.2
20.63499 -7.2
20.66833 -7.2
20.70113 -7.2
20.72975 -7.2
20.75913 -7.2
