時間[s] タイヤの舵角[deg]
0 0
0.02 -3.7
0.05333333 -3.7
0.08666666 -3.7
0.12 -3.7
0.1481369 -3.7
0.1814702 -3.7
0.2101765 -3.7
0.2393597 -3.7
0.2724498 -3.7
0.3011956 -3.7
0.3291397 -3.7
0.3583532 -3.7
0.3867319 -3.7
0.4155163 -3.7
0.4462552 -3.7
0.4795886 -3.7
0.5105529 -3.7
0.5388632 -3.7
0.5678833 -3.7
0.5981697 -3.7
0.6275553 -3.7
0.6600276 -3.7
0.6896039 -3.7
0.7180555 -3.7
0.7457567 -3.7
0.778585 -3.7
0.8081822 -3.7
0.8409495 -3.7
0.8700371 -3.7
0.9026135 -3.7
0.933601 -3.7
0.9647034 -3.7
0.9949951 -3.7
1.023832 -3.7
1.053056 -3.7
1.082354 -3.7
1.115528 -3.7
1.148861 -3.7
1.178356 -3.7
1.208185 -3.7
1.240813 -3.7
1.271498 -3.7
1.300334 -3.7
1.333076 -3.7
1.363015 -3.7
1.396349 -3.7
1.426737 -3.7
1.456274 -3.7
1.489607 -3.7
1.520305 -3.7
1.548611 -3.7
1.580105 -3.7
1.611256 -3.7
1.64459 -3.7
1.674781 -3.7
1.708115 -3.7
1.736614 -3.7
1.766801 -3.7
1.795919 -3.7
1.825762 -3.7
1.854457 -3.7
1.887791 -3.7
1.919034 -3.7
1.948718 -3.7
1.977337 -3.7
2.01067 -3.7
2.041776 -3.7
2.074753 -3.7
2.10552 -3.7
2.137385 -3.7
2.167298 -3.7
2.197485 -3.7
2.227262 -3.7
2.256467 -3.7
2.285174 -3.7
2.314885 -3.7
2.345048 -3.7
2.377686 -3.7
2.406211 -3.7
2.4371 -3.7
2.466282 -3.7
2.498423 -3.7
2.527124 -3.7
2.560277 -3.7
2.590081 -3.7
2.619374 -3.7
2.6482 -3.7
2.679473 -3.7
2.707628 -3.7
2.74081 -3.7
2.773797 -3.7
2.802233 -3.7
2.835567 -3.7
2.864806 -3.7
2.897224 -3.7
2.930558 -3.7
2.963372 -3.7
2.996706 -3.7
3.029032 -3.7
3.060729 -3.7
3.089303 -3.7
3.119367 -3.7
3.146962 -3.7
3.178492 -3.7
3.211826 -3.7
3.24167 -3.7
3.275003 -3.7
3.30649 -3.7
3.338841 -3.7
3.372174 -3.7
3.40114 -3.7
3.43317 -3.7
3.464425 -3.7
3.495983 -3.7
3.529157 -3.7
3.55933 -3.7
3.589067 -3.7
3.619959 -3.7
3.650149 -3.7
3.681035 -3.7
3.712919 -3.7
3.74207 -3.7
3.772537 -3.7
3.80587 -3.7
3.839203 -3.7
3.872537 -3.7
3.901098 -3.7
3.934432 -3.7
3.962755 -3.7
3.992146 -3.7
4.023499 -3.7
4.053367 -3.7
4.0867 -3.7
4.115714 -3.7
4.148584 -3.7
4.179843 -3.7
4.213177 -3.7
4.244143 -3.7
4.277169 -3.7
4.310502 -3.7
4.340698 -3.7
4.371019 -3.7
4.40075 -3.7
4.433838 -3.7
4.463597 -3.7
4.494267 -3.7
4.5276 -3.7
4.558255 -3.7
4.588107 -3.7
4.618679 -3.7
4.652012 -3.7
4.683141 -3.7
4.715729 -3.7
4.747579 -3.7
4.77712 -3.7
4.810453 -3.7
4.843787 -3.7
4.87712 -3.7
4.90605 -3.7
4.937995 -3.7
4.967436 -3.7
4.998505 -3.7
5.030362 -3.7
5.059764 -3.7
5.089973 -3.7
5.121229 -3.7
5.150491 -3.7
5.181477 -3.7
5.213852 -3.7
5.244014 -3.7
5.277347 -3.7
5.309379 -3.7
5.342712 -3.7
5.374651 -3.7
5.405659 -3.7
5.438992 -3.7
5.468735 -3.7
5.498173 -3.7
5.527275 -3.7
5.557312 -3.7
5.585953 -3.7
5.618708 -3.7
5.652041 -3.7
5.685374 -3.7
5.714866 -3.7
5.747063 -3.7
5.779047 -3.7
5.809229 -3.7
5.839734 -3.7
5.870857 -3.7
5.903618 -3.45
5.934181 -3.45
5.966803 -3.25
5.996794 -3.25
6.027458 -3.25
6.059495 -3.25
6.090425 -3.25
6.121252 -3.25
6.154585 -3.25
6.18469 -3.25
6.217466 -3.25
6.247923 -3.25
6.277759 -3.25
6.310397 -3.25
6.34373 -3.25
6.374019 -3.25
6.402232 -3.25
6.435565 -3.25
6.468898 -3.25
6.502232 -3.25
6.532382 -3.25
6.563385 -3.25
6.594519 -3.25
6.624511 -3.25
6.657845 -3.25
6.689851 -3.25
6.718417 -3.25
6.747957 -3.25
6.780238 -3.25
6.813571 -3.25
6.844267 -3.25
6.877601 -3.25
6.907721 -3.25
6.938274 -3.25
6.971371 -3.25
7.003749 -3.25
7.037083 -3.25
7.070416 -3.25
7.098953 -3.25
7.132286 -3.25
7.163161 -3.25
7.194624 -3.25
7.223962 -3.25
7.255161 -3.25
7.284493 -3.25
7.31531 -3.25
7.347379 -3.25
7.37929 -3.25
7.407554 -3.25
7.43733 -3.25
7.470174 -3.25
7.50088 -3.25
7.534214 -3.25
7.565141 -3.25
7.595852 -3.25
7.628403 -3.25
7.658771 -3.25
7.692104 -3.25
7.72046 -3.25
7.750157 -3.25
7.780801 -3.25
7.814135 -3.25
7.847468 -3.25
7.880327 -3.25
7.91121 -3.25
7.943534 -3.25
7.973864 -3.25
8.004756 -3.25
8.03809 -3.25
8.071423 -3.25
8.100509 -3.25
8.13131 -3.25
8.161542 -3.25
8.194876 -3.25
8.22276 -3.25
8.255317 -3.25
8.285032 -3.25
8.316652 -3.25
8.348599 -3.25
8.378718 -3.25
8.4088 -3.25
8.438646 -3.25
8.468143 -3.25
8.501475 -3.25
8.531563 -3.25
8.564895 -3.25
8.594566 -3.25
8.624275 -3.25
8.657609 -3.25
8.687465 -3.25
8.71725 -3.25
8.750584 -3.25
8.779585 -3.25
8.810956 -3.25
8.84429 -3.25
8.874933 -3.25
8.908267 -3.25
8.939727 -3.25
8.96791 -3.25
9.00032 -3.25
9.029124 -3.25
9.06096 -3.25
9.091874 -3.25
9.120798 -3.25
9.153506 -3.25
9.185434 -3.25
9.214235 -3.25
9.2474 -3.25
9.27835 -3.25
9.309937 -3.25
9.34327 -3.25
9.376067 -3.25
9.405548 -3.25
9.43646 -3.25
9.46951 -3.25
9.501122 -3.25
9.530319 -3.25
9.560679 -3.25
9.591122 -3.25
9.623266 -3.25
9.6566 -3.25
9.686721 -3.25
9.716096 -2.8
9.748044 -2.15
9.778324 -2.15
