時間[s] タイヤの舵角[deg]
0 0
0.02 -0.65
0.05333333 -1.7
0.08666666 -1.7
0.12 -1.7
0.1500612 -1.7
0.1833945 -1.7
0.2167279 -1.7
0.24691 -1.7
0.2775378 -1.7
0.3075958 -1.7
0.3373562 -1.7
0.3669583 -1.7
0.3962121 -1.7
0.4288341 -1.7
0.4600167 -1.7
0.4903466 -1.7
0.51926 -1.7
0.5511575 -1.7
0.581591 -1.7
0.6135396 -1.7
0.6450397 -1.7
0.6783731 -1.5
0.7103963 -1.5
0.7437296 -1.5
0.7759312 -1.5
0.8081696 -1.5
0.8371097 -1.5
0.870443 -1.5
0.9030911 -1.5
0.9353217 -1.5
0.9662424 -1.5
0.9995758 -1.5
1.031507 -1.5
1.061212 -1.5
1.089575 -1.5
1.120254 -1.5
1.151528 -1.5
1.184861 -1.5
1.216411 -1.5
1.249429 -1.5
1.279749 -1.5
1.31242 -1.5
1.344224 -1.5
1.377557 -1.5
1.40994 -1.5
1.443205 -1.5
1.471799 -1.5
1.505132 -1.5
1.535273 -1.5
1.567665 -1.5
1.598551 -1.5
1.631884 -1.5
1.665217 -1.5
1.698551 -1.5
1.731884 -1.5
1.765217 -1.5
1.796593 -1.5
1.827391 -1.5
1.857651 -1.5
1.888038 -1.5
1.921372 -1.5
1.953012 -1.5
1.986345 -1.5
2.017659 -1.5
2.044578 -1.5
2.077912 -1.5
2.108667 -1.5
2.142001 -1.5
2.169456 -1.5
2.202546 -1.5
2.235879 -1.5
2.263997 -1.5
2.295233 -1.5
2.328566 -1.5
2.358743 -1.5
2.392076 -1.5
2.420268 -1.5
2.453216 -1.5
2.48655 -1.5
2.519883 -1.5
2.553216 -1.5
2.582867 -1.5
2.610567 -1.5
2.639184 -1.5
2.668294 -1.5
2.701627 -1.5
2.731651 -1.5
2.763676 -1.5
2.792808 -1.5
2.821933 -1.5
2.855266 -1.5
2.88519 -1.5
2.915546 -1.5
2.946314 -1.5
2.975758 -1.5
3.009091 -1.5
3.03988 -1.5
3.073213 -1.5
3.106546 -1.5
3.138823 -1.5
3.172156 -1.5
3.202552 -1.5
3.231811 -1.5
3.261483 -1.5
3.293354 -1.5
3.326687 -1.5
3.359065 -1.5
3.389186 -1.5
3.418046 -1.5
3.447744 -1.5
3.481077 -1.5
3.51441 -1.5
3.546597 -1.5
3.57723 -1.5
3.610564 -1.5
3.643897 -1.5
3.67555 -1.5
3.706299 -1.5
3.737384 -1.5
3.770718 -1.5
3.80358 -1.5
3.832966 -1.5
3.86584 -1.5
3.894355 -1.5
3.927688 -1.5
3.961021 -1.5
3.990687 -1.5
4.023896 -1.5
4.054607 -1.5
4.086757 -1.5
4.12009 -1.5
4.14983 -1.5
4.178289 -1.5
4.211622 -1.5
4.241882 -1.5
4.275216 -1.5
4.306681 -1.5
4.336703 -1.5
4.368822 -1.5
4.399217 -1.5
4.43255 -1.5
4.462123 -1.5
4.492115 -1.5
4.521676 -1.5
4.552038 -1.5
4.585371 -1.5
4.615105 -1.5
4.646252 -1.5
4.679585 -1.5
4.712918 -1.5
4.746252 -1.5
4.777204 -1.5
4.807615 -1.5
4.840949 -1.5
4.873664 -1.5
4.906997 -1.5
4.937803 -1.5
4.968611 -1.5
5.001944 -1.5
5.034846 -1.5
5.068179 -1.5
5.098423 -1.5
5.128942 -1.5
5.162276 -1.5
5.192963 -1.5
5.226296 -1.5
5.254891 -1.5
5.288224 -1.5
5.317036 -1.5
5.350369 -1.5
5.383703 -1.5
5.412636 -1.5
5.442295 -1.5
5.471625 -1.5
5.500891 -1.5
5.534225 -1.5
5.564712 -1.5
5.598018 -1.5
5.62777 -1.5
5.656452 -1.5
5.689785 -1.5
5.723119 -1.5
5.752616 -1.5
5.78595 -1.5
5.81345 -1.5
5.846784 -1.5
5.875218 -1.5
5.903951 -1.5
5.932802 -1.5
5.966136 -1.5
5.999469 -1.5
6.030182 -1.5
6.063516 -1.5
6.092506 -1.5
6.122736 -1.5
6.156069 -1.5
6.189403 -1.5
6.222736 -1.5
6.251838 -1.5
6.283777 -1.5
6.31711 -1.5
6.350443 -1.5
6.37885 -1.5
6.410384 -1.5
6.441214 -1.5
6.474547 -1.5
6.504902 -1.5
6.53731 -1.5
6.565851 -1.5
6.598762 -1.5
6.632095 -1.5
6.663845 -1.5
6.695997 -1.5
6.726808 -1.5
6.758191 -1.5
6.791524 -1.5
6.824623 -1.5
6.853416 -1.5
6.883543 -1.5
6.912484 -1.5
6.945817 -1.5
6.97915 -1.5
7.011984 -1.5
7.040825 -1.5
7.07392 -1.5
7.107253 -1.5
7.135748 -1.5
7.169082 -1.5
7.201641 -1.5
7.233434 -1.5
7.266767 -1.5
7.296102 -1.5
7.325217 -1.5
7.355243 -1.5
7.386092 -1.5
7.419425 -1.5
7.449585 -1.5
7.481498 -1.5
7.509602 -1.5
7.53969 -1.5
7.572776 -1.5
7.601929 -1.5
7.631174 -1.5
7.662308 -1.5
7.694297 -1.5
7.72763 -1.5
7.760681 -1.5
7.794014 -1.5
7.820652 -1.5
7.851561 -1.5
7.884894 -1.5
7.918228 -1.5
7.9513 -1.5
7.981586 -1.5
8.009766 -1.5
8.043099 -1.5
8.07136 -1.5
8.103213 -1.5
8.131437 -1.5
8.162751 -1.5
8.196084 -1.3
8.229418 -1.3
8.258876 -1.05
8.29221 -1.05
8.325542 -1.05
8.358876 -0.85
8.39221 -0.85
8.423574 -0.85
8.454685 -0.65
8.484216 -0.4
8.517549 -0.4
8.550882 -0.2
8.58281 0
8.61474 0
8.64457 0
8.677903 0
8.707648 0
8.736825 0
8.770158 0
8.803492 0.2
8.836825 0.2
8.870158 0.4
8.901225 0.4
8.934558 0.4
8.963829 0.4
8.997162 0.4
9.028559 0.4
9.058891 0.4
9.092225 0.4
9.122962 0.4
9.156296 0.4
9.187354 0.4
9.218865 0.4
9.24977 0.4
9.279289 0.4
9.312622 0.4
9.343472 0.4
9.374347 0.4
9.403823 0.4
9.436779 0.4
9.470113 0.4
9.503446 0.4
9.536779 0.4
9.569732 0.4
9.60078 0.4
9.634113 0.4
9.662536 0.4
9.692903 0
9.723008 0
9.753918 -0.2
9.787251 -0.4
9.820584 -0.4
9.849797 -0.4
9.883131 -0.4
9.912055 -0.4
9.945389 -0.4
9.974442 -0.4
10.00745 -0.4
10.03608 -0.4
10.0694 -0.4
10.10274 -0.4
10.13376 -0.4
10.16529 -0.4
10.19669 -0.4
10.2263 -0.4
10.25963 -0.4
10.29296 -0.4
10.32536 -0.4
10.35371 -0.4
10.38398 -0.4
10.41731 -0.4
10.44968 -0.4
10.48081 -0.4
10.51185 -0.4
10.54197 -0.4
