時間[s] タイヤの舵角[deg]
0 0
0.02 8
0.05333333 8
0.08666666 8
0.12 8
0.1500336 8
0.1794933 8
0.2087246 8
0.2378168 8
0.2711501 8
0.3024062 8
0.3323764 8
0.3624852 8
0.3912416 8
0.422252 8
0.45085 8
0.4803264 8
0.5116712 8
0.5409038 8
0.5707119 8
0.6002433 8
0.6285836 8
0.6584553 8
0.68837 8
0.7170937 8
0.7500312 8
0.7807232 8
0.8105952 8
0.8401106 8
0.8687756 8
0.8987406 8
0.9289469 8
0.9622803 8
0.9924272 8
1.022125 8
1.055449 8
1.084155 8
1.114028 8
1.147361 8
1.177907 8
1.207005 8
1.236773 8
1.268121 8
1.296819 8
1.330153 8
1.363486 8
1.392276 8
1.425609 8
1.458092 8
1.490644 8
1.522778 8
1.556111 8
1.589143 8
1.622477 8
1.652799 8
1.682128 8
1.713566 8
1.745255 8
1.776637 8
1.806791 8
1.837788 8
1.868078 8
1.900208 8
1.93305 8
1.965104 8
1.995373 8
2.026725 8
2.057616 8
2.090949 8
2.124282 8
2.157615 8
2.190949 8
2.220791 8
2.248768 8
2.282101 8
2.312703 8
2.346036 8
2.379369 8
2.412389 8
2.442394 8
2.475728 8
2.505924 8
2.536733 8
2.570066 8
2.599622 8
2.627803 8
2.657257 8
2.689819 8
2.721302 8
2.754636 8
2.785309 8
2.815116 8
2.848449 8
2.877905 8
2.907676 8
2.938956 8
2.969858 8
2.998894 8
3.028491 8
3.059559 8
3.088266 8
3.118492 8
3.148876 8
3.178281 8
3.20838 8
3.241714 8
3.272888 8
3.303147 8
3.335677 8
3.36901 8
3.402344 8
3.43199 8
3.463422 8
3.494834 8
3.52678 8
3.556098 8
3.588883 8
3.618279 8
3.646883 8
3.678144 8
3.711477 8
3.74481 8
3.776068 8
3.804688 8
3.83287 8
3.863647 8
3.891883 8
3.925216 8
3.958549 8
3.991883 8
4.020749 8
4.04901 8
4.080073 8
4.108464 8
4.141797 8
4.173912 8
4.204117 8
4.232941 8
4.263412 8
4.296745 8
4.327366 8
4.360699 8
4.390926 8
4.419748 8
4.448681 8
4.47753 8
4.508167 8
4.536813 8
4.566279 8
4.599612 8
4.630155 8
4.662406 8
4.695739 8
4.726688 8
4.756868 8
4.789293 8
4.819857 8
4.852613 8
4.882113 8
4.912941 8
4.943444 8
4.973325 8
5.002176 8
5.03551 8
5.065696 8
5.09551 8
5.12327 8
5.152475 8
5.182441 8
5.214258 8
5.243745 8
5.271982 8
5.301492 8
5.331003 8
5.364336 8
5.395411 8
5.424673 8
5.456312 8
5.486145 8
5.51522 8
5.545892 8
5.57751 8
5.607194 8
5.640527 8
5.671375 8
5.700661 8
5.729604 8
5.762212 8
5.79369 8
5.826156 8
5.855481 8
5.88545 8
5.914324 8
5.943807 8
5.97714 8
6.008738 8
6.040106 8
6.069583 8
6.102917 8
6.131455 8
6.164789 8
6.194283 8
6.226155 8
6.259488 8
6.290873 8
6.320326 8
6.351793 8
6.381913 8
6.410721 8
6.441365 8
6.474464 8
6.505658 8
6.537276 8
6.56827 8
6.600936 8
6.632535 8
6.662392 8
6.692093 8
6.725427 8
6.754639 8
6.784307 8
6.814988 8
6.843013 8
6.871914 8
6.905248 8
6.93407 8
6.962761 8
6.996094 8
7.024602 8
7.054235 8
7.083991 8
7.114467 8
7.1478 8
7.180557 8
7.210436 8
7.240672 8
7.274005 8
7.307339 8
7.337548 8
7.370881 8
7.399933 8
7.429468 8
7.461567 8
7.494666 8
7.527999 8
7.561176 8
7.592082 8
7.622355 8
7.655688 8
7.685765 8
7.714135 8
7.746119 8
7.776866 8
7.804053 8
7.83328 8
7.866613 8
7.896175 8
7.928057 8
7.958094 8
7.98675 8
8.015136 8
8.044822 8
8.073865 8
8.106459 8
8.137587 8
8.166944 8
8.197118 8
8.227916 8
8.260153 8
8.291525 8
8.323277 8
8.35661 8
8.388124 8
8.421457 8
8.451709 8
8.48171 8
8.511595 8
8.541079 8
8.57166 8
8.602943 8
8.632683 8
8.666017 8
8.69866 8
8.727588 8
8.760081 8
8.790444 8
8.821449 8
8.854783 8
8.885798 8
8.915695 8
8.946912 8
8.977931 8
9.01019 8
9.043523 8
9.074525 8
9.105742 8
9.139076 8
9.167886 8
9.197187 8
9.227562 8
9.260895 8
9.288816 8
9.31839 8
9.35062 8
9.381268 8
9.414601 8
9.445664 8
9.474585 8
9.50527 8
9.538026 8
9.568743 8
9.598869 8
9.628639 8
9.661973 8
9.692458 8
9.724301 8
9.751885 8
9.782602 8
9.813244 8
9.842697 8
9.871915 8
9.901711 8
9.932215 8
9.963905 8
9.993823 8
10.02716 8
10.06049 8
10.09068 8
10.12114 8
10.15447 8
10.18781 8
10.2204 8
10.25027 8
10.28046 8
10.31183 8
10.34438 8
10.37737 8
10.40591 8
10.43924 8
10.46744 8
10.50077 8
10.53192 8
10.56194 8
10.59057 8
10.6239 8
10.65389 8
10.68308 8
10.71193 8
10.74381 8
10.77232 8
10.80372 8
10.83706 8
10.86493 8
10.89582 8
10.92817 8
10.95789 8
10.98878 8
11.02134 8
11.0497 8
11.08303 8
11.11222 8
11.14376 8
11.17463 8
11.20792 8
11.23707 8
11.26794 8
11.30127 8
11.33119 8
11.36205 8
11.39288 8
11.42145 8
11.4503 8
11.48097 8
11.51284 8
11.54618 8
11.5789 8
11.61097 8
11.6443 8
11.67334 8
11.70463 8
11.73649 8
11.76762 8
11.80096 8
11.83419 8
11.86752 8
11.897 8
11.92851 8
11.95961 8
11.98812 8
12.01706 8
12.04685 8
12.07598 8
12.10931 8
12.14265 8
12.17244 8
12.20112 8
12.23154 8
12.26069 8
12.28989 8
12.32323 8
12.35277 8
12.38428 8
12.41367 8
12.44242 8
12.47575 8
12.50525 8
12.53474 8
12.56469 8
12.59522 8
12.6253 8
12.65697 8
12.68765 8
12.71686 8
12.74602 8
12.77935 8
12.8111 8
12.84095 8
12.87166 8
12.90076 8
12.93161 8
12.96427 8
12.99315 8
13.02332 8
13.05492 8
13.08374 8
13.11367 8
13.147 8
13.17657 8
13.20758 8
13.23883 8
13.26871 8
13.29922 8
13.32935 8
13.35963 8
13.38911 8
13.41981 8
13.45315 8
13.48325 8
13.51619 8
13.54952 8
13.58214 8
13.61397 8
13.64491 8
13.67781 8
13.70851 8
13.74176 8
13.77156 8
13.80206 8
13.83084 8
13.86041 8
13.89374 8
13.92707 8
13.95929 8
13.98943 8
14.0169 8
14.05023 8
