時間[s] タイヤの舵角[deg]
0 0
0.02 52
0.05333333 52
0.08666666 52
0.12 52
0.1490671 52
0.1824004 52
0.2085941 52
0.2366827 52
0.2649794 52
0.2983128 52
0.3284841 52
0.3618175 52
0.3902567 52
0.4178432 52
0.4471259 52
0.4742045 52
0.5026983 52
0.5318168 52
0.5594877 52
0.5872951 52
0.6145498 52
0.6460841 52
0.6729411 52
0.7014266 52
0.7279424 52
0.7560113 52
0.784114 52
0.8114323 52
0.8388071 52
0.8683413 52
0.8993495 52
0.930692 52
0.9592945 52
0.9861856 52
1.016506 52
1.046706 52
1.074284 52
1.103209 52
1.135554 52
1.16313 52
1.196463 52
1.229777 52
1.257554 52
1.287855 52
1.315376 52
1.343136 52
1.376279 52
1.405258 52
1.435069 52
1.466794 52
1.498573 52
1.526904 52
1.555987 52
1.584118 52
1.611003 52
1.638635 52
1.666841 52
1.695046 52
1.728379 52
1.756974 52
1.784838 52
1.815135 52
1.844879 52
1.873993 52
1.902849 52
1.930989 52
1.957333 52
1.990666 52
2.022564 52
2.050963 52
2.078761 52
2.108278 52
2.136292 52
2.164143 52
2.193901 52
2.222949 52
2.252058 52
2.279243 52
2.306452 52
2.339785 52
2.369911 52
2.399266 52
2.428089 52
2.460743 52
2.488582 52
2.519233 52
2.551847 52
2.580261 52
2.608853 52
2.635306 52
2.667139 52
2.696904 52
2.725935 52
2.754277 52
2.782899 52
2.810612 52
2.841353 52
2.87064 52
2.901524 52
2.931413 52
2.964746 52
2.994488 52
3.025881 52
3.053766 52
3.083095 52
3.110443 52
3.139682 52
3.173015 52
3.201326 52
3.230049 52
3.258184 52
3.285755 52
3.313545 52
3.342218 52
3.371875 52
3.404793 52
3.432809 52
3.461649 52
3.489856 52
3.517913 52
3.546348 52
3.577335 52
3.604266 52
3.630904 52
3.663403 52
3.693359 52
3.723417 52
3.752104 52
3.779694 52
3.806812 52
3.835007 52
3.864523 52
3.893044 52
3.926377 52
3.957546 52
3.985755 52
4.013814 52
4.042783 52
4.07228 52
4.100556 52
4.131305 52
4.163185 52
4.192456 52
4.222079 52
4.250006 52
4.278726 52
4.310487 52
4.336643 52
4.369977 52
4.398543 52
4.431877 52
4.460592 52
4.488419 52
4.521752 52
4.549041 52
4.576619 52
4.604953 52
4.632422 52
4.660729 52
4.688931 52
4.717264 52
4.745065 52
4.773685 52
4.802336 52
4.835411 52
4.867015 52
4.89548 52
4.928813 52
4.957231 52
4.985708 52
5.014536 52
5.042748 52
5.071551 52
5.103202 52
5.131486 52
5.163585 52
5.194201 52
5.226681 52
5.255506 52
5.28572 52
5.314439 52
5.34421 52
5.37563 52
5.404568 52
5.43316 52
5.460844 52
5.494177 52
5.522192 52
5.551542 52
5.580403 52
5.608645 52
5.636663 52
5.668656 52
5.698348 52
5.731681 52
5.760533 52
5.788945 52
5.822278 52
5.855611 52
5.88385 52
5.911525 52
5.93878 52
5.967037 52
5.994079 52
6.021027 52
6.048845 52
6.077108 52
6.107439 52
6.139663 52
6.172997 52
6.19978 52
6.230573 52
6.261757 52
6.290535 52
6.321211 52
6.354334 52
6.385564 52
6.418897 52
6.446259 52
6.473968 52
6.502019 52
6.533119 52
6.561122 52
6.59018 52
6.621325 52
6.649872 52
6.678576 52
6.707575 52
6.739612 52
6.768758 52
6.798459 52
6.825983 52
6.855214 52
6.883224 52
6.91553 52
6.944863 52
6.974749 52
7.007084 52
7.034936 52
7.068269 52
7.095308 52
7.122578 52
7.150663 52
7.178955 52
7.20942 52
7.237962 52
7.271295 52
7.299473 52
7.329621 52
7.356792 52
7.385577 52
7.418911 52
7.446584 52
7.479917 52
7.510033 52
7.537898 52
7.566572 52
7.599905 52
7.630132 52
7.660501 52
7.688231 52
7.718572 52
7.746946 52
7.776576 52
7.804952 52
7.832329 52
7.860391 52
7.893724 52
7.926683 52
7.959255 52
7.987626 52
8.015637 52
8.044229 52
8.072256 52
8.10137 52
8.130484 52
8.162509 52
8.19243 52
8.220601 52
8.249352 52
8.278098 52
8.311202 52
8.341383 52
8.374327 52
8.405061 52
8.435271 52
8.463798 52
8.49353 52
8.524869 52
8.553437 52
8.581066 52
8.610421 52
8.639214 52
8.670309 52
8.701847 52
8.729878 52
8.759602 52
8.787882 52
8.816251 52
8.849072 52
8.878562 52
8.90696 52
8.935519 52
8.963654 52
8.99671 52
9.030044 52
9.060756 52
9.088269 52
9.119177 52
9.146042 52
9.175725 52
9.209058 52
9.237523 52
9.266106 52
9.294613 52
9.32136 52
9.351286 52
9.38462 52
9.410855 52
9.440692 52
9.473995 52
9.506615 52
9.536275 52
9.564201 52
9.591214 52
9.624547 52
9.653529 52
9.682257 52
9.711949 52
9.742888 52
9.771364 52
9.802614 52
9.831039 52
9.859066 52
9.8924 52
9.920724 52
9.949153 52
9.978436 52
10.01038 52
10.03856 52
10.06752 52
10.09492 52
10.1224 52
10.1509 52
10.18423 52
10.21143 52
10.24053 52
10.26956 52
10.3029 52
10.33623 52
10.36911 52
10.39749 52
10.4263 52
10.45658 52
10.48992 52
10.51997 52
10.54953 52
10.58059 52
10.61206 52
10.64058 52
10.6726 52
10.70593 52
10.73473 52
10.7663 52
10.79628 52
10.82574 52
10.85907 52
10.89241 52
10.9219 52
10.95524 52
10.98543 52
11.01655 52
11.04501 52
11.07333 52
11.10204 52
11.1318 52
11.16014 52
11.19082 52
11.21816 52
11.2476 52
11.27831 52
11.31165 52
11.34376 52
11.37262 52
11.40096 52
11.43086 52
11.46197 52
11.4911 52
11.52001 52
11.5476 52
11.58093 52
11.60978 52
11.63758 52
11.66632 52
11.69462 52
11.72628 52
11.75427 52
11.78358 52
11.81143 52
11.84291 52
11.8706 52
11.89803 52
11.92572 52
11.95356 52
11.98177 52
12.00863 52
12.037 52
12.07034 52
12.09696 52
12.12525 52
12.15858 52
12.18525 52
12.21278 52
12.24061 52
12.26818 52
12.29626 52
12.3296 52
12.35827 52
12.38798 52
12.41632 52
12.44518 52
12.47822 52
12.5059 52
12.53471 52
12.56262 52
12.59469 52
12.62285 52
12.65282 52
12.68615 52
12.71312 52
12.74292 52
12.77488 52
12.80822 52
12.83788 52
12.86662 52
12.89599 52
12.92623 52
12.95957 52
12.99058 52
13.01757 52
13.04632 52
13.07371 52
13.10163 52
13.13322 52
13.16304 52
13.19129 52
13.22024 52
13.24857 52
13.2819 52
13.31158 52
13.34344 52
13.37218 52
13.40029 52
13.43167 52
13.46223 52
13.49146 52
13.52059 52
13.55393 52
13.58469 52
13.61405 52
13.64194 52
13.67198 52
13.69939 52
13.72778 52
13.75585 52
13.78314 52
13.81408 52
13.84637 52
13.87497 52
13.90316 52
13.93099 52
13.96231 52
13.99467 52
14.0241 52
14.05076 52
14.07971 52
14.10734 52
14.13469 52
14.16802 52
14.19596 52
14.22441 52
14.25282 52
14.28158 52
14.31131 52
14.34069 52
14.37403 52
14.4016 52
14.43121 52
14.46371 52
14.49048 52
14.52033 52
14.55074 52
