時間[s] タイヤの舵角[deg]
0 0
0.02 -78
0.05333333 -78
0.08666666 -78
0.12 -78
0.1507989 -78
0.1841322 -78
0.2109601 -78
0.2441577 -78
0.272684 -78
0.3060174 -78
0.3325657 -78
0.365899 -78
0.3926993 -78
0.4219362 -78
0.4548906 -78
0.4882239 -78
0.5165138 -78
0.5476548 -78
0.5741738 -78
0.6034579 -78
0.6317456 -78
0.66027 -78
0.6895959 -78
0.7194138 -78
0.7477359 -78
0.7802536 -78
0.8117226 -78
0.8424707 -78
0.8717661 -78
0.9009993 -78
0.9289088 -78
0.9622421 -78
0.9951063 -78
1.02844 -78
1.061773 -78
1.09365 -78
1.122701 -78
1.156034 -78
1.186491 -78
1.217088 -78
1.24686 -78
1.280193 -78
1.308526 -78
1.339938 -78
1.372148 -78
1.403176 -78
1.432145 -78
1.463305 -78
1.491125 -78
1.524459 -78
1.552217 -78
1.581341 -78
1.610188 -78
1.643522 -78
1.672719 -78
1.701739 -78
1.731312 -78
1.760313 -78
1.793647 -78
1.825192 -78
1.855942 -78
1.886308 -78
1.915531 -78
1.945799 -78
1.975666 -78
2.004462 -78
2.031574 -78
2.06304 -78
2.096374 -78
2.129707 -78
2.16304 -78
2.196374 -78
2.229707 -78
2.26304 -78
2.289784 -78
2.31989 -78
2.348425 -78
2.381759 -78
2.413833 -78
2.442137 -78
2.474437 -78
2.504353 -78
2.537687 -78
2.567667 -78
2.599404 -78
2.63058 -78
2.661421 -78
2.694754 -78
2.723025 -78
2.756358 -78
2.786879 -78
2.81959 -78
2.852923 -78
2.885742 -78
2.914129 -78
2.944855 -78
2.978189 -78
3.011522 -78
3.044856 -78
3.073055 -78
3.106389 -78
3.139722 -78
3.168791 -78
3.198807 -78
3.228073 -78
3.259937 -78
3.29327 -78
3.323649 -78
3.356059 -78
3.387752 -78
3.41693 -78
3.450264 -78
3.479028 -78
3.506446 -78
3.537951 -78
3.567906 -78
3.601239 -78
3.63119 -78
3.658443 -78
3.687862 -78
3.715423 -78
3.748756 -78
3.782089 -78
3.815423 -78
3.844902 -78
3.876247 -78
3.90958 -78
3.942914 -78
3.971528 -78
4.004053 -78
4.037386 -78
4.07072 -78
4.100267 -78
4.1336 -78
4.166934 -78
4.200267 -78
4.2336 -78
4.266933 -78
4.300267 -78
4.332572 -78
4.363018 -78
4.396351 -78
4.424173 -78
4.455896 -78
4.484469 -78
4.517632 -78
4.550966 -78
4.584299 -78
4.616882 -78
4.64765 -78
4.678695 -78
4.712029 -78
4.741963 -78
4.775297 -78
4.80863 -78
4.839318 -78
4.872652 -78
4.902307 -78
4.934814 -78
4.966456 -78
4.994798 -78
5.028131 -78
5.059675 -78
5.090742 -78
5.119897 -78
5.149042 -78
5.182375 -78
5.213916 -78
5.24725 -78
5.277337 -78
5.31067 -78
5.344003 -78
5.373731 -78
5.404033 -78
5.437366 -78
5.467898 -78
5.501232 -78
5.534565 -78
5.564595 -78
5.596769 -78
5.627551 -78
5.660884 -78
5.692786 -78
5.723742 -78
5.755319 -78
5.788652 -78
5.821985 -78
5.854562 -78
5.884141 -78
5.917475 -78
5.94725 -78
5.980584 -78
6.012063 -74
6.042938 -74
6.071842 -61
6.105175 -61
6.138508 -30
6.171842 4
6.202803 26
6.233032 26
6.26476 30
6.298093 26
6.326902 26
6.357852 21
6.386818 13
6.420151 13
6.453485 4
6.483546 -13
6.516879 -13
6.547382 -26
6.575244 -26
6.608577 -39
6.63809 -56
6.669762 -74
6.700989 -74
6.732044 -83
6.765378 -83
6.796156 -83
6.825737 -78
6.855943 -65
6.889277 -65
6.92261 -43
6.955943 -26
6.988648 -8
7.016563 -8
7.047349 -4
7.080682 -4
7.114016 -4
7.142935 -4
7.175112 -4
7.208152 -4
7.241486 -4
7.268805 -4
7.299762 -4
7.3288 -4
7.358403 -4
7.391736 -4
7.422451 -4
7.455784 -4
7.484927 -4
7.513867 -4
7.547201 -4
7.575904 -4
7.609237 -4
7.636706 -4
7.665885 -4
7.699218 -4
7.728527 -4
7.761811 -4
7.790747 -4
7.819333 -4
7.852666 -4
7.886 -4
7.919333 -4
7.951135 -4
7.980844 -4
8.014178 -4
8.044406 -4
8.075179 -4
8.105391 -4
8.138723 -4
8.172057 -4
8.199172 -4
8.232505 -4
8.261333 -4
8.293396 -4
8.32673 -4
8.360063 -4
8.391218 -4
8.421918 -4
8.452228 -4
8.48556 -4
8.515512 -4
8.546528 -4
8.574731 -4
8.608064 -4
8.641397 -4
8.671741 -4
8.699777 -4
8.733109 -4
8.761804 -4
