時間[s] タイヤの舵角[deg]
0 0
0.02 8
0.05333333 8
0.08666666 8
0.12 8
0.1484557 8
0.181789 8
0.2084809 8
0.2418143 8
0.269558 8
0.2973883 8
0.3252811 8
0.3525248 8
0.3834774 8
0.4116644 8
0.4379379 8
0.46527 8
0.4939715 8
0.5219862 8
0.5497532 8
0.5776744 8
0.6063933 8
0.6347923 8
0.6631224 8
0.6914216 8
0.7192014 8
0.7472478 8
0.7759309 8
0.8067312 8
0.8346403 8
0.8633226 8
0.8966559 8
0.9299892 8
0.9616116 8
0.9901556 8
1.018949 8
1.048731 8
1.081109 8
1.111197 8
1.140817 8
1.171167 8
1.200944 8
1.229631 8
1.258533 8
1.28705 8
1.316727 8
1.348693 8
1.377007 8
1.408581 8
1.438345 8
1.466709 8
1.495888 8
1.524204 8
1.551151 8
1.581526 8
1.610825 8
1.638134 8
1.66572 8
1.693649 8
1.723371 8
1.750348 8
1.781956 8
1.812428 8
1.840827 8
1.868236 8
1.898295 8
1.926124 8
1.957604 8
1.983667 8
2.017001 8
2.044421 8
2.077755 8
2.10669 8
2.134102 8
2.162201 8
2.191638 8
2.224972 8
2.252939 8
2.28242 8
2.310251 8
2.338788 8
2.36663 8
2.394981 8
2.423439 8
2.450339 8
2.478432 8
2.510074 8
2.540066 8
2.568688 8
2.598811 8
2.625905 8
2.654814 8
2.681169 8
2.709186 8
2.738491 8
2.765343 8
2.79509 8
2.82325 8
2.852718 8
2.879497 8
2.90599 8
2.934509 8
2.962258 8
2.994027 8
3.025106 8
3.058439 8
3.085882 8
3.114352 8
3.140347 8
3.169906 8
3.199042 8
3.224833 8
3.253037 8
3.282231 8
3.315564 8
3.343149 8
3.371033 8
3.401444 8
3.431619 8
3.462971 8
3.490833 8
3.521388 8
3.548589 8
3.576876 8
3.60806 8
3.636446 8
3.668274 8
3.696802 8
3.725003 8
3.753439 8
3.78485 8
3.815661 8
3.845325 8
3.875411 8
3.906513 8
3.936859 8
3.967289 8
3.99803 8
4.028775 8
4.056862 8
4.090196 8
4.120966 8
4.150477 8
4.181805 8
4.208494 8
4.241827 8
4.271811 8
4.303149 8
4.329364 8
4.362698 8
4.393758 8
4.420844 8
4.447388 8
4.480647 8
4.511254 8
4.537321 8
4.565057 8
4.594097 8
4.62743 8
4.660764 8
4.68812 8
4.721454 8
4.754787 8
4.78812 8
4.821454 8
4.854787 8
4.887816 8
4.915201 8
4.941262 8
4.968258 8
4.995715 8
5.027946 8
5.06128 8
5.093636 8
5.126969 8
5.160303 8
5.186134 8
5.218878 8
5.250311 8
5.283644 8
5.312232 8
5.340997 8
5.37376 8
5.407093 8
5.436153 8
5.469486 8
5.50282 8
5.531196 8
5.563677 8
5.59701 8
5.630343 8
5.661563 8
5.688318 8
5.71665 8
5.747371 8
5.776907 8
5.804424 8
5.837758 8
5.86753 8
5.894391 8
5.9224 8
5.952508 8
5.980132 8
6.013465 8
6.041685 8
6.070869 8
6.103615 8
6.131104 8
6.164365 8
6.197699 8
6.229551 8
6.257768 8
6.291102 8
6.324435 8
6.357769 8
6.390067 8
6.421786 8
6.450874 8
6.478317 8
6.504325 8
6.531399 8
6.560204 8
6.587739 8
6.616084 8
6.642283 8
6.670145 8
6.70023 8
6.727377 8
6.759157 8
6.788057 8
6.816017 8
6.842806 8
6.869074 8
6.898675 8
6.929395 8
6.956519 8
6.989242 8
7.017973 8
7.04611 8
7.073216 8
7.099446 8
7.127717 8
7.157078 8
7.187106 8
7.217729 8
7.250057 8
7.283391 8
7.316724 8
7.343904 8
7.373062 8
7.4015 8
7.428954 8
7.455297 8
7.484264 8
7.514899 8
7.543104 8
7.571987 8
7.600608 8
7.630796 8
7.664129 8
7.692609 8
7.721845 8
7.755178 8
7.788511 8
7.815323 8
7.848657 8
7.879864 8
7.910024 8
7.939412 8
7.970894 8
8.002477 8
8.029883 8
8.057219 8
8.086737 8
8.12007 8
8.147589 8
8.17892 8
8.212254 8
8.240473 8
8.269135 8
8.298183 8
8.327849 8
8.357282 8
8.385138 8
8.412391 8
8.442739 8
8.471819 8
8.499744 8
8.528719 8
8.560329 8
8.588823 8
8.616964 8
8.644326 8
8.673463 8
8.701784 8
8.731956 8
8.762439 8
8.794013 8
8.825681 8
8.856822 8
8.885041 8
8.91458 8
8.945091 8
8.973774 8
9.000973 8
9.030464 8
9.05897 8
9.084887 8
9.111918 8
9.14177 8
9.175103 8
9.204597 8
9.232306 8
9.265639 8
9.29349 8
9.320089 8
9.351528 8
9.382707 8
9.41604 8
9.449374 8
9.482707 8
9.516041 8
9.549374 8
9.579634 8
9.605985 8
9.637258 8
9.665082 8
9.692736 8
9.720879 8
9.751521 8
9.778934 8
9.812266 8
9.8456 8
9.878933 8
9.90941 8
9.937734 8
9.968101 8
9.998839 8
10.03217 8
10.05991 8
10.08848 8
10.11931 8
10.14704 8
10.18038 8
10.20778 8
10.239 8
10.26833 8
10.2999 8
10.33323 8
10.36364 8
10.39358 8
10.42111 8
10.45031 8
10.48364 8
10.51104 8
10.54037 8
10.57274 8
10.60607 8
10.63941 8
10.66869 8
10.69664 8
10.72657 8
10.75602 8
10.78935 8
10.81645 8
10.84731 8
10.87842 8
10.90628 8
10.93961 8
10.97295 8
11.0048 8
11.0319 8
11.06392 8
11.09725 8
11.13058 8
11.16392 8
11.19725 8
11.22724 8
11.26002 8
11.28807 8
11.31616 8
11.34759 8
11.37915 8
11.40706 8
11.43456 8
11.46789 8
11.50122 8
11.53456 8
11.56789 8
11.60022 8
11.63234 8
11.66284 8
11.69571 8
11.72361 8
11.75196 8
11.77991 8
11.80719 8
11.83553 8
11.86887 8
11.89788 8
11.92562 8
11.95701 8
11.98594 8
12.01402 8
12.04283 8
12.07106 8
12.0997 8
12.12685 8
12.15548 8
12.18652 8
12.21656 8
12.24841 8
12.27833 8
12.30884 8
12.33833 8
12.36771 8
12.39788 8
12.42711 8
12.45584 8
12.48917 8
