時間[s] タイヤの舵角[deg]
0 0
0.02 2153
0.05333333 2153
0.08666666 2153
0.12 2153
0.1508793 2153
0.1842126 2153
0.217546 2153
0.2475397 2153
0.2770981 2153
0.306754 2153
0.3348663 2153
0.3681996 2153
0.4015329 2153
0.4324144 2153
0.4657477 2153
0.4990811 2153
0.5316601 2153
0.5649934 2153
0.5916257 2153
0.6218096 2153
0.6482783 2153
0.6792638 2153
0.7125971 2153
0.7459305 2153
0.7792638 2153
0.8082411 2153
0.8375254 2153
0.869865 2153
0.8961172 2153
0.9271048 2153
0.9580617 2153
0.9913951 2153
1.020358 2153
1.053691 2153
1.086047 2153
1.115084 2153
1.148417 2153
1.181143 2153
1.209597 2153
1.241436 2153
1.271129 2153
1.301005 2153
1.330881 2153
1.361966 2153
1.395299 2153
1.426256 2153
1.459326 2153
1.48993 2153
1.518322 2153
1.549756 2153
1.578479 2153
1.609351 2153
1.642684 2153
1.672422 2153
1.703154 2153
1.735996 2153
1.76616 2153
1.799493 2153
1.830696 2153
1.861032 2153
1.888236 2153
1.91739 2153
1.945403 2153
1.975286 2153
2.002477 2153
2.03036 2153
2.060437 2136
2.091401 2101
2.118635 2101
2.146545 2070
2.176478 2070
2.209811 2031
2.243144 1996
2.272304 1996
2.299406 1957
2.330263 1917
2.358456 1917
2.389621 1865
2.416962 1865
2.446285 1813
2.475292 1813
2.507871 1765
2.536056 1712
2.56939 1712
2.599809 1673
2.629019 1629
2.656501 1629
2.686698 1594
2.715329 1594
2.744886 1564
2.771936 1564
2.802284 1537
2.831087 1511
2.862383 1511
2.890166 1494
2.919922 1494
2.950113 1476
2.978945 1454
3.005729 1454
3.034578 1433
3.064923 1433
3.096123 1415
3.124118 1415
3.152324 1398
3.184959 1380
3.215793 1380
3.248523 1345
3.277453 1319
3.304133 1319
3.337466 1288
3.364371 1288
3.394418 1271
3.427751 1253
3.460024 1253
3.492393 1240
3.524754 1240
3.554511 1236
3.58477 1227
3.615437 1227
3.64877 1214
3.682103 1197
3.71289 1197
3.743361 1188
3.774475 1179
3.801069 1179
3.834403 1179
3.867391 1179
3.896619 1175
3.927027 1175
3.96036 1175
3.99072 1175
4.020504 1175
4.048364 1175
4.081697 1175
4.112982 1175
4.14338 1175
4.176713 1175
4.209389 1175
4.238301 1175
4.269414 1175
4.297523 1175
4.328785 1175
4.358489 1175
4.388921 1175
4.416034 1175
4.446473 1175
4.479517 1175
4.5086 1175
4.537245 1175
4.565668 1175
4.592712 1175
4.626046 1175
4.654065 1175
4.685472 1175
4.715775 1175
4.748044 1175
4.776892 1175
4.810225 1175
4.840691 1175
4.873909 1175
4.901809 1175
4.933187 1170
4.961468 1170
4.991152 1153
5.018394 1114
5.051728 1114
5.081862 1066
5.113211 1009
5.144084 1009
5.176167 956
5.204237 956
5.23757 926
5.267283 900
5.300616 900
5.332597 882
5.363304 878
5.396637 878
5.429223 878
5.45859 878
5.491923 878
5.521354 878
5.552902 878
5.584826 873
5.61816 873
5.645762 873
5.673839 865
5.702153 865
5.730457 860
5.758562 851
5.787073 851
5.819709 847
5.850833 847
5.878168 843
5.908548 843
5.935881 843
5.963891 843
5.997224 843
6.028489 843
6.056543 843
6.087923 843
6.121256 843
6.154279 843
6.183733 843
6.217066 843
6.247005 843
6.276801 843
6.304441 843
6.335305 843
6.36296 843
6.396294 843
6.426163 843
6.458768 838
6.487592 838
6.520925 821
6.551917 786
6.584083 786
6.614926 742
6.645171 690
6.678504 690
6.708474 642
6.736055 642
6.76832 598
6.800531 546
6.829591 546
6.858401 502
6.889212 502
6.918851 463
6.952184 406
6.981046 406
7.014091 353
7.042673 288
7.074417 288
7.105112 244
7.135762 244
7.169096 209
7.200322 196
7.230518 196
7.260417 196
7.288043 196
7.320358 196
7.350159 196
7.382679 196
7.416012 192
7.449346 187
7.479247 187
7.51258 179
7.545914 174
7.575591 174
7.604966 157
7.635875 135
7.664621 135
7.693795 113
7.72265 113
7.755133 87
7.788466 69
7.820733 69
7.854067 48
7.8874 34
7.920733 34
7.953996 21
7.987329 13
8.019457 8
8.05032 8
8.083653 8
8.113768 8
8.145864 8
8.175229 8
8.208562 8
8.241359 8
8.274693 8
8.301373 8
8.331152 8
8.357372 8
8.390705 8
8.421549 8
8.451665 8
8.480403 8
8.5123 8
8.541056 8
8.570202 8
8.599599 8
8.62915 8
8.66006 8
8.689711 8
8.718396 8
8.751382 8
8.784715 8
8.814331 8
