時間[s] タイヤの舵角[deg]
0 0
0.02 244
0.05333333 244
0.08666666 244
0.12 244
0.1524469 244
0.1857802 244
0.2165903 244
0.2499237 244
0.2825456 244
0.3144867 244
0.343587 244
0.3769203 244
0.4086519 244
0.4405746 244
0.4718937 244
0.5002731 244
0.5336064 244
0.5625544 244
0.5924835 244
0.6258168 244
0.6591502 244
0.6920327 244
0.7222384 244
0.7516719 244
0.7825438 244
0.8158771 244
0.8446026 244
0.8734782 244
0.9068115 244
0.9366171 244
0.9671826 244
0.9972392 244
1.030573 244
1.063906 244
1.093877 244
1.12721 244
1.160544 244
1.190691 244
1.224024 244
1.257357 244
1.290691 244
1.320733 244
1.354066 244
1.387399 244
1.420733 244
1.454066 244
1.484494 244
1.512018 244
1.545351 244
1.575305 244
1.608638 244
1.636649 244
1.667047 244
1.70038 244
1.72833 244
1.756675 244
1.78759 244
1.820923 244
1.854256 244
1.882671 244
1.916004 244
1.9461 240
1.979434 235
2.012767 235
2.045813 231
2.079146 227
2.109732 227
2.139515 227
2.172848 227
2.206181 227
2.235948 227
2.26646 227
2.298172 227
2.331506 227
2.364839 227
2.394037 227
2.42737 227
2.460703 227
2.494037 227
2.522629 227
2.552634 227
2.583286 227
2.616619 227
2.649952 227
2.681404 227
2.712461 227
2.745005 227
2.778339 227
2.811672 227
2.845006 227
2.875093 227
2.905365 227
2.938698 227
2.972031 227
3.005364 227
3.036778 227
3.066543 227
3.098232 227
3.131565 227
3.164312 227
3.197071 227
3.229301 227
3.258427 227
3.291761 227
3.323204 227
3.356537 227
3.38987 227
3.422263 227
3.455596 227
3.48893 227
3.518563 227
3.547361 227
3.579274 227
3.612607 227
3.64336 227
3.675695 227
3.709028 227
3.739138 227
3.772471 227
3.802071 227
3.834413 227
3.86758 227
3.900913 227
3.934246 227
3.963538 227
3.994468 227
4.023667 227
4.057 227
4.090333 227
4.123667 227
4.152668 227
4.185612 227
4.218278 227
4.251611 227
4.282143 227
4.315476 227
4.347411 227
4.380744 227
4.414078 227
4.443885 227
4.477219 227
4.510552 227
4.543167 227
4.5765 227
4.609833 227
4.643167 227
4.6765 227
4.709834 227
4.743167 227
4.773316 227
4.801714 227
4.830651 227
4.86067 227
4.894003 227
4.924891 227
4.953791 227
4.98465 227
5.014848 227
5.048182 227
5.0811 227
5.111309 227
5.144188 227
5.172925 227
5.206259 227
5.2389 227
5.270352 227
5.303685 227
5.334017 227
5.367351 227
5.398783 227
5.429987 227
5.458949 227
5.489439 227
5.522772 227
5.554354 227
5.585999 227
5.619333 227
5.650366 227
5.6837 227
5.714075 227
5.747261 227
5.780594 227
5.809527 227
5.84286 227
5.873452 227
5.906703 227
5.938203 227
5.96925 227
6.002583 227
6.035916 227
6.066005 227
6.092912 227
6.124253 227
6.157587 227
6.187755 227
6.218526 227
6.251859 227
6.282743 227
6.316076 227
6.346914 227
6.378408 227
6.411741 227
6.44268 227
6.476014 227
6.506166 227
6.539445 227
6.571041 227
6.601727 227
6.635061 227
6.668394 227
6.697431 227
6.727436 227
6.758509 227
6.791842 227
6.825175 227
6.858509 227
6.891842 227
6.925176 227
6.958509 227
6.989632 227
7.021918 227
7.055032 227
7.087035 227
7.120368 227
7.150793 227
7.184085 227
7.213799 227
7.247132 227
7.280465 227
7.310573 227
7.342362 227
7.372526 227
7.404872 227
7.438206 227
7.469423 227
7.502757 227
7.535687 227
7.569021 227
7.602354 227
7.635338 227
7.668391 227
7.701724 227
7.731503 227
7.764836 227
7.797089 227
7.826035 227
7.854118 227
7.887451 227
7.920784 227
7.952181 227
7.981842 227
8.010677 227
8.04401 227
8.077344 227
8.110677 227
8.139485 227
8.170105 227
8.200384 227
8.233718 227
8.262885 227
8.296219 227
8.325584 227
8.356243 227
8.389576 227
8.419544 227
8.448885 227
8.476693 227
8.505775 227
8.539109 227
8.56897 227
8.598145 227
8.626519 227
8.659853 227
8.693186 227
8.722773 227
8.755002 227
8.785227 227
8.817497 227
8.85083 227
8.880155 227
8.911555 227
8.944888 227
8.973597 227
9.00693 227
9.040263 227
9.073597 227
9.10693 227
9.139805 227
9.168966 227
9.197153 227
9.225904 227
9.259237 227
9.291961 227
9.323024 227
9.351682 227
9.379164 227
9.412498 227
9.442505 227
9.473058 227
9.501535 227
9.530972 227
9.564304 227
9.597638 227
9.630971 227
9.660072 227
9.693405 227
9.726739 227
9.760072 227
9.788888 227
9.818071 227
9.847713 227
9.881046 227
9.913101 227
9.946363 227
9.978047 227
10.00669 227
10.04003 227
10.07336 227
10.10083 227
10.13416 227
10.16596 227
10.1993 227
10.23171 227
10.26504 227
10.29838 227
10.33134 227
10.36468 227
10.39552 227
10.42738 227
10.46071 227
10.49405 227
10.52738 227
10.55889 227
10.59223 227
