時間[s] タイヤの舵角[deg]
0 0
0.02 2381
0.05333333 2381
0.08666666 2381
0.12 2381
0.1500681 2381
0.1832265 2381
0.2165598 2381
0.246941 2381
0.2799242 2381
0.3099535 2381
0.3432868 2381
0.3766202 2381
0.4078373 2381
0.4387023 2381
0.4702013 2381
0.4988288 2381
0.5268879 2381
0.5545461 2381
0.5823289 2381
0.6118707 2381
0.6425984 2381
0.6759317 2381
0.7042248 2381
0.7375581 2381
0.7708915 2381
0.7993506 2381
0.8319654 2381
0.8633574 2381
0.8925024 2381
0.9258357 2381
0.959169 2381
0.9925024 2381
1.025836 2381
1.055209 2381
1.084683 2381
1.116738 2381
1.147658 2381
1.180992 2381
1.214325 2381
1.245171 2381
1.272897 2381
1.30623 2381
1.337063 2381
1.368963 2381
1.39886 2381
1.428509 2381
1.45631 2381
1.489643 2381
1.519701 2381
1.552771 2381
1.581853 2381
1.612458 2381
1.641742 2381
1.673841 2381
1.703995 2381
1.733059 2381
1.765277 2381
1.79861 2381
1.826274 2381
1.85672 2381
1.890053 2381
1.918905 2381
1.949671 2381
1.978357 2381
2.006744 2381
2.03973 2381
2.069622 2381
2.099832 2381
2.130336 2381
2.160184 2381
2.187743 2381
2.221077 2381
2.252505 2381
2.281672 2381
2.315005 2381
2.348338 2381
2.379692 2381
2.412452 2381
2.445785 2381
2.477978 2381
2.511299 2381
2.544414 2381
2.572819 2381
2.604183 2381
2.635173 2381
2.663609 2381
2.695882 2381
2.726542 2381
2.753413 2381
2.783102 2381
2.813175 2381
2.840576 2381
2.870866 2381
2.904097 2381
2.934376 2381
2.967709 2381
3.001043 2381
3.034376 2381
3.06635 2381
3.095881 2381
3.126021 2381
3.155859 2381
3.189192 2381
3.220501 2381
3.250601 2381
3.283934 2381
3.311972 2381
3.345305 2381
3.378638 2381
3.40755 2381
3.436756 2381
3.466717 2381
3.496747 2381
3.53008 2381
3.563414 2381
3.590961 2381
3.624295 2381
3.656004 2381
3.685505 2381
3.716178 2381
3.748016 2381
3.778517 2381
3.809767 2381
3.841335 2381
3.87289 2381
3.902127 2381
3.930779 2381
3.961204 2381
3.993129 2381
4.024466 2381
4.054499 2381
4.084851 2381
4.113533 2381
4.141955 2381
4.171911 2381
4.205245 2381
4.234655 2381
4.267988 2381
4.299037 2381
4.325818 2381
4.354747 2381
4.385699 2381
4.41315 2381
4.442748 2381
4.474191 2381
4.505795 2381
4.538489 2381
4.570897 2381
4.60423 2381
4.634454 2381
4.667237 2381
4.697904 2381
4.727668 2381
4.758021 2381
4.791354 2381
4.820311 2381
4.852438 2381
4.885431 2381
4.916408 2381
4.943167 2381
4.970881 2381
5.003819 2381
5.035437 2381
5.067874 2381
5.097898 2381
5.130846 2381
5.161504 2381
5.192675 2381
5.226008 2381
5.253396 2381
