時間[s] タイヤの舵角[deg]
0 0
0.02 8
0.05333333 8
0.08666666 8
0.1190577 8
0.1485668 8
0.1819001 8
0.2141577 8
0.2418365 8
0.2706284 8
0.3006162 8
0.3281654 8
0.3559884 8
0.3884353 8
0.4179852 8
0.4469988 8
0.4748085 8
0.5050836 8
0.5376032 8
0.5667817 8
0.59549 8
0.6264682 8
0.6598015 8
0.6926316 8
0.7221233 8
0.751371 8
0.782061 8
0.8092108 8
0.8384926 8
0.8718259 8
0.9019831 8
0.9308494 8
0.9584011 8
0.9917344 8
1.025068 8
1.058401 8
1.091277 8
1.119583 8
1.146937 8
1.173204 8
1.202256 8
1.235589 8
1.262938 8
1.289933 8
1.317741 8
1.346935 8
1.376152 8
1.401798 8
1.42988 8
1.459534 8
1.491702 8
1.521402 8
1.548802 8
1.577248 8
1.605047 8
1.631811 8
1.661106 8
1.689462 8
1.717925 8
1.749545 8
1.775609 8
1.804933 8
1.838267 8
1.86685 8
1.894145 8
1.922868 8
1.95197 8
1.979557 8
2.005749 8
2.037352 8
2.065515 8
2.093932 8
2.127265 8
2.157732 8
2.191066 8
2.224399 8
2.257732 8
2.291066 8
2.319251 8
2.34878 8
2.381769 8
2.409726 8
2.437687 8
2.465106 8
2.491674 8
2.519241 8
2.552574 8
2.581378 8
2.608768 8
2.637581 8
2.66755 8
2.700883 8
2.73001 8
2.76066 8
2.790565 8
2.818993 8
2.852326 8
2.88566 8
2.914975 8
2.944979 8
2.972601 8
3.005934 8
3.034476 8
3.061572 8
3.088783 8
3.121448 8
3.154744 8
3.182548 8
3.210645 8
3.239156 8
3.27249 8
3.305823 8
3.332995 8
3.36185 8
3.390161 8
3.416604 8
3.442912 8
3.476245 8
3.504441 8
3.530401 8
3.556698 8
3.585635 8
3.615735 8
3.649068 8
3.67642 8
3.707187 8
3.736586 8
3.769212 8
3.802546 8
3.832372 8
3.865705 8
3.89332 8
3.923059 8
3.956392 8
3.984529 8
4.012232 8
4.039124 8
4.070522 8
4.098555 8
4.131888 8
4.160778 8
4.190725 8
4.224059 8
4.253655 8
4.286989 8
4.318265 8
4.350385 8
4.377213 8
4.409218 8
4.442551 8
4.472605 8
4.499543 8
4.528039 8
4.556135 8
4.585354 8
4.618687 8
4.646582 8
4.675862 8
4.704574 8
4.733624 8
4.766034 8
4.799367 8
4.82999 8
4.858293 8
4.886374 8
4.919707 8
4.951831 8
4.978358 8
5.006799 8
5.038548 8
5.071882 8
5.103437 8
5.131087 8
5.159703 8
5.188653 8
5.221022 8
5.248467 8
5.276834 8
5.306149 8
5.333842 8
5.360983 8
5.394316 8
5.424559 8
5.452897 8
5.481219 8
5.510956 8
5.544289 8
5.572486 8
5.601232 8
5.630882 8
5.660066 8
5.69258 8
5.720564 8
5.750086 8
5.780317 8
5.81179 8
5.845124 8
5.876531 8
5.90844 8
5.935074 8
5.963771 8
5.997104 8
6.026959 8
6.059637 8
6.087044 8
6.116318 8
6.149652 8
6.176756 8
6.207334 8
6.238603 8
6.26745 8
6.300783 8
6.329206 8
6.358252 8
6.386457 8
6.418735 8
6.452068 8
6.482525 8
6.511963 8
6.541737 8
6.569738 8
6.603071 8
6.633585 8
6.662146 8
6.691845 8
6.723088 8
6.756421 8
6.789754 8
6.816991 8
6.846956 8
6.876325 8
6.909021 8
6.936285 8
6.966363 8
6.995173 8
7.022867 8
7.050846 8
7.084179 8
7.11387 8
7.141175 8
7.171138 8
7.200617 8
7.233582 8
7.262784 8
7.290745 8
7.322932 8
7.353214 8
7.386548 8
7.417953 8
7.448949 8
7.480005 8
7.510005 8
7.543339 8
7.575228 8
7.606391 8
7.63447 8
7.663045 8
7.696378 8
7.729557 8
7.761865 8
7.794279 8
7.822753 8
7.856087 8
7.888365 8
7.918849 8
7.94936 8
7.978114 8
8.011447 8
8.039734 8
8.070026 8
8.098742 8
8.125374 8
8.152654 8
8.185987 8
8.216437 8
8.244067 8
8.277399 8
8.307211 8
8.340545 8
8.369052 8
8.399336 8
8.428267 8
8.459397 8
8.491275 8
8.518856 8
8.54763 8
8.576012 8
8.60372 8
8.631719 8
8.665052 8
8.696775 8
8.724901 8
8.754214 8
8.784793 8
8.818126 8
8.846415 8
8.873462 8
8.903912 8
8.933929 8
8.966882 8
8.994826 8
9.028008 8
9.056922 8
9.086216 8
9.119549 8
9.150105 8
9.178703 8
9.205391 8
9.232416 8
9.26575 8
9.293664 8
9.320066 8
9.349341 8
9.378681 8
9.408187 8
9.441521 8
9.472957 8
9.502152 8
9.534166 8
9.5675 8
9.600833 8
9.634167 8
9.6675 8
9.695002 8
9.727354 8
9.760687 8
9.790307 8
9.821702 8
9.847919 8
9.879373 8
9.912706 8
9.945089 8
9.971578 8
10.00291 8
10.03624 8
10.06958 8
10.09744 8
10.12533 8
10.1548 8
10.18377 8
10.21711 8
10.24555 8
10.27542 8
10.30325 8
10.33039 8
10.36339 8
10.39672 8
10.42871 8
10.45627 8
10.48502 8
10.51353 8
10.54686 8
10.57718 8
10.60691 8
10.63674 8
10.66404 8
10.69737 8
10.72862 8
10.75904 8
10.78689 8
10.81452 8
10.84786 8
10.87703 8
10.90485 8
10.93819 8
10.96719 8
11.00052 8
11.02781 8
11.05519 8
11.08472 8
11.11269 8
11.14267 8
11.17601 8
11.20726 8
11.24024 8
11.26995 8
11.29912 8
11.33245 8
11.36228 8
11.39137 8
11.41883 8
11.45216 8
11.48549 8
11.51379 8
11.54114 8
11.57092 8
11.59933 8
11.6281 8
11.66144 8
11.69322 8
11.72218 8
11.74955 8
11.7793 8
11.81263 8
11.84083 8
11.86977 8
11.90104 8
11.93438 8
11.96771 8
11.99615 8
12.02258 8
12.05089 8
12.08088 8
12.10869 8
12.14202 8
12.17136 8
12.20409 8
12.23307 8
12.26156 8
12.29489 8
12.32495 8
12.35212 8
12.37908 8
12.41241 8
12.44574 8
12.47821 8
12.50707 8
12.53432 8
12.56329 8
12.59662 8
12.62669 8
12.65748 8
12.68711 8
12.71444 8
12.74777 8
12.78111 8
12.80887 8
12.83858 8
12.8671 8
12.90043 8
12.93024 8
12.95677 8
12.98386 8
13.01239 8
13.04118 8
13.07359 8
13.10171 8
13.13082 8
13.16416 8
13.19749 8
13.23082 8
13.26253 8
13.29122 8
13.32068 8
13.35105 8
13.38438 8
13.41249 8
13.43923 8
13.46751 8
13.49551 8
13.52885 8
13.55706 8
13.58856 8
13.62073 8
13.64966 8
13.68299 8
13.71001 8
13.73868 8
13.77027 8
13.79908 8
13.83241 8
13.86574 8
13.89631 8
13.92533 8
13.95616 8
13.98949 8
14.01786 8
14.04561 8
14.07654 8
14.10445 8
14.13778 8
14.16549 8
14.1955 8
14.22555 8
14.25739 8
14.29072 8
14.3199 8
14.35102 8
14.3816 8
14.41055 8
14.44389 8
14.47337 8
14.50327 8
14.53102 8
14.55808 8
14.58816 8
14.62149 8
14.65041 8
14.68309 8
14.71374 8
14.7457 8
14.77903 8
14.80693 8
14.83765 8
14.86556 8
14.89571 8
14.92905 8
14.95811 8
14.98599 8
15.01569 8
15.04523 8
15.07856 8
15.10815 8
15.13848 8
15.1655 8
15.19472 8
15.22805 8
15.26 8
15.28655 8
15.31588 8
15.34478 8
15.3775 8
15.40568 8
15.43901 8
15.46797 8
15.49931 8
15.53264 8
15.56456 8
15.59449 8
15.62416 8
15.65749 8
15.69083 8
15.72342 8
15.7503 8
15.77724 8
15.80518 8
15.83851 8
15.86605 8
15.89335 8
15.92042 8
15.94838 8
15.9777 8
16.01103 8
16.04155 8
16.07279 8
16.10073 8
16.13257 8
16.16591 8
16.19554 8
16.22193 8
16.25526 8
16.28452 8
16.31785 8
16.34529 8
16.37285 8
16.40207 8
16.4354 8
16.46873 8
16.50207 8
16.53113 8
16.56446 8
16.59149 8
16.61855 8
16.65188 8
16.67987 8
16.71294 8
16.73991 8
16.76868 8
16.79812 8
16.82601 8
16.85359 8
16.88647 8
16.91573 8
16.94367 8
16.97196 8
17.00529 8
17.03863 8
17.06545 8
17.09331 8
17.12308 8
17.15137 8
17.17923 8
17.21225 8
17.24135 8
17.27007 8
17.29767 8
17.3265 8
17.35639 8
17.38973 8
17.41826 8
17.44861 8
17.47851 8
17.51184 8
17.54518 8
17.5735 8
17.60295 8
17.63434 8
17.66543 8
17.69876 8
17.72908 8
17.75846 8
17.78663 8
17.81646 8
17.84979 8
17.88232 8
17.91554 8
17.94221 8
17.97059 8
18.00392 8
18.03079 8
18.05725 8
18.08484 8
18.11451 8
18.14203 8
18.17537 8
18.20338 8
18.23293 8
18.26004 8
18.29208 8
18.32541 8
18.3557 8
18.38585 8
18.41385 8
18.4439 8
18.47723 8
18.50723 8
18.53721 8
18.57015 8
18.60348 8
18.63681 8
18.66488 8
18.69337 8
18.72076 8
18.74756 8
18.7809 8
18.81284 8
18.84106 8
18.86848 8
18.89503 8
18.92778 8
18.95842 8
18.98535 8
19.01131 8
19.03852 8
19.06738 8
19.10071 8
19.12933 8
19.15823 8
19.19073 8
19.21745 8
19.24949 8
19.27884 8
