時間[s] 起点x 起点y 起点z ベクトルx ベクトルy ベクトルz
0 0 1.97 0.3 0 0 1
0.02 0 1.97 0.3 0 0 1
0.05333333 0 1.97 0.3 0 0 1
0.08551963 0 1.97 0.3 0 0 1
0.09701073 0 1.97 0.3 0 0 1
0.105522 0 1.97 0.3 0 0 1
0.1136935 0 1.97 0.3 0 0 1
0.1226799 0 1.97 0.3 0 0 1
0.130103 0 1.97 0.3 0 0 1
0.1377692 0 1.97 0.3 0 0 1
0.1450081 0 1.97 0.3 0 0 1
0.1530889 0 1.97 0.3 0 0 1
0.1603853 0 1.97 0.3 0 0 1
0.167446 0 1.97 0.3 0 0 1
0.1767891 0 1.97 0.3 0 0 1
0.1834637 0 1.97 0.3 0 0 1
0.1917582 0 1.97 0.3 0 0 1
0.1990551 0 1.97 0.3 0 0 1
0.2069012 0 1.97 0.3 0 0 1
0.2139261 0 1.97 0.3 0 0 1
0.2225716 0 1.97 0.3 0 0 1
0.2300714 0 1.97 0.3 0 0 1
0.2380633 0 1.97 0.3 0 0 1
0.246065 0 1.97 0.3 0 0 1
0.2526192 0 1.97 0.3 0 0 1
0.2627229 0 1.97 0.3 0 0 1
0.2701254 0 1.97 0.3 0 0 1
0.2771058 0 1.97 0.3 0 0 1
0.2840463 0 1.97 0.3 0 0 1
0.2924184 0 1.97 0.3 0 0 1
0.3002229 0 1.97 0.3 0 0 1
0.3076964 0 1.97 0.3 0 0 1
0.3140186 0 1.97 0.3 0 0 1
0.3211079 0 1.97 0.3 0 0 1
0.3285375 0 1.97 0.3 0 0 1
0.3350238 0 1.97 0.3 0 0 1
0.342119 0 1.97 0.3 0 0 1
0.3486022 0 1.97 0.3 0 0 1
0.3554921 0 1.97 0.3 0 0 1
0.3623256 0 1.97 0.3 0 0 1
0.3688038 0 1.97 0.3 0 0 1
0.3763443 0 1.97 0.3 0 0 1
0.3823024 0 1.97 0.3 0 0 1
0.3898045 0 1.97 0.3 0 0 1
0.3964866 0 1.97 0.3 0 0 1
0.4040222 0 1.97 0.3 0 0 1
0.4110883 0 1.97 0.3 0 0 1
0.4183611 0 1.97 0.3 0 0 1
0.4256735 0 1.97 0.3 0 0 1
0.4319541 0 1.97 0.3 0 0 1
0.4388062 0 1.97 0.3 0 0 1
0.4456003 0 1.97 0.3 0 0 1
0.4518139 0 1.97 0.3 0 0 1
0.4585443 0 1.97 0.3 0 0 1
0.4678433 0 1.97 0.3 0 0 1
0.4751666 0 1.97 0.3 0 0 1
0.4820781 0 1.97 0.3 0 0 1
0.4891396 0 1.97 0.3 0 0 1
0.4956054 0 1.97 0.3 0 0 1
0.5018571 0 1.97 0.3 0 0 1
0.5087096 0 1.97 0.3 0 0 1
0.5150605 0 1.97 0.3 0 0 1
0.521521 0 1.97 0.3 0 0 1
0.5289871 0 1.97 0.3 0 0 1
0.5360546 0 1.97 0.3 0 0 1
0.5437203 0 1.97 0.3 0 0 1
0.550351 0 1.97 0.3 0 0 1
0.558192 0 1.97 0.3 0 0 1
0.5643446 0 1.97 0.3 0 0 1
0.5712279 0 1.97 0.3 0 0 1
0.5776007 0 1.97 0.3 0 0 1
0.5840133 0 1.97 0.3 0 0 1
0.5905435 0 1.97 0.3 0 0 1
0.5973784 0 1.97 0.3 0 0 1
0.6048209 0 1.97 0.3 0 0 1
0.6111176 0 1.97 0.3 0 0 1
0.6179543 0 1.97 0.3 0 0 1
0.6247469 0 1.97 0.3 0 0 1
0.6315376 0 1.97 0.3 0 0 1
0.6387368 0 1.97 0.3 0 0 1
0.6451775 0 1.97 0.3 0 0 1
0.6517217 0 1.97 0.3 0 0 1
0.6592036 0 1.97 0.3 0 0 1
0.6681683 0 1.97 0.3 0 0 1
0.6750652 0 1.97 0.3 0 0 1
0.6810669 0 1.97 0.3 0 0 1
0.6873419 0 1.97 0.3 0 0 1
0.6937211 0 1.97 0.3 0 0 1
0.6998161 0 1.97 0.3 0 0 1
0.7066393 0 1.97 0.3 0 0 1
0.7132483 0 1.97 0.3 0 0 1
0.7203906 0 1.97 0.3 0 0 1
0.7271279 0 1.97 0.3 0 0 1
0.7339154 0 1.97 0.3 0 0 1
0.7411333 0 1.97 0.3 0 0 1
0.7485551 0 1.97 0.3 0 0 1
0.7557271 0 1.97 0.3 0 0 1
0.7624992 0 1.97 0.3 0 0 1
0.769399 0 1.97 0.3 0 0 1
0.7768669 0 1.97 0.3 0 0 1
0.783922 0 1.97 0.3 0 0 1
0.7911286 0 1.97 0.3 0 0 1
0.7974014 0 1.97 0.3 0 0 1
0.8046689 0 1.97 0.3 0 0 1
0.8116713 0 1.97 0.3 0 0 1
0.8246656 0 1.97 0.3 0 0 1
0.831036 0 1.97 0.3 0 0 1
0.8378906 0 1.97 0.3 0 0 1
0.8445694 0 1.97 0.3 0 0 1
0.8518054 0 1.97 0.3 0 0 1
0.8595268 0 1.97 0.3 0 0 1
0.8699619 0 1.97 0.3 0 0 1
0.8769875 0 1.97 0.3 0 0 1
0.8836048 0 1.97 0.3 0 0 1
0.8911425 0 1.97 0.3 0 0 1
0.8981428 0 1.97 0.3 0 0 1
0.9060878 0 1.97 0.3 0 0 1
0.9128319 0 1.97 0.3 0 0 1
0.9192336 0 1.97 0.3 0 0 1
0.9265775 0 1.97 0.3 0 0 1
0.9333408 0 1.97 0.3 0 0 1
0.9403129 0 1.97 0.3 0 0 1
0.9475719 0 1.97 0.3 0 0 1
0.9549852 0 1.97 0.3 0 0 1
0.9626549 0 1.97 0.3 0 0 1
0.9715805 0 1.97 0.3 0 0 1
0.9805059 0 1.97 0.3 0 0 1
0.9910986 0 1.97 0.3 0 0 1
0.9999409 0 1.97 0.3 0 0 1
1.009545 0 1.97 0.3 0 0 1
1.019104 0 1.97 0.3 0 0 1
1.03036 0 1.97 0.3 0 0 1
1.03942 0 1.97 0.3 0 0 1
1.048961 0 1.97 0.3 0 0 1
1.05905 0 1.97 0.3 0 0 1
1.067369 0 1.97 0.3 0 0 1
1.077755 0 1.97 0.3 0 0 1
1.086114 0 1.97 0.3 0 0 1
1.094839 0 1.97 0.3 0 0 1
1.103573 0 1.97 0.3 0 0 1
1.110828 0 1.97 0.3 0 0 1
1.11745 0 1.97 0.3 0 0 1
1.124359 0 1.97 0.3 0 0 1
1.13185 0 1.97 0.3 0 0 1
1.139775 0 1.97 0.3 0 0 1
1.146833 0 1.97 0.3 0 0 1
1.15382 0 1.97 0.3 0 0 1
1.160439 0 1.97 0.3 0 0 1
1.166657 0 1.97 0.3 0 0 1
1.173501 0 1.97 0.3 0 0 1
1.180549 0 1.97 0.3 0 0 1
1.187881 0 1.97 0.3 0 0 1
1.194864 0 1.97 0.3 0 0 1
1.202866 0 1.97 0.3 0 0 1
1.210428 0 1.97 0.3 0 0 1
1.217053 0 1.97 0.3 0 0 1
1.224159 0 1.97 0.3 0 0 1
1.230808 0 1.97 0.3 0 0 1
1.237936 0 1.97 0.3 0 0 1
1.244565 0 1.97 0.3 0 0 1
1.251367 0 1.97 0.3 0 0 1
1.258644 0 1.97 0.3 0 0 1
1.265444 0 1.97 0.3 0 0 1
1.27281 0 1.97 0.3 0 0 1
1.28205 0 1.97 0.3 0 0 1
1.290771 0 1.97 0.3 0 0 1
1.297323 0 1.97 0.3 0 0 1
1.304314 0 1.97 0.3 0 0 1
1.311238 0 1.97 0.3 0 0 1
1.318334 0 1.97 0.3 0 0 1
1.326207 0 1.97 0.3 0 0 1
1.333647 0 1.97 0.3 0 0 1
1.342605 0 1.97 0.3 0 0 1
1.350293 0 1.97 0.3 0 0 1
1.358507 0 1.97 0.3 0 0 1
1.366456 0 1.97 0.3 0 0 1
1.373352 0 1.97 0.3 0 0 1
1.38045 0 1.97 0.3 0 0 1
1.387274 0 1.97 0.3 0 0 1
1.394387 0 1.97 0.3 0 0 1
1.401085 0 1.97 0.3 0 0 1
1.408054 0 1.97 0.3 0 0 1
1.414594 0 1.97 0.3 0 0 1
1.421505 0 1.97 0.3 0 0 1
1.428093 0 1.97 0.3 0 0 1
1.435366 0 1.97 0.3 0 0 1
1.442588 0 1.97 0.3 0 0 1
1.450301 0 1.97 0.3 0 0 1
1.45812 0 1.97 0.3 0 0 1
1.465359 0 1.97 0.3 0 0 1
1.472911 0 1.97 0.3 0 0 1
1.481714 0 1.97 0.3 0 0 1
1.488978 0 1.97 0.3 0 0 1
1.495364 0 1.97 0.3 0 0 1
1.502123 0 1.97 0.3 0 0 1
1.509621 0 1.97 0.3 0 0 1
1.516682 0 1.97 0.3 0 0 1
1.524251 0 1.97 0.3 0 0 1
1.53188 0 1.97 0.3 0 0 1
1.539212 0 1.97 0.3 0 0 1
1.547165 0 1.97 0.3 0 0 1
1.555032 0 1.97 0.3 0 0 1
1.562821 0 1.97 0.3 0 0 1
1.571372 0 1.97 0.3 0 0 1
1.580113 0 1.97 0.3 0 0 1
1.587144 0 1.97 0.3 0 0 1
1.593942 0 1.97 0.3 0 0 1
1.600376 0 1.97 0.3 0 0 1
1.607537 0 1.97 0.3 0 0 1
1.614089 0 1.97 0.3 0 0 1
1.621492 0 1.97 0.3 0 0 1
1.628436 0 1.97 0.3 0 0 1
1.635886 0 1.97 0.3 0 0 1
1.64293 0 1.97 0.3 0 0 1
1.649935 0 1.97 0.3 0 0 1
1.657046 0 1.97 0.3 0 0 1
1.663824 0 1.97 0.3 0 0 1
1.672098 0 1.97 0.3 0 0 1
1.678735 0 1.97 0.3 0 0 1
1.68886 0 1.97 0.3 0 0 1
1.695923 0 1.97 0.3 0 0 1
1.703396 0 1.97 0.3 0 0 1
1.711138 0 1.97 0.3 0 0 1
1.718054 0 1.97 0.3 0 0 1
1.725826 0 1.97 0.3 0 0 1
1.733171 0 1.97 0.3 0 0 1
1.740499 0 1.97 0.3 0 0 1
1.747648 0 1.97 0.3 0 0 1
1.755215 0 1.97 0.3 0 0 1
1.762977 0 1.97 0.3 0 0 1
1.769959 0 1.97 0.3 0 0 1
1.77776 0 1.97 0.3 0 0 1
1.784262 0 1.97 0.3 0 0 1
1.791076 0 1.97 0.3 0 0 1
1.797515 0 1.97 0.3 0 0 1
1.804736 0 1.97 0.3 0 0 1
1.812222 0 1.97 0.3 0 0 1
1.819394 0 1.97 0.3 0 0 1
1.826549 0 1.97 0.3 0 0 1
1.833105 0 1.97 0.3 0 0 1
1.840775 0 1.97 0.3 0 0 1
1.848068 0 1.97 0.3 0 0 1
1.855358 0 1.97 0.3 0 0 1
1.862673 0 1.97 0.3 0 0 1
1.870129 0 1.97 0.3 0 0 1
1.878883 0 1.97 0.3 0 0 1
1.891338 0 1.97 0.3 0 0 1
1.900216 0 1.97 0.3 0 0 1
1.908724 0 1.97 0.3 0 0 1
1.916593 0 1.97 0.3 0 0 1
1.925075 0 1.97 0.3 0 0 1
1.933371 0 1.97 0.3 0 0 1
1.942141 0 1.97 0.3 0 0 1
1.949403 0 1.97 0.3 0 0 1
1.957697 0 1.97 0.3 0 0 1
1.964916 0 1.97 0.3 0 0 1
1.97301 0 1.97 0.3 0 0 1
1.980776 0 1.97 0.3 0 0 1
1.989855 0 1.97 0.3 0 0 1
1.998205 0 1.97 0.3 0 0 1
2.006399 0 1.97 0.3 0 0 1
2.014474 0 1.97 0.3 0 0 1
2.023057 0 1.97 0.3 0 0 1
2.030744 0 1.97 0.3 0 0 1
2.037956 0 1.97 0.3 0 0 1
2.044968 0 1.97 0.3 0 0 1
2.05141 0 1.97 0.3 0 0 1
2.058187 0 1.97 0.3 0 0 1
2.064603 0 1.97 0.3 0 0 1
2.071031 0 1.97 0.3 0 0 1
